Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,利物浦大学The University of Liverpool,100.0,95.0,94.0,82.3,,9,147.0,6,89.0,免费评估
2,圣安德鲁斯大学University of St Andrews,98.8,97.5,97.7,87.9,10.1,7,204.0,8,,免费评估
3,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,87.2,100.0,97.3,88.8,13.6,3,165.0,4,,免费评估
4,卡迪夫大学Cardiff University,86.9,99.0,95.7,83.8,12.7,7,152.0,8,,免费评估
5,索尔福德大学University of Salford,86.8,97.0,96.0,89.8,7.4,3,114.0,7,,免费评估
6,格拉斯哥大学University of Glasgow,84.3,84.0,89.7,63.0,14.2,7,199.0,8,85.0,免费评估
7,朴茨茅斯大学University of Portsmouth,81.6,87.6,91.3,80.1,16.3,3,,8,,免费评估
8,伯明翰大学University of Birmingham,80.6,89.5,95.1,74.0,,6,153.0,6,83.0,免费评估
9,伦敦国王学院King's College London,77.9,84.0,88.1,63.6,5.4,6,163.0,5,77.0,免费评估
10,曼彻斯特大学The University of Manchester,77.6,90.0,90.6,70.2,9.4,7,166.0,5,76.0,免费评估
11,基尔大学Keele University,76.9,90.0,93.0,73.0,16.5,4,130.0,8,,免费评估
12,阿伯丁大学University of Aberdeen,75.5,94.1,94.3,68.4,18.5,5,190.0,7,73.0,免费评估
13,萨塞克斯大学University of Sussex,75.4,93.5,92.3,74.3,16.9,8,160.0,4,85.0,免费评估
14,布里斯托大学University of Bristol,75.3,89.0,89.0,77.3,14.3,6,176.0,4,78.0,免费评估
14,利兹大学University of Leeds,75.3,91.0,92.0,70.9,14.7,4,162.0,8,75.0,免费评估
16,英国女王大学Queen's University Belfast,67.9,87.0,84.4,66.1,20.1,3,157.0,8,86.0,免费评估
17,爱丁堡大学The University of Edinburgh,67.0,77.3,82.0,50.1,8.7,10,188.0,6,67.0,免费评估
18,牛津布鲁克斯大学Oxford Brookes University,66.8,84.0,88.3,65.2,15.9,6,134.0,5,,免费评估
19,剑桥安鲁大学Anglia Ruskin University,65.0,63.1,75.6,71.0,16.8,4,117.0,9,,免费评估
20,普利茅斯大学University of Plymouth,62.1,82.3,89.7,75.6,17.1,4,139.0,2,77.0,免费评估
21,阿尔斯特大学University of Ulster,61.2,79.9,82.6,61.2,11.0,3,130.0,2,78.0,免费评估
22,St George's UoL,53.9,84.8,84.3,66.2,15.7,8,128.0,1,,免费评估
23,班戈大学Bangor University,50.6,84.5,90.2,68.0,,3,113.0,4,63.0,免费评估
24,"特威克南圣玛丽大学St Mary's, Twickenham",36.7,67.0,78.6,48.0,20.4,2,123.0,4,74.0,免费评估
