Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,100.0,99.9,,,100.0,免费评估
2,剑桥大学University of Cambridge,United Kingdom,98.2,100.0,,,98.7,免费评估
3,哈佛大学Harvard University,United States,96.2,98.5,,,96.9,免费评估
4,"University of California, Berkeley",United States,90.9,88.7,,,90.2,免费评估
5,斯坦福大学Stanford University,United States,87.1,89.7,,,87.9,免费评估
5,耶鲁大学Yale University,United States,88.4,86.7,,,87.9,免费评估
7,普林斯顿大学Princeton University,United States,86.4,86.4,,,86.4,免费评估
8,伦敦大学学院University College London,United Kingdom,84.6,85.0,,,84.7,免费评估
9,"University of California, Los Angeles",United States,83.4,82.6,,,83.2,免费评估
10,National University of Singapore,Singapore,79.8,90.4,,,83.0,免费评估
11,The Chinese University of Hong Kong,Hong Kong,82.6,80.7,,,82.3,免费评估
12,爱丁堡大学The University of Edinburgh,United Kingdom,82.0,79.7,,,81.3,免费评估
13,The University of Tokyo,Japan,77.6,89.3,,,81.0,免费评估
14,澳大利亚国立大学The Australian National University,Australia,80.2,80.8,,,80.5,免费评估
14,多伦多大学University of Toronto,Canada,80.7,79.9,,,80.5,免费评估
16,Université Paris-Sorbonne,France,79.3,81.8,,,80.1,免费评估
17,The University of Hong Kong,Hong Kong,76.4,87.9,,,79.9,免费评估
18,麻省理工学院Massachusetts Institute of Technology,United States,74.7,90.6,,,79.4,免费评估
19,哥伦比亚大学Columbia University,United States,78.4,80.0,,,78.7,免费评估
20,Humboldt-Universität zu Berlin,Germany,79.4,76.3,,,78.5,免费评估
21,Ruprecht-Karls-Universität Heidelberg,Germany,77.3,78.7,,,77.8,免费评估
22,Peking University,China,74.0,86.5,,,77.6,免费评估
23,墨尔本大学The University of Melbourne,Australia,72.7,89.1,,,77.5,免费评估
24,华威大学The University of Warwick,United Kingdom,72.6,88.6,,,77.4,免费评估
25,康奈尔大学Cornell University,United States,74.6,83.6,,,77.3,免费评估
26,Universidad de Buenos Aires,Argentina,76.1,78.3,,,76.8,免费评估
27,芝加哥大学The University of Chicago,United States,74.4,82.7,,,76.7,免费评估
28,杜克大学Duke University,United States,77.5,72.5,,,76.1,免费评估
29,Hankuk (Korea) University of Foreign Studies,South Korea,74.3,78.9,,,76.0,免费评估
30,Ludwig-Maximilians-Universität München,Germany,78.6,68.9,,,75.7,免费评估
31,Freie Universitaet Berlin,Germany,78.4,68.6,,,75.5,免费评估
32,伦敦大学亚非学院SOAS University of London,United Kingdom,79.2,64.9,,,75.1,免费评估
33,曼彻斯特大学The University of Manchester,United Kingdom,71.3,83.7,,,75.0,免费评估
34,Kyoto University,Japan,71.1,84.2,,,74.9,免费评估
35,麦吉尔大学McGill University,Canada,72.2,77.9,,,73.9,免费评估
36,Waseda University,Japan,72.3,76.9,,,73.8,免费评估
37,Universidad Nacional Autónoma de Mexico,Mexico,77.4,64.7,,,73.7,免费评估
38,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,74.9,70.4,,,73.6,免费评估
39,布朗大学Brown University,United States,74.7,69.6,,,73.3,免费评估
40,Yonsei University,South Korea,68.8,82.5,,,73.1,免费评估
41,The Hong Kong University of Science and Technology,Hong Kong,69.1,81.1,,,73.0,免费评估
42,Trinity College Dublin,Ireland,68.6,82.7,,,72.9,免费评估
43,University of Amsterdam,Netherlands,74.7,67.0,,,72.5,免费评估
44,印第安纳大学伯明顿主校区Indiana University Bloomington,United States,76.4,59.6,,,71.6,免费评估
45,奥克兰大学The University of Auckland,New Zealand,68.4,77.6,,,71.2,免费评估
46,悉尼大学The University of Sydney,Australia,65.8,83.9,,,71.1,免费评估
47,Seoul National University,South Korea,64.6,86.0,,,70.9,免费评估
48,约克大学The University of York,United Kingdom,70.1,71.9,,,70.7,免费评估
49,伦敦国王学院King's College London,United Kingdom,64.0,86.0,,,70.4,免费评估
49,New York University,United States,67.3,78.5,,,70.4,免费评估
