Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,100.0,100.0,73.1,,98.7,免费评估
2,剑桥大学University of Cambridge,United Kingdom,99.2,97.2,78.1,,97.9,免费评估
3,Harvard University,United States,95.2,95.8,83.4,,94.7,免费评估
4,Yale University,United States,91.7,90.1,86.4,,91.3,免费评估
5,"University of California, Berkeley",United States,92.9,76.9,91.7,,91.2,免费评估
6,University of Chicago,United States,87.9,81.5,71.7,,86.5,免费评估
7,Stanford University,United States,88.3,89.3,46.4,,86.3,免费评估
8,Princeton University,United States,87.7,86.7,46.4,,85.5,免费评估
8,Columbia University,United States,84.9,83.4,100.0,,85.5,免费评估
10,"University of California, Los Angeles",United States,86.1,78.7,71.7,,84.6,免费评估
11,University of Pennsylvania,United States,82.7,75.8,98.1,,82.8,免费评估
12,Cornell University,United States,82.6,78.8,69.2,,81.6,免费评估
13,University of Toronto,Canada,81.4,76.7,84.1,,81.1,免费评估
14,爱丁堡大学The University of Edinburgh,United Kingdom,82.9,80.5,40.0,,80.5,免费评估
15,伦敦大学学院University College London,United Kingdom,82.1,80.4,31.7,,79.4,免费评估
16,华威大学The University of Warwick,United Kingdom,79.5,81.2,71.7,,79.3,免费评估
17,Duke University,United States,80.6,71.0,71.7,,79.2,免费评估
17,National University of Singapore,Singapore,81.4,90.1,20.0,,79.2,免费评估
19,The University of Sydney,Australia,78.6,82.6,60.0,,78.1,免费评估
20,The University of Queensland,Australia,80.8,82.0,20.0,,77.9,免费评估
21,The University of Melbourne,Australia,80.2,88.7,,,77.0,免费评估
22,University of Alberta,Canada,78.2,69.4,51.7,,76.0,免费评估
23,University of Michigan,United States,76.4,71.0,74.0,,75.7,免费评估
24,曼彻斯特大学The University of Manchester,United Kingdom,76.3,80.1,40.0,,74.9,免费评估
25,Trinity College Dublin,Ireland,78.1,77.6,,,74.2,免费评估
26,约克大学The University of York,United Kingdom,76.1,69.9,40.0,,73.7,免费评估
27,Monash University,Australia,75.5,80.9,20.0,,73.3,免费评估
28,University of Otago,New Zealand,75.9,65.9,31.7,,72.7,免费评估
29,University of Texas at Austin,United States,76.0,69.9,20.0,,72.6,免费评估
30,格拉斯哥大学University of Glasgow,United Kingdom,75.3,59.3,51.7,,72.5,免费评估
31,Victoria University of Wellington,New Zealand,77.1,67.8,,,72.4,免费评估
32,University of Virginia,United States,72.4,68.2,76.1,,72.2,免费评估
33,University of British Columbia,Canada,72.1,75.1,51.7,,71.4,免费评估
34,McGill University,Canada,71.1,73.5,60.0,,70.8,免费评估
35,"University of California, Irvine",United States,72.6,46.2,78.1,,70.3,免费评估
36,利兹大学University of Leeds,United Kingdom,70.6,71.4,46.4,,69.5,免费评估
37,The University of Auckland,New Zealand,70.5,73.6,31.7,,68.9,免费评估
38,Pennsylvania State University,United States,68.5,68.1,71.7,,68.7,免费评估
39,伯明翰大学University of Birmingham,United Kingdom,68.1,74.0,40.0,,67.3,免费评估
40,布里斯托大学University of Bristol,United Kingdom,69.5,79.1,,,67.0,免费评估
41,The University of New South Wales,Australia,66.1,83.5,40.0,,66.5,免费评估
41,New York University,United States,64.2,74.9,90.5,,66.5,免费评估
43,埃克塞特大学University of Exeter,United Kingdom,67.4,59.2,46.4,,65.6,免费评估
44,诺丁汉大学University of Nottingham,United Kingdom,65.8,79.5,31.7,,65.5,免费评估
45,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,69.6,54.3,,,64.6,免费评估
46,"Nanyang Technological University, Singapore",Singapore,65.6,76.2,20.0,,64.4,免费评估
47,The Ohio State University,United States,63.7,55.8,87.8,,64.1,免费评估
48,伦敦国王学院King's College London,United Kingdom,65.8,78.0,,,63.7,免费评估
49,Indiana University Bloomington,United States,65.5,55.0,46.4,,63.5,免费评估
50,University of Cape Town,South Africa,64.5,67.6,20.0,,62.6,免费评估
