Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,University of Wisconsin-Madison,United States,100.0,64.0,100.0,100.0,96.5,免费评估
2,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,86.4,100.0,96.4,87.7,90.0,免费评估
3,"University of California, Berkeley",United States,86.8,87.9,96.2,86.3,88.7,免费评估
4,University of Southern California,United States,94.5,67.0,87.5,85.0,88.6,免费评估
5,University of Texas at Austin,United States,89.1,66.9,92.6,93.5,88.5,免费评估
6,"Nanyang Technological University, Singapore",Singapore,82.9,91.7,92.5,88.9,86.9,免费评估
7,University of Illinois at Urbana-Champaign,United States,85.1,60.3,95.3,95.5,86.8,免费评估
8,Stanford University,United States,90.2,91.6,82.3,78.6,86.4,免费评估
9,National University of Singapore,Singapore,84.8,98.9,86.0,78.6,85.2,免费评估
10,University of Amsterdam,Netherlands,81.2,75.2,93.2,86.3,84.0,免费评估
11,Michigan State University,United States,76.7,61.4,98.7,92.4,82.8,免费评估
12,University of Pennsylvania,United States,81.6,81.0,80.2,82.0,81.3,免费评估
13,Columbia University,United States,84.8,85.9,78.4,72.7,81.2,免费评估
14,Northwestern University,United States,74.6,69.4,94.7,86.3,80.4,免费评估
15,"University of California, Los Angeles",United States,79.8,82.1,80.7,78.6,80.0,免费评估
16,Massachusetts Institute of Technology,United States,72.6,94.0,87.7,78.6,78.9,免费评估
17,Cornell University,United States,67.7,80.0,89.3,95.5,78.8,免费评估
18,New York University,United States,79.8,78.9,79.6,74.8,78.7,免费评估
19,The Chinese University of Hong Kong,Hong Kong,76.6,87.9,80.9,76.8,78.6,免费评估
19,Monash University,Australia,78.9,88.4,76.7,74.8,78.6,免费评估
19,University of Michigan,United States,79.2,72.9,81.9,76.8,78.6,免费评估
22,The University of Melbourne,Australia,77.0,96.2,73.4,76.8,78.2,免费评估
23,伦敦城市大学City University London,United Kingdom,82.1,68.7,79.8,68.0,77.6,免费评估
24,"University of North Carolina, Chapel Hill",United States,74.3,58.6,87.4,83.5,77.2,免费评估
25,Korea University,South Korea,68.6,81.6,89.4,78.6,76.1,免费评估
25,The University of Queensland,Australia,74.2,87.6,74.4,76.8,76.1,免费评估
27,Queensland University of Technology,Australia,72.2,73.3,81.4,78.6,75.5,免费评估
28,Seoul National University,South Korea,69.8,88.8,80.5,76.8,75.2,免费评估
29,The University of Tokyo,Japan,79.3,94.4,66.6,59.0,74.2,免费评估
30,City University of Hong Kong,Hong Kong,69.3,74.5,83.3,74.8,73.7,免费评估
31,The Ohio State University,United States,65.5,58.5,87.2,86.3,73.3,免费评估
32,Indiana University Bloomington,United States,66.7,61.0,84.5,83.5,73.1,免费评估
33,University of Florida,United States,71.7,55.8,79.7,76.8,72.8,免费评估
34,"University of Missouri, Columbia",United States,77.7,43.9,75.5,70.5,72.5,免费评估
35,Yonsei University,South Korea,69.7,82.7,79.6,65.3,72.1,免费评估
36,Pennsylvania State University,United States,63.5,65.5,85.3,80.3,71.4,免费评估
37,Purdue University,United States,66.0,67.8,77.7,78.6,71.1,免费评估
38,Yale University,United States,70.3,86.9,72.2,62.3,70.7,免费评估
39,The University of Sydney,Australia,66.5,92.6,69.2,68.0,69.9,免费评估
40,威斯敏斯特大学University of Westminster,United Kingdom,85.3,42.5,52.1,59.0,69.2,免费评估
41,"University of California, Santa Barbara",United States,67.1,33.9,79.9,80.3,69.0,免费评估
42,University of Oslo,Norway,63.6,61.9,77.6,76.8,68.9,免费评估
43,"University of California, San Diego",United States,63.3,62.3,79.8,74.8,68.8,免费评估
44,Aarhus University,Denmark,68.3,72.1,67.8,68.0,68.5,免费评估
45,Peking University,China,60.3,92.1,74.3,68.0,67.8,免费评估
46,Universidade de São Paulo,Brazil,70.7,70.4,67.7,59.0,67.7,免费评估
47,"University of Maryland, College Park",United States,56.4,47.5,90.5,82.0,67.5,免费评估
48,KU Leuven,Belgium,59.0,76.6,76.9,72.7,67.1,免费评估
48,拉夫堡大学Loughborough University,United Kingdom,61.6,56.5,78.5,74.8,67.1,免费评估
50,The University of Hong Kong,Hong Kong,69.8,92.9,58.8,55.2,67.0,免费评估
