Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,哈佛大学Harvard University,United States,100.0,100.0,97.5,100.0,99.4,免费评估
2,牛津大学University of Oxford,United Kingdom,95.2,99.5,96.6,94.3,95.8,免费评估
3,剑桥大学University of Cambridge,United Kingdom,95.8,99.8,97.1,91.7,95.5,免费评估
4,斯坦福大学Stanford University,United States,92.3,92.9,95.5,93.3,93.4,免费评估
5,约翰霍普金斯大学Johns Hopkins University,United States,92.3,75.5,95.9,99.3,93.3,免费评估
6,"University of California, Los Angeles (UCLA)",United States,88.8,86.4,95.2,93.5,91.3,免费评估
7,"University of California, San Francisco",United States,89.7,65.4,97.3,97.3,91.1,免费评估
8,耶鲁大学Yale University,United States,89.7,89.7,93.8,88.8,90.5,免费评估
9,伦敦大学学院University College London,United Kingdom,85.6,87.8,93.6,94.9,90.1,免费评估
10,Karolinska Institutet,Sweden,91.2,81.9,92.1,88.9,89.9,免费评估
11,帝国理工学院Imperial College London,United Kingdom,87.6,86.3,94.5,87.7,89.2,免费评估
12,多伦多大学University of Toronto,Canada,83.4,81.2,93.9,96.7,89.1,免费评估
13,哥伦比亚大学Columbia University,United States,82.9,82.2,96.4,94.1,89.0,免费评估
14,麻省理工学院Massachusetts Institute of Technology,United States,86.6,92.2,99.4,80.2,88.8,免费评估
15,宾夕法尼亚大学University of Pennsylvania,United States,82.1,78.4,95.5,96.5,88.7,免费评估
16,杜克大学Duke University,United States,79.9,78.7,97.4,97.5,88.6,免费评估
17,悉尼大学The University of Sydney,Australia,85.2,88.5,89.9,87.6,87.3,免费评估
18,墨尔本大学The University of Melbourne,Australia,85.5,89.7,89.5,85.8,87.0,免费评估
19,"University of California, San Diego (UCSD)",United States,78.1,73.9,96.0,93.0,85.9,免费评估
19,University of Washington,United States,78.5,70.6,94.7,95.1,85.9,免费评估
21,伦敦国王学院King's College London,United Kingdom,81.2,83.3,92.4,86.8,85.6,免费评估
22,National University of Singapore (NUS),Singapore,88.3,93.3,87.2,75.5,85.3,免费评估
23,The University of Tokyo,Japan,88.2,92.3,85.6,76.8,85.1,免费评估
23,圣路易斯华盛顿大学Washington University in St Louis,United States,77.7,66.3,96.6,93.1,85.1,免费评估
25,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,77.2,74.1,93.8,92.6,84.9,免费评估
26,爱丁堡大学The University of Edinburgh,United Kingdom,79.9,75.2,94.8,85.1,84.5,免费评估
27,麦吉尔大学McGill University,Canada,80.0,76.3,92.7,86.4,84.4,免费评估
28,英属哥伦比亚大学University of British Columbia,Canada,76.6,79.1,92.2,87.2,83.4,免费评估
29,伦敦卫生与热带医学院London School of Hygiene & Tropical Medicine,United Kingdom,75.6,71.4,98.0,84.7,83.1,免费评估
30,The University of Hong Kong,Hong Kong,85.7,85.5,87.5,73.3,83.0,免费评估
31,New York University (NYU),United States,75.5,77.4,92.6,86.8,82.8,免费评估
32,芝加哥大学The University of Chicago,United States,76.5,70.3,94.3,86.1,82.7,免费评估
33,麦克马斯特大学McMaster University,Canada,74.9,62.0,96.8,88.8,82.6,免费评估
34,康奈尔大学Cornell University,United States,74.0,79.2,93.3,85.3,82.2,免费评估
34,Erasmus University Rotterdam,Netherlands,75.1,63.3,94.9,88.3,82.2,免费评估
34,Mayo Medical School,United States,85.7,54.9,96.4,73.3,82.2,免费评估
34,University of Amsterdam,Netherlands,74.1,69.0,93.9,88.8,82.2,免费评估
38,University of Copenhagen,Denmark,72.4,79.1,91.9,89.2,82.1,免费评估
39,蒙纳什大学Monash University,Australia,80.5,82.0,87.3,79.1,82.0,免费评估
40,Ruprecht-Karls-Universitaet Heidelberg,Germany,77.1,71.8,90.8,84.0,81.7,免费评估
41,Baylor College of Medicine,United States,77.2,58.0,94.0,85.3,81.5,免费评估
42,西北大学Northwestern University,United States,71.5,72.9,92.9,88.2,81.2,免费评估
43,昆士兰大学The University of Queensland,Australia,77.0,80.8,87.8,79.9,80.8,免费评估
44,National Taiwan University (NTU),Taiwan,82.3,88.5,84.2,71.0,80.6,免费评估
44,University of Zurich,Switzerland,73.2,71.6,92.2,84.5,80.6,免费评估
46,新南威尔士大学The University of New South Wales,Australia,76.8,87.5,86.8,77.4,80.5,免费评估
46,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States,74.5,48.3,92.6,90.9,80.5,免费评估
48,Seoul National University,South Korea,78.4,78.2,86.8,77.3,80.2,免费评估
49,波士顿大学Boston University,United States,68.2,71.6,94.9,87.7,80.1,免费评估
49,Kyoto University,Japan,80.8,85.3,85.0,71.9,80.1,免费评估
49,曼彻斯特大学The University of Manchester,United Kingdom,75.8,77.2,89.1,79.0,80.1,免费评估
