Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,100.0,96.4,86.8,72.3,92.8,免费评估
2,剑桥大学University of Cambridge,United Kingdom,91.5,100.0,88.4,74.0,91.0,免费评估
3,National University of Singapore (NUS),Singapore,88.9,95.4,90.0,81.8,90.0,免费评估
4,"University of California, Berkeley (UCB)",United States,99.0,82.3,88.6,81.8,89.9,免费评估
5,Delft University of Technology,Netherlands,93.4,88.5,83.5,88.4,89.7,免费评估
5,帝国理工学院Imperial College London,United Kingdom,95.0,90.2,88.5,75.7,89.7,免费评估
5,Stanford University,United States,92.9,92.8,85.9,78.9,89.7,免费评估
8,Tsinghua University,China,84.1,92.5,84.2,88.4,87.3,免费评估
9,The University of Hong Kong,Hong Kong,79.4,92.6,93.8,87.2,86.7,免费评估
10,The University of Tokyo,Japan,91.6,90.9,78.3,70.4,86.2,免费评估
11,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,90.6,85.8,85.4,72.3,85.6,免费评估
12,The Hong Kong Polytechnic University,Hong Kong,76.2,82.2,94.1,100.0,84.3,免费评估
12,University of Illinois at Urbana-Champaign,United States,97.5,66.6,85.3,83.2,84.3,免费评估
14,Politecnico di Milano,Italy,82.2,87.7,86.2,80.4,84.2,免费评估
15,University of Texas at Austin,United States,92.2,75.5,84.3,77.3,83.8,免费评估
16,The University of New South Wales (UNSW Australia),Australia,80.3,91.8,84.0,75.7,83.6,免费评估
16,牛津大学University of Oxford,United Kingdom,81.3,99.7,78.8,62.1,83.6,免费评估
18,Kyoto University,Japan,85.8,86.9,76.4,75.7,83.2,免费评估
18,"Nanyang Technological University, Singapore (NTU)",Singapore,79.8,88.9,85.1,78.9,83.2,免费评估
20,The University of Sydney,Australia,78.6,87.6,89.7,77.3,82.8,免费评估
21,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,80.6,79.1,91.1,84.6,82.3,免费评估
22,Georgia Institute of Technology,United States,84.5,76.1,85.8,81.8,81.8,免费评估
23,The Hong Kong University of Science and Technology,Hong Kong,81.1,89.5,81.2,66.5,81.4,免费评估
24,KAIST - Korea Advanced Institute of Science & Technology,South Korea,77.6,80.1,90.7,80.4,80.7,免费评估
25,Monash University,Australia,71.7,91.5,87.6,70.4,79.8,免费评估
26,Purdue University,United States,84.4,66.7,87.7,83.2,79.4,免费评估
27,University of British Columbia,Canada,77.7,77.0,86.7,78.9,79.0,免费评估
28,Seoul National University,South Korea,75.3,85.9,83.1,70.4,78.9,免费评估
29,The University of Melbourne,Australia,72.5,89.9,81.5,70.4,78.8,免费评估
29,Tongji University,China,82.3,73.5,73.1,85.9,78.8,免费评估
31,University of Toronto,Canada,78.8,77.7,87.2,70.4,78.5,免费评估
32,Shanghai Jiao Tong University,China,66.8,85.1,88.3,84.6,78.2,免费评估
33,National Technical University of Athens,Greece,69.8,80.0,89.2,81.8,77.6,免费评估
34,National Taiwan University (NTU),Taiwan,76.4,79.2,84.1,70.4,77.5,免费评估
34,University of Michigan,United States,77.8,76.0,84.7,72.3,77.5,免费评估
36,Texas A&M University,United States,75.6,70.8,85.9,87.2,77.4,免费评估
37,Politecnico di Torino,Italy,70.8,79.0,89.3,77.3,77.0,免费评估
38,Tokyo Institute of Technology,Japan,79.8,84.0,74.8,57.3,76.9,免费评估
39,Universitat Politècnica de Catalunya,Spain,76.7,72.6,83.6,78.9,76.8,免费评估
40,KTH Royal Institute of Technology,Sweden,67.1,77.0,91.7,84.6,76.4,免费评估
41,Technical University of Denmark,Denmark,71.9,68.4,93.6,84.6,76.0,免费评估
41,The University of Auckland,New Zealand,64.4,93.1,82.4,66.5,76.0,免费评估
43,"University of California, Los Angeles (UCLA)",United States,77.5,82.4,74.9,59.8,75.9,免费评估
44,曼彻斯特大学The University of Manchester,United Kingdom,69.5,74.8,88.4,80.4,75.6,免费评估
45,City University of Hong Kong,Hong Kong,60.8,75.6,100.0,88.4,75.3,免费评估
45,The University of Western Australia,Australia,72.7,74.8,82.6,75.7,75.3,免费评估
47,谢菲尔德大学The University of Sheffield,United Kingdom,68.5,67.7,93.0,87.2,74.7,免费评估
48,Princeton University,United States,72.1,77.4,81.2,68.5,74.5,免费评估
49,坎特伯雷大学Canterbury Christ Church University,New Zealand,69.7,83.2,79.1,64.4,74.4,免费评估
50,Northwestern University,United States,74.9,74.9,80.0,64.4,74.1,免费评估
