Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,100.0,97.5,93.0,99.4,98.1,免费评估
2,Stanford University,United States,94.5,92.9,100.0,100.0,95.7,免费评估
3,剑桥大学University of Cambridge,United Kingdom,90.8,100.0,89.5,92.8,93.7,免费评估
4,"University of California, Berkeley (UCB)",United States,91.7,87.6,98.2,92.8,91.6,免费评估
5,帝国理工学院Imperial College London,United Kingdom,89.1,91.6,90.5,88.6,90.0,免费评估
6,University of Michigan,United States,98.3,79.5,84.4,92.0,89.6,免费评估
7,Harvard University,United States,81.4,98.1,98.3,84.8,89.5,免费评估
8,National University of Singapore (NUS),Singapore,84.3,93.7,91.3,92.4,89.4,免费评估
8,牛津大学University of Oxford,United Kingdom,83.8,98.9,88.7,86.3,89.4,免费评估
10,Georgia Institute of Technology,United States,86.6,84.2,86.0,93.5,86.8,免费评估
11,California Institute of Technology (Caltech),United States,89.7,83.5,86.8,85.3,86.7,免费评估
12,The University of Tokyo,Japan,87.1,89.9,79.3,85.8,86.6,免费评估
13,"Nanyang Technological University, Singapore (NTU)",Singapore,78.7,92.2,89.2,89.5,85.9,免费评估
14,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,84.2,89.2,86.6,82.7,85.8,免费评估
15,Tsinghua University,China,81.3,92.7,79.1,89.9,85.7,免费评估
16,Delft University of Technology,Netherlands,80.6,87.9,80.7,89.1,84.1,免费评估
17,Purdue University,United States,87.6,79.9,79.7,84.8,83.7,免费评估
18,Politecnico di Milano,Italy,78.8,91.4,79.6,82.7,83.3,免费评估
19,"University of California, Los Angeles (UCLA)",United States,79.3,80.4,94.3,85.8,82.9,免费评估
20,RWTH Aachen University,Germany,81.4,85.1,79.5,83.8,82.6,免费评估
21,KAIST - Korea Advanced Institute of Science & Technology,South Korea,77.6,82.8,88.6,88.6,82.5,免费评估
22,Seoul National University,South Korea,74.6,85.6,86.5,89.5,81.9,免费评估
23,University of Illinois at Urbana-Champaign,United States,81.4,76.3,86.0,89.5,81.8,免费评估
24,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,74.6,83.2,92.0,85.8,81.5,免费评估
25,KTH Royal Institute of Technology,Sweden,82.8,81.5,78.9,78.5,81.2,免费评估
26,Northwestern University,United States,75.9,76.6,94.2,86.3,80.4,免费评估
27,Technische Universität München,Germany,79.5,83.3,79.4,77.1,80.3,免费评估
28,Kyoto University,Japan,75.8,87.4,77.3,79.1,80.0,免费评估
28,Peking University,China,65.4,88.8,92.2,89.1,80.0,免费评估
28,The University of Melbourne,Australia,72.5,92.7,82.5,71.8,80.0,免费评估
31,Shanghai Jiao Tong University,China,73.9,84.4,78.4,88.2,79.9,免费评估
32,Tokyo Institute of Technology,Japan,79.1,85.7,75.7,72.6,79.6,免费评估
33,Cornell University,United States,74.5,77.2,91.2,83.8,79.2,免费评估
34,The University of New South Wales (UNSW Australia),Australia,66.7,90.7,81.8,86.3,79.1,免费评估
35,Princeton University,United States,77.1,77.6,88.8,77.1,79.0,免费评估
36,克兰菲尔德大学Cranfield University,United Kingdom,80.2,79.4,77.2,73.4,78.5,免费评估
37,The University of Sydney,Australia,72.9,85.4,84.0,71.8,78.2,免费评估
37,University of Toronto,Canada,74.1,76.7,86.7,83.8,78.2,免费评估
39,The Hong Kong University of Science and Technology,Hong Kong,69.2,83.3,89.0,79.1,77.9,免费评估
40,Tohoku University,Japan,75.7,76.7,79.9,82.1,77.6,免费评估
40,Université Claude Bernard Lyon 1,France,83.1,81.2,69.6,64.0,77.6,免费评估
42,Universität Stuttgart,Germany,73.6,74.7,85.0,82.1,76.9,免费评估
43,University of Texas at Austin,United States,67.6,75.8,91.2,88.6,76.8,免费评估
44,The University of Hong Kong,Hong Kong,68.0,85.0,86.5,73.4,76.7,免费评估
45,Texas A&M University,United States,75.1,75.2,78.2,82.1,76.6,免费评估
46,McGill University,Canada,73.9,76.3,80.9,79.1,76.5,免费评估
46,Pennsylvania State University,United States,75.1,71.0,82.7,84.8,76.5,免费评估
48,National Taiwan University (NTU),Taiwan,71.6,78.6,83.5,77.1,76.3,免费评估
49,Monash University,Australia,61.3,89.8,84.9,79.7,76.2,免费评估
49,曼彻斯特大学The University of Manchester,United Kingdom,73.2,76.6,82.7,77.1,76.2,免费评估
