Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,100.0,98.9,88.1,100.0,97.9,免费评估
2,Stanford University,United States,95.9,95.9,90.0,95.9,95.0,免费评估
3,"University of California, Berkeley (UCB)",United States,94.4,89.6,90.0,99.0,93.0,免费评估
4,剑桥大学University of Cambridge,United Kingdom,90.4,100.0,83.4,84.3,91.3,免费评估
5,"University of California, Los Angeles (UCLA)",United States,96.1,85.8,88.2,91.4,91.1,免费评估
6,National University of Singapore (NUS),Singapore,85.9,94.4,89.7,97.3,90.7,免费评估
7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,88.6,92.8,86.6,92.1,90.1,免费评估
8,"Nanyang Technological University, Singapore (NTU)",Singapore,81.5,98.0,86.1,96.5,89.4,免费评估
9,Harvard University,United States,83.3,98.8,89.6,82.9,88.8,免费评估
10,帝国理工学院Imperial College London,United Kingdom,87.1,90.9,86.2,91.0,88.7,免费评估
11,牛津大学University of Oxford,United Kingdom,83.6,99.4,86.8,81.5,88.5,免费评估
12,California Institute of Technology (Caltech),United States,89.5,85.9,84.0,86.5,87.1,免费评估
13,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,89.8,83.5,84.8,88.5,87.0,免费评估
14,Georgia Institute of Technology,United States,83.4,85.0,84.3,97.0,86.1,免费评估
15,Tsinghua University,China,82.4,87.9,79.1,97.9,85.9,免费评估
16,The University of Tokyo,Japan,86.7,91.3,71.8,82.0,85.1,免费评估
17,KTH Royal Institute of Technology,Sweden,83.2,86.8,82.0,89.2,85.0,免费评估
18,University of Illinois at Urbana-Champaign,United States,85.0,78.1,87.1,91.7,84.3,免费评估
19,Tokyo Institute of Technology,Japan,80.8,85.9,77.1,88.8,83.0,免费评估
20,KAIST - Korea Advanced Institute of Science & Technology,South Korea,79.5,83.5,81.9,91.7,82.9,免费评估
20,The Chinese University of Hong Kong (CUHK),Hong Kong,80.5,85.7,84.4,82.0,82.9,免费评估
22,The University of Hong Kong,Hong Kong,74.3,90.5,86.4,84.3,82.5,免费评估
23,National Taiwan University (NTU),Taiwan,80.1,83.3,80.9,88.5,82.4,免费评估
23,University of Michigan,United States,80.0,80.2,84.2,91.4,82.4,免费评估
25,The Hong Kong University of Science and Technology,Hong Kong,76.5,86.8,83.9,86.9,82.3,免费评估
26,Princeton University,United States,79.6,80.8,88.5,85.6,82.2,免费评估
27,Carnegie Mellon University,United States,80.4,83.6,85.5,79.4,82.0,免费评估
27,University of Toronto,Canada,78.7,81.1,87.3,87.3,82.0,免费评估
29,Seoul National University,South Korea,76.7,86.2,82.2,86.0,81.8,免费评估
30,University of Texas at Austin,United States,77.9,79.4,85.7,92.4,81.7,免费评估
31,Delft University of Technology,Netherlands,77.8,83.3,79.6,89.6,81.5,免费评估
32,Technische Universität München,Germany,78.4,84.5,77.9,85.2,81.2,免费评估
32,"University of California, San Diego (UCSD)",United States,84.2,71.6,84.7,88.8,81.2,免费评估
34,Columbia University,United States,75.5,78.9,90.8,86.9,80.5,免费评估
35,The University of Melbourne,Australia,73.0,89.0,82.5,79.9,80.3,免费评估
36,Peking University,China,74.0,88.0,76.7,83.8,80.1,免费评估
37,Aalborg University,Denmark,76.6,72.2,88.6,93.7,79.6,免费评估
37,Universiti Malaya (UM),Malaysia,66.9,80.9,93.2,97.3,79.6,免费评估
39,Cornell University,United States,76.7,77.3,86.4,83.4,79.3,免费评估
40,National Tsing Hua University,Taiwan,72.5,84.1,80.4,86.0,79.2,免费评估
40,Politecnico di Torino,Italy,75.6,83.5,78.1,81.5,79.2,免费评估
42,The Australian National University,Australia,78.6,82.0,78.1,74.1,78.9,免费评估
43,The University of New South Wales (UNSW Australia),Australia,67.1,85.8,85.9,87.7,78.6,免费评估
44,Politecnico di Milano,Italy,69.3,89.5,77.2,82.0,78.5,免费评估
45,Indian Institute of Technology Delhi (IITD),India,70.1,82.0,85.7,86.0,78.4,免费评估
45,Shanghai Jiao Tong University,China,68.4,85.6,78.5,90.7,78.4,免费评估
47,Purdue University,United States,75.1,77.7,79.8,84.7,78.0,免费评估
48,National Chiao Tung University,Taiwan,73.4,78.7,78.9,86.5,77.8,免费评估
48,University of British Columbia,Canada,71.3,76.7,86.8,88.5,77.8,免费评估
50,Technische Universität Berlin,Germany,71.6,80.9,82.8,82.0,77.6,免费评估
