Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,麻省理工学院Massachusetts Institute of Technology,United States,100.0,88.1,100.0,97.9,98.7,免费评估
2,哈佛大学Harvard University,United States,85.2,95.1,99.3,100.0,87.6,免费评估
3,剑桥大学University of Cambridge,United Kingdom,85.7,99.9,83.1,87.4,87.1,免费评估
3,爱丁堡大学The University of Edinburgh,United Kingdom,86.7,87.8,87.4,91.8,87.1,免费评估
5,牛津大学University of Oxford,United Kingdom,85.1,99.3,84.8,85.8,86.5,免费评估
6,斯坦福大学Stanford University,United States,83.8,88.9,99.3,96.8,85.7,免费评估
7,University of Massachusetts Amherst,United States,89.1,50.1,92.6,94.4,85.6,免费评估
8,"University of California, Los Angeles (UCLA)",United States,84.1,75.0,90.3,89.0,83.7,免费评估
9,"University of California, Berkeley (UCB)",United States,83.6,75.7,93.3,90.4,83.6,免费评估
10,Peking University,China,82.3,94.3,78.7,71.2,82.8,免费评估
10,The University of Hong Kong,Hong Kong,83.6,80.6,78.2,78.4,82.8,免费评估
12,宾夕法尼亚大学University of Pennsylvania,United States,82.3,73.9,96.9,90.4,82.6,免费评估
13,墨尔本大学The University of Melbourne,Australia,79.5,79.9,85.0,82.3,80.0,免费评估
14,伦敦大学学院University College London,United Kingdom,77.6,85.0,88.5,94.4,79.7,免费评估
15,兰卡斯特大学Lancaster University,United Kingdom,81.9,55.4,87.7,76.2,79.3,免费评估
16,The University of Tokyo,Japan,78.0,84.6,82.5,76.2,78.8,免费评估
17,Lomonosov Moscow State University,Russia,82.3,94.1,28.7,41.2,78.7,免费评估
18,National University of Singapore (NUS),Singapore,78.0,78.9,82.3,78.4,78.3,免费评估
19,University of Amsterdam,Netherlands,76.4,79.0,84.3,89.0,77.7,免费评估
20,芝加哥大学The University of Chicago,United States,77.0,72.4,86.4,89.0,77.6,免费评估
21,俄亥俄州立大学Ohio State University,United States,78.9,57.6,85.9,85.8,77.5,免费评估
22,多伦多大学University of Toronto,Canada,75.1,77.2,89.6,85.8,76.6,免费评估
23,"University of Maryland, College Park",United States,78.2,43.9,92.3,94.4,76.3,免费评估
24,"Nanyang Technological University, Singapore (NTU)",Singapore,75.0,80.4,77.1,71.2,75.5,免费评估
25,The Chinese University of Hong Kong (CUHK),Hong Kong,74.7,82.6,73.8,73.8,75.4,免费评估
26,麦吉尔大学McGill University,Canada,74.6,67.4,90.6,87.4,75.3,免费评估
26,悉尼大学The University of Sydney,Australia,73.9,83.2,81.4,76.2,75.3,免费评估
28,Leiden University,Netherlands,77.1,58.3,77.2,73.8,75.1,免费评估
29,City University of Hong Kong,Hong Kong,75.3,68.7,79.4,76.2,74.9,免费评估
30,Humboldt-Universität zu Berlin,Germany,74.2,80.4,77.0,71.2,74.8,免费评估
30,"University of California, Santa Barbara (UCSB)",United States,76.7,51.4,87.8,78.4,74.8,免费评估
32,澳大利亚国立大学The Australian National University,Australia,75.1,73.5,75.0,68.4,74.6,免费评估
33,New York University (NYU),United States,71.5,80.3,88.0,89.0,74.1,免费评估
34,耶鲁大学Yale University,United States,70.6,85.7,92.3,80.4,73.7,免费评估
35,乔治城大学Georgetown University,United States,73.9,57.4,90.7,82.3,73.5,免费评估
35,英属哥伦比亚大学University of British Columbia,Canada,72.3,69.6,90.7,84.1,73.5,免费评估
35,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,73.0,56.7,91.4,96.8,73.5,免费评估
38,Seoul National University,South Korea,73.2,82.3,66.6,65.3,73.4,免费评估
38,University of Texas at Austin,United States,71.4,69.5,94.4,93.1,73.4,免费评估
40,"University of California, San Diego (UCSD)",United States,71.8,62.7,96.5,93.1,73.2,免费评估
41,The Hong Kong Polytechnic University,Hong Kong,72.3,80.2,76.5,68.4,73.1,免费评估
42,Stockholm University,Sweden,71.0,78.0,83.8,76.2,72.6,免费评估
43,University of Helsinki,Finland,72.2,73.3,76.3,68.4,72.3,免费评估
44,曼彻斯特大学The University of Manchester,United Kingdom,70.6,72.1,85.4,82.3,72.1,免费评估
45,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,69.4,69.8,89.2,80.4,71.0,免费评估
46,康奈尔大学Cornell University,United States,68.7,72.0,92.1,82.3,70.9,免费评估
47,Universidad Nacional Autónoma de México (UNAM),Mexico,71.5,71.5,60.6,57.8,70.3,免费评估
48,哥伦比亚大学Columbia University,United States,67.2,79.7,88.4,80.4,70.2,免费评估
49,Radboud University,Netherlands,70.8,47.4,86.4,87.4,70.1,免费评估
49,奥克兰大学The University of Auckland,New Zealand,68.8,74.6,81.0,71.2,70.1,免费评估
