Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,98.3,97.4,96.6,98.6,98.1,免费评估
2,"University of California, Berkeley (UCB)",United States,100.0,77.7,100.0,98.6,97.6,免费评估
2,剑桥大学University of Cambridge,United Kingdom,99.9,100.0,87.8,89.0,97.6,免费评估
4,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,99.5,89.6,90.4,95.6,97.2,免费评估
5,牛津大学University of Oxford,United Kingdom,97.5,97.3,92.2,98.6,97.1,免费评估
6,University of Chicago,United States,95.0,74.8,96.1,89.0,92.5,免费评估
7,University of Michigan,United States,94.0,71.2,94.7,100.0,92.4,免费评估
8,Stanford University,United States,92.1,92.4,95.1,83.3,91.6,免费评估
9,"University of California, Los Angeles (UCLA)",United States,92.4,84.6,89.4,87.2,90.8,免费评估
10,伦敦大学学院University College London,United Kingdom,90.8,68.6,90.8,92.5,88.8,免费评估
11,University of Toronto,Canada,89.6,68.3,95.7,94.1,88.5,免费评估
12,Yale University,United States,87.4,86.8,89.0,90.8,87.8,免费评估
13,The Australian National University,Australia,90.5,77.8,82.6,74.3,86.8,免费评估
14,University of Amsterdam,Netherlands,86.4,88.0,89.2,83.3,86.5,免费评估
15,Columbia University,United States,86.6,75.4,90.7,85.3,85.8,免费评估
16,University of Copenhagen,Denmark,85.6,84.1,85.5,76.7,84.6,免费评估
17,The University of Tokyo,Japan,87.3,88.1,69.5,66.0,83.5,免费评估
18,曼彻斯特大学The University of Manchester,United Kingdom,84.7,85.8,80.8,71.7,83.1,免费评估
19,New York University (NYU),United States,81.7,78.9,94.2,85.3,83.0,免费评估
20,University of British Columbia,Canada,84.9,65.1,86.6,74.3,82.0,免费评估
21,Cornell University,United States,81.1,65.4,96.6,89.0,81.9,免费评估
21,爱丁堡大学The University of Edinburgh,United Kingdom,81.5,84.3,83.1,81.2,81.9,免费评估
23,伦敦大学亚非学院SOAS University of London,United Kingdom,91.4,46.1,72.8,59.4,81.8,免费评估
24,Princeton University,United States,83.0,73.3,81.1,79.0,81.4,免费评估
25,National University of Singapore (NUS),Singapore,87.1,81.6,67.6,47.0,80.6,免费评估
26,University of Pennsylvania,United States,79.4,76.6,87.7,83.3,80.3,免费评估
27,Duke University,United States,79.9,59.2,90.1,87.2,79.6,免费评估
28,Universidad Nacional Autónoma de México (UNAM),Mexico,88.3,72.8,54.4,47.0,79.2,免费评估
29,The University of Melbourne,Australia,79.8,75.6,82.7,71.7,78.9,免费评估
30,伦敦大学金史密斯学院Goldsmiths University of London,United Kingdom,77.4,82.6,79.6,79.0,78.3,免费评估
30,University of Texas at Austin,United States,79.9,69.5,85.5,68.9,78.3,免费评估
32,University of Wisconsin-Madison,United States,77.9,60.6,90.3,81.2,77.7,免费评估
33,Freie Universitaet Berlin,Germany,82.8,83.2,69.8,42.0,77.5,免费评估
34,The University of Sydney,Australia,79.4,80.6,72.7,62.8,77.2,免费评估
35,杜伦大学Durham University,United Kingdom,76.0,65.0,89.9,83.3,77.0,免费评估
36,McGill University,Canada,82.4,64.3,68.0,59.4,76.9,免费评估
37,University of Oslo,Norway,75.3,74.8,83.9,81.2,76.7,免费评估
38,Universidad de Buenos Aires (UBA),Argentina,82.6,72.9,58.1,51.6,76.1,免费评估
39,Aarhus University,Denmark,76.1,84.1,74.9,66.0,75.8,免费评估
40,Kyoto University,Japan,79.2,74.2,65.6,62.8,75.7,免费评估
41,Humboldt-Universit?t zu Berlin,Germany,80.9,80.7,56.8,51.6,75.5,免费评估
42,Universidade de S?o Paulo,Brazil,80.3,69.1,69.1,51.6,75.2,免费评估
43,University of Helsinki,Finland,76.5,70.0,75.4,66.0,74.7,免费评估
44,The University of Auckland,New Zealand,74.1,76.0,75.0,76.7,74.6,免费评估
45,Leiden University,Netherlands,79.6,67.2,68.9,51.6,74.5,免费评估
46,University of Washington,United States,74.0,61.2,81.2,76.7,73.7,免费评估
47,Indiana University Bloomington,United States,71.2,65.9,86.7,81.2,73.2,免费评估
48,Arizona State University,United States,71.9,55.7,92.6,79.0,73.1,免费评估
49,Universidade Federal do Rio de Janeiro,Brazil,75.6,60.1,73.7,66.0,72.9,免费评估
50,Massachusetts Institute of Technology (MIT),United States,72.2,90.8,70.3,59.4,72.6,免费评估
