Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,99.4,100.0,93.7,100.0,98.7,免费评估
2,牛津大学University of Oxford,United Kingdom,100.0,96.8,86.3,98.9,97.5,免费评估
3,剑桥大学University of Cambridge,United Kingdom,99.7,99.0,85.4,96.7,97.0,免费评估
4,Stanford University,United States,90.9,91.8,100.0,98.9,93.6,免费评估
5,"University of California, Berkeley (UCB)",United States,94.6,87.0,93.5,93.1,93.5,免费评估
6,Yale University,United States,95.5,89.6,87.3,86.2,92.3,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,96.1,89.2,85.2,81.3,91.6,免费评估
8,Princeton University,United States,95.0,81.5,88.4,84.6,91.1,免费评估
9,Columbia University,United States,92.1,80.6,91.4,90.5,90.6,免费评估
10,University of Chicago,United States,90.4,79.0,92.1,90.5,89.5,免费评估
11,"University of California, Los Angeles (UCLA)",United States,88.3,84.4,92.4,90.5,88.9,免费评估
12,University of Toronto,Canada,84.4,83.7,87.5,90.5,85.7,免费评估
13,University of Wisconsin-Madison,United States,87.1,61.5,93.1,87.7,85.5,免费评估
14,The Australian National University,Australia,90.3,79.1,79.7,73.4,85.1,免费评估
15,伦敦大学学院University College London,United Kingdom,80.9,81.3,90.8,94.4,84.5,免费评估
16,University of Michigan,United States,83.1,70.9,91.7,87.7,83.9,免费评估
17,Leiden University,Netherlands,87.8,70.4,82.5,77.6,83.7,免费评估
18,University of Pennsylvania,United States,79.1,76.6,93.6,93.1,83.1,免费评估
19,伦敦国王学院King's College London,United Kingdom,82.5,81.3,83.1,84.6,82.8,免费评估
20,The University of Tokyo,Japan,88.0,83.0,73.1,68.7,82.4,免费评估
21,The University of Sydney,Australia,82.9,79.5,82.3,79.5,82.0,免费评估
22,Johns Hopkins University,United States,80.3,69.0,91.2,86.2,81.7,免费评估
23,University of British Columbia,Canada,77.4,78.8,95.3,86.2,81.5,免费评估
23,爱丁堡大学The University of Edinburgh,United Kingdom,79.3,81.7,85.5,86.2,81.5,免费评估
25,Humboldt-Universit?t zu Berlin,Germany,83.7,76.5,81.4,75.5,81.4,免费评估
26,Duke University,United States,79.6,68.9,91.5,86.2,81.3,免费评估
27,University of Texas at Austin,United States,81.0,70.6,87.0,83.0,81.2,免费评估
28,The University of Melbourne,Australia,80.0,83.0,83.8,81.3,81.1,免费评估
29,Cornell University,United States,81.1,74.7,86.0,77.6,80.7,免费评估
29,曼彻斯特大学The University of Manchester,United Kingdom,77.1,84.0,87.5,86.2,80.7,免费评估
31,华威大学The University of Warwick,United Kingdom,79.6,77.2,84.8,79.5,80.1,免费评估
32,National University of Singapore (NUS),Singapore,84.2,79.3,73.4,68.7,79.8,免费评估
33,Kyoto University,Japan,88.1,80.3,68.9,56.8,79.7,免费评估
34,New York University (NYU),United States,76.0,79.2,87.9,86.2,79.6,免费评估
35,McGill University,Canada,76.4,76.9,87.5,81.3,78.9,免费评估
36,Université Paris 1 Panthéon-Sorbonne,France,86.2,79.2,67.5,56.8,78.3,免费评估
37,杜伦大学Durham University,United Kingdom,74.1,78.2,87.3,84.6,78.1,免费评估
38,University of Amsterdam,Netherlands,73.8,72.9,87.1,89.1,78.0,免费评估
39,伦敦大学亚非学院SOAS University of London,United Kingdom,86.2,71.6,66.7,60.2,77.9,免费评估
40,Monash University,Australia,75.8,77.2,81.9,79.5,77.4,免费评估
41,Freie Universitaet Berlin,Germany,82.4,76.4,69.9,63.2,77.0,免费评估
42,Peking University,China,84.8,85.5,63.6,53.1,76.9,免费评估
42,"University of North Carolina, Chapel Hill",United States,76.1,62.8,88.6,77.6,76.9,免费评估
44,Massachusetts Institute of Technology (MIT),United States,70.2,89.2,88.4,83.0,76.8,免费评估
45,Northwestern University,United States,70.4,68.6,94.8,87.7,76.5,免费评估
46,Utrecht University,Netherlands,75.6,65.3,84.7,77.6,76.2,免费评估
47,Seoul National University,South Korea,81.4,78.1,67.5,60.2,75.8,免费评估
48,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,74.2,76.2,78.5,77.6,75.6,免费评估
49,Brown University,United States,72.8,68.4,87.3,79.5,75.5,免费评估
50,Ludwig-Maximilians-Universit?t München,Germany,75.4,56.9,84.1,77.6,75.2,免费评估
