Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,University of Pennsylvania,United States,98.9,66.6,98.3,99.6,95.7,免费评估
2,Johns Hopkins University,United States,91.6,71.6,96.2,100.0,93.5,免费评估
3,伦敦国王学院King's College London,United Kingdom,100.0,65.1,93.4,94.3,92.8,免费评估
4,曼彻斯特大学The University of Manchester,United Kingdom,95.8,74.8,93.2,90.4,91.3,免费评估
4,University of Technology Sydney,Australia,95.2,92.3,94.0,84.5,91.3,免费评估
6,University of Toronto,Canada,85.9,78.6,93.4,93.7,89.8,免费评估
6,University of Washington,United States,91.1,56.5,95.7,93.7,89.8,免费评估
8,"University of California, San Francisco",United States,84.8,50.8,97.6,97.3,89.0,免费评估
9,The University of Sydney,Australia,80.9,100.0,91.0,90.9,88.8,免费评估
10,南安普顿大学University of Southampton,United Kingdom,92.7,52.3,95.2,89.8,88.5,免费评估
11,University of Michigan,United States,89.2,64.7,91.7,90.9,88.0,免费评估
12,Karolinska Institutet,Sweden,82.5,54.3,98.7,93.7,87.9,免费评估
12,Monash University,Australia,83.9,93.9,89.3,88.5,87.9,免费评估
14,"University of North Carolina, Chapel Hill",United States,77.9,55.7,98.7,97.3,87.7,免费评估
14,Yale University,United States,74.0,84.1,99.8,90.4,87.7,免费评估
16,University of Alberta,Canada,82.6,71.3,92.8,90.9,87.0,免费评估
17,University of Pittsburgh,United States,73.0,57.1,97.8,97.3,86.1,免费评估
18,The University of Melbourne,Australia,82.9,88.6,90.5,83.8,86.0,免费评估
19,National University of Singapore (NUS),Singapore,75.4,67.4,98.0,87.9,85.1,免费评估
20,National Taiwan University (NTU),Taiwan,79.0,79.7,92.7,83.0,84.4,免费评估
20,University of British Columbia,Canada,77.4,72.5,93.1,86.6,84.4,免费评估
22,Duke University,United States,74.7,61.3,93.6,92.1,84.3,免费评估
23,"University of California, Los Angeles (UCLA)",United States,66.8,74.4,96.6,92.6,84.2,免费评估
24,Deakin University,Australia,78.4,90.1,90.1,81.5,84.0,免费评估
25,New York University (NYU),United States,79.1,68.1,90.4,85.9,83.4,免费评估
26,University of Minnesota,United States,63.7,68.3,97.3,93.7,83.2,免费评估
27,McMaster University,Canada,75.8,59.8,95.9,85.2,83.1,免费评估
27,The Chinese University of Hong Kong (CUHK),Hong Kong,76.3,89.7,90.2,80.7,83.1,免费评估
29,爱丁堡大学The University of Edinburgh,United Kingdom,75.8,64.1,95.4,83.8,82.9,免费评估
30,The Hong Kong Polytechnic University,Hong Kong,84.4,85.7,84.9,78.2,82.8,免费评估
30,"University of Illinois, Chicago (UIC)",United States,80.4,70.8,89.1,83.0,82.8,免费评估
32,Columbia University,United States,69.4,64.5,94.6,89.8,82.6,免费评估
33,The University of Adelaide,Australia,74.3,84.7,91.3,80.7,82.4,免费评估
34,Griffith University,Australia,77.5,83.8,86.0,83.0,82.3,免费评估
35,Pennsylvania State University,United States,74.3,58.9,94.1,85.9,82.2,免费评估
36,"Trinity College Dublin, The University of Dublin",Ireland,78.8,83.4,87.9,79.1,82.1,免费评估
37,阿尔斯特大学University of Ulster,United Kingdom,79.6,84.0,85.4,79.1,81.6,免费评估
38,The University of Queensland,Australia,69.6,76.8,88.4,87.9,81.5,免费评估
39,McGill University,Canada,64.6,71.6,94.0,88.5,81.3,免费评估
40,University of Ottawa,Canada,77.7,59.4,91.5,81.5,81.2,免费评估
41,University of Turku,Finland,75.7,73.0,90.3,79.9,81.1,免费评估
42,Queensland University of Technology (QUT),Australia,90.5,67.5,84.4,72.5,81.0,免费评估
42,诺丁汉大学University of Nottingham,United Kingdom,74.0,61.5,90.4,85.2,81.0,免费评估
42,University of Eastern Finland,Finland,69.3,69.9,96.8,80.7,81.0,免费评估
45,"University of Colorado, Denver",United States,62.8,48.4,98.0,92.6,80.9,免费评估
46,Aarhus University,Denmark,62.9,67.7,95.5,88.5,80.8,免费评估
46,University of Gothenburg,Sweden,71.6,42.2,95.9,87.9,80.8,免费评估
48,University of South Australia,Australia,71.4,84.9,90.8,78.2,80.6,免费评估
49,Lund University,Sweden,69.9,55.5,93.4,86.6,80.5,免费评估
50,The University of Auckland,New Zealand,74.1,88.8,90.1,72.5,79.9,免费评估
