Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,伦敦大学学院University College London,United Kingdom,100.0,87.3,94.8,97.0,97.1,免费评估
2,Harvard University,United States,88.2,100.0,98.7,100.0,93.8,免费评估
3,Stanford University,United States,84.7,93.4,100.0,100.0,91.7,免费评估
4,剑桥大学University of Cambridge,United Kingdom,85.3,97.8,93.9,90.9,89.4,免费评估
5,The University of Melbourne,Australia,88.0,85.9,90.7,91.5,89.0,免费评估
6,牛津大学University of Oxford,United Kingdom,84.5,97.6,94.0,90.3,88.9,免费评估
7,The University of Hong Kong,Hong Kong,84.8,81.9,93.6,92.6,87.8,免费评估
8,"University of California, Berkeley (UCB)",United States,82.9,87.8,94.7,90.9,87.4,免费评估
9,"University of California, Los Angeles (UCLA)",United States,78.3,86.1,96.7,94.2,85.9,免费评估
10,University of Toronto,Canada,80.9,79.2,91.8,93.1,85.4,免费评估
11,The University of Sydney,Australia,81.2,87.7,90.8,88.5,85.2,免费评估
12,Columbia University,United States,79.5,79.6,94.0,91.5,84.8,免费评估
13,The Education University of Hong Kong,Hong Kong,80.2,76.3,92.2,90.9,84.4,免费评估
14,The University of Queensland,Australia,77.8,76.7,93.0,95.6,84.3,免费评估
15,University of Wisconsin-Madison,United States,79.1,67.4,93.0,94.2,83.7,免费评估
16,University of Michigan,United States,74.2,73.3,96.3,97.5,83.2,免费评估
17,Monash University,Australia,75.3,86.3,91.7,92.6,83.1,免费评估
18,"Nanyang Technological University, Singapore (NTU)",Singapore,77.0,77.1,93.0,90.3,82.9,免费评估
19,University of British Columbia,Canada,74.5,78.7,93.8,92.1,82.3,免费评估
20,The University of Auckland,New Zealand,75.9,85.5,89.2,87.8,81.9,免费评估
21,Michigan State University,United States,74.0,57.8,95.2,95.6,80.9,免费评估
22,诺丁汉大学University of Nottingham,United Kingdom,73.6,71.9,92.6,87.2,80.0,免费评估
23,University of Amsterdam,Netherlands,69.9,76.6,96.4,89.7,79.8,免费评估
24,Johns Hopkins University,United States,72.6,63.8,95.3,89.1,79.6,免费评估
25,伯明翰大学University of Birmingham,United Kingdom,73.1,75.5,90.6,85.8,79.4,免费评估
25,爱丁堡大学The University of Edinburgh,United Kingdom,73.8,77.7,89.4,84.3,79.4,免费评估
25,Vanderbilt University,United States,74.5,53.7,93.8,90.3,79.4,免费评估
28,Deakin University,Australia,73.9,69.4,89.0,87.8,79.3,免费评估
29,Pontificia Universidad Católica de Chile (UC),Chile,80.8,80.0,80.1,72.9,79.0,免费评估
30,Beijing Normal University,China,80.0,69.1,83.7,76.3,78.9,免费评估
31,Boston College,United States,71.6,63.1,95.4,87.2,78.6,免费评估
31,University of Illinois at Urbana-Champaign,United States,71.9,64.6,91.3,89.7,78.6,免费评估
33,McGill University,Canada,69.5,79.0,92.0,86.5,78.4,免费评估
34,伦敦国王学院King's College London,United Kingdom,67.9,75.7,94.4,87.8,78.0,免费评估
35,Pennsylvania State University,United States,69.5,61.5,92.5,92.6,77.9,免费评估
35,University of Twente,Netherlands,72.9,43.3,97.2,88.5,77.9,免费评估
37,The Chinese University of Hong Kong (CUHK),Hong Kong,72.4,70.9,89.5,82.7,77.7,免费评估
38,Universidad Nacional Autónoma de México (UNAM),Mexico,85.8,81.7,67.4,64.2,77.4,免费评估
39,The Australian National University,Australia,69.1,88.9,88.3,81.1,77.3,免费评估
40,National Taiwan Normal University,Taiwan,71.9,67.0,87.9,84.3,77.1,免费评估
41,Universiti Malaya (UM),Malaysia,76.7,83.4,80.7,70.3,76.9,免费评估
41,University of Texas at Austin,United States,64.8,68.0,93.5,95.2,76.9,免费评估
43,布里斯托大学University of Bristol,United Kingdom,67.8,67.9,94.3,85.1,76.6,免费评估
44,University of Washington,United States,63.6,65.3,95.5,95.2,76.5,免费评估
45,Queensland University of Technology (QUT),Australia,68.6,59.5,91.5,88.5,76.3,免费评估
46,New York University (NYU),United States,62.6,76.0,95.2,90.9,76.1,免费评估
46,Universidad de Chile,Chile,73.2,78.0,85.7,72.9,76.1,免费评估
48,University of Chicago,United States,65.7,73.3,94.7,84.3,76.0,免费评估
49,The University of New South Wales (UNSW Australia),Australia,67.1,79.0,87.7,84.3,75.9,免费评估
49,University of Alberta,Canada,67.8,67.2,90.4,85.8,75.9,免费评估
