Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,100.0,98.5,100.0,99.9,免费评估
2,牛津大学University of Oxford,United Kingdom,98.4,97.4,91.7,90.3,96.6,免费评估
3,剑桥大学University of Cambridge,United Kingdom,96.9,97.3,94.8,92.3,96.2,免费评估
4,Yale University,United States,95.8,87.5,100.0,95.3,93.4,免费评估
5,Stanford University,United States,90.8,91.9,98.3,95.3,92.2,免费评估
6,New York University (NYU),United States,98.1,75.7,98.6,97.5,91.3,免费评估
7,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,91.4,88.8,91.3,86.5,89.9,免费评估
8,"University of California, Berkeley (UCB)",United States,90.4,85.0,95.1,90.9,89.1,免费评估
9,Columbia University,United States,89.5,80.8,92.8,86.5,86.6,免费评估
10,University of Chicago,United States,87.3,75.7,99.5,94.1,85.5,免费评估
11,The University of Melbourne,Australia,86.7,85.2,87.1,81.1,85.4,免费评估
12,伦敦大学学院University College London,United Kingdom,89.1,76.2,88.4,85.7,84.7,免费评估
13,The University of Sydney,Australia,85.8,85.2,81.3,75.5,83.9,免费评估
14,The University of New South Wales (UNSW Australia),Australia,84.7,81.8,86.0,77.9,82.9,免费评估
15,National University of Singapore (NUS),Singapore,85.2,83.9,78.8,69.8,82.2,免费评估
16,The Australian National University,Australia,83.9,76.8,86.0,80.0,81.3,免费评估
17,University of Toronto,Canada,81.9,78.4,85.9,81.1,80.9,免费评估
18,伦敦国王学院King's College London,United Kingdom,86.5,72.6,81.2,75.5,80.4,免费评估
18,The University of Hong Kong,Hong Kong,82.3,82.0,78.0,71.4,80.4,免费评估
20,Peking University,China,81.7,87.1,80.7,60.4,80.1,免费评估
21,Georgetown University,United States,83.9,62.7,99.1,94.7,79.9,免费评估
22,The University of Tokyo,Japan,84.6,86.6,60.3,52.4,79.2,免费评估
22,"University of California, Los Angeles (UCLA)",United States,74.6,83.5,91.5,82.1,79.2,免费评估
24,爱丁堡大学The University of Edinburgh,United Kingdom,84.9,69.4,83.6,77.9,79.1,免费评估
25,McGill University,Canada,80.2,78.1,84.9,72.8,78.7,免费评估
26,Université Paris 1 Panthéon-Sorbonne,France,85.3,78.9,70.4,58.0,78.5,免费评估
27,Monash University,Australia,74.1,81.8,84.3,82.1,78.1,免费评估
28,University of British Columbia,Canada,74.9,77.9,90.0,79.0,77.2,免费评估
29,University of Michigan,United States,75.7,71.4,93.2,87.3,77.0,免费评估
30,University of Pennsylvania,United States,69.7,78.3,94.1,92.3,76.9,免费评估
31,Universidad Nacional Autónoma de México (UNAM),Mexico,80.1,79.8,69.3,60.4,76.5,免费评估
32,Leiden University,Netherlands,82.9,61.4,88.1,81.1,76.4,免费评估
33,Tsinghua University,China,76.1,84.7,76.8,58.0,76.0,免费评估
34,Cornell University,United States,72.9,73.3,92.8,84.8,75.8,免费评估
34,Seoul National University,South Korea,77.8,82.7,75.7,55.3,75.8,免费评估
36,The University of Auckland,New Zealand,74.3,79.3,82.2,68.2,75.3,免费评估
37,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,80.6,66.7,82.3,71.4,75.1,免费评估
38,National Taiwan University (NTU),Taiwan,75.0,75.0,83.6,68.2,74.4,免费评估
39,Ruprecht-Karls-Universitaet Heidelberg,Germany,83.4,66.9,74.2,55.3,73.8,免费评估
40,杜伦大学Durham University,United Kingdom,73.8,71.7,85.6,72.8,73.6,免费评估
40,KU Leuven,Belgium,75.2,66.8,85.6,77.9,73.6,免费评估
40,Ludwig-Maximilians-Universit?t München,Germany,82.7,67.6,73.6,55.3,73.6,免费评估
43,University of Technology Sydney,Australia,72.2,77.9,81.8,64.6,73.3,免费评估
44,Duke University,United States,70.5,65.5,96.0,89.5,73.1,免费评估
44,Pontificia Universidad Católica de Chile (UC),Chile,74.6,81.3,62.0,55.3,73.1,免费评估
46,Victoria University of Wellington,New Zealand,77.9,69.7,74.5,62.6,73.0,免费评估
47,Alma Mater Studiorum - University of Bologna,Italy,75.8,70.3,78.9,66.5,72.9,免费评估
48,Korea University,South Korea,71.3,80.4,81.4,58.0,72.5,免费评估
48,The University of Queensland,Australia,66.6,76.3,88.6,79.0,72.5,免费评估
50,Kyoto University,Japan,76.4,77.9,69.8,49.0,72.4,免费评估
50,Universidade de S?o Paulo,Brazil,73.7,76.5,78.4,58.0,72.4,免费评估
