Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,"University of California, Berkeley (UCB)",United States,100.0,86.5,93.7,95.4,95.9,免费评估
2,Stanford University,United States,95.4,93.3,97.4,95.4,95.7,免费评估
3,Massachusetts Institute of Technology (MIT),United States,98.4,94.9,96.2,88.8,95.1,免费评估
4,Harvard University,United States,96.6,100.0,94.0,88.8,94.3,免费评估
4,牛津大学University of Oxford,United Kingdom,96.3,95.1,93.0,91.9,94.3,免费评估
6,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,93.2,84.4,94.2,97.4,93.6,免费评估
6,剑桥大学University of Cambridge,United Kingdom,97.6,97.3,91.2,88.0,93.6,免费评估
6,Wageningen University,Netherlands,95.1,71.4,93.6,100.0,93.6,免费评估
9,帝国理工学院Imperial College London,United Kingdom,90.8,85.6,94.3,94.8,92.2,免费评估
9,National University of Singapore (NUS),Singapore,95.5,84.7,93.6,88.4,92.2,免费评估
11,University of British Columbia,Canada,95.3,77.5,91.4,91.6,91.6,免费评估
12,The University of Queensland,Australia,92.3,76.6,91.8,94.5,91.2,免费评估
13,"University of California, Davis",United States,92.3,63.6,92.1,93.6,89.7,免费评估
13,Yale University,United States,87.3,88.3,95.5,88.4,89.7,免费评估
15,The University of New South Wales (UNSW Australia),Australia,89.2,86.6,90.2,90.2,89.4,免费评估
16,"University of California, Los Angeles (UCLA)",United States,90.2,85.5,94.0,84.3,89.2,免费评估
17,University of Washington,United States,87.4,71.0,93.3,93.9,88.9,免费评估
18,Delft University of Technology,Netherlands,89.6,72.8,89.1,93.6,88.8,免费评估
19,California Institute of Technology (Caltech),United States,89.0,78.1,97.0,83.4,88.5,免费评估
19,Cornell University,United States,88.0,78.7,91.9,89.9,88.5,免费评估
19,The University of Melbourne,Australia,87.7,84.5,89.6,90.2,88.5,免费评估
22,Tsinghua University,China,84.9,84.9,88.5,94.2,88.1,免费评估
23,"Nanyang Technological University, Singapore (NTU)",Singapore,81.7,75.3,100.0,91.3,88.0,免费评估
24,The Australian National University,Australia,86.6,78.1,91.8,89.9,87.9,免费评估
25,The University of Tokyo,Japan,94.0,86.7,84.9,79.5,87.4,免费评估
26,McGill University,Canada,85.4,78.8,92.4,87.2,86.9,免费评估
27,Peking University,China,83.7,87.4,90.0,88.0,86.7,免费评估
28,University of Michigan,United States,83.6,74.8,92.0,90.9,86.6,免费评估
29,Duke University,United States,82.6,66.2,95.7,91.6,86.5,免费评估
29,Princeton University,United States,82.4,82.2,96.3,84.8,86.5,免费评估
31,University of Toronto,Canada,84.6,80.2,89.6,86.0,85.8,免费评估
32,University of Wisconsin-Madison,United States,82.3,65.2,92.9,91.9,85.6,免费评估
33,Seoul National University,South Korea,84.3,82.4,89.3,84.3,85.4,免费评估
34,University of Texas at Austin,United States,80.9,73.8,91.7,90.2,85.2,免费评估
35,"University of California, Santa Barbara (UCSB)",United States,79.1,69.1,97.1,88.8,85.0,免费评估
36,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,74.5,78.0,98.2,90.9,84.9,免费评估
37,Columbia University,United States,81.3,82.3,92.2,83.4,84.7,免费评估
38,Georgia Institute of Technology,United States,80.7,74.4,93.6,85.6,84.5,免费评估
38,Lund University,Sweden,83.4,63.0,90.4,89.1,84.5,免费评估
40,Stockholm University,Sweden,82.5,50.8,93.3,91.9,84.4,免费评估
41,National Taiwan University (NTU),Taiwan,83.6,75.6,87.9,84.3,84.1,免费评估
42,Arizona State University,United States,79.9,64.6,93.2,89.1,84.0,免费评估
42,Technical University of Denmark,Denmark,77.5,62.1,93.1,94.2,84.0,免费评估
44,James Cook University,Australia,82.0,60.8,91.6,88.4,83.9,免费评估
45,University of Illinois at Urbana-Champaign,United States,81.5,64.6,89.7,89.1,83.8,免费评估
46,Kyoto University,Japan,88.6,82.0,82.6,77.4,83.6,免费评估
47,Pennsylvania State University,United States,78.1,66.7,91.0,91.3,83.5,免费评估
47,Texas A&M University,United States,82.6,67.9,86.0,88.8,83.5,免费评估
49,Monash University,Australia,77.8,80.6,91.1,85.6,83.4,免费评估
49,伦敦大学学院University College London,United Kingdom,81.4,75.3,89.3,83.9,83.4,免费评估
49,Universiti Sains Malaysia (USM),Malaysia,82.2,77.4,88.5,82.5,83.4,免费评估
49,University of Minnesota,United States,77.0,68.0,91.6,91.6,83.4,免费评估
