Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,100.0,86.0,,98.6,免费评估
2,牛津大学University of Oxford,United Kingdom,96.8,94.4,77.0,,94.3,免费评估
3,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,97.0,87.3,80.8,,93.4,免费评估
4,"University of California, Berkeley (UCB)",United States,95.8,87.8,81.9,,92.8,免费评估
5,剑桥大学University of Cambridge,United Kingdom,93.9,96.1,76.0,,92.6,免费评估
6,Stanford University,United States,91.2,93.0,90.1,,91.5,免费评估
7,Massachusetts Institute of Technology (MIT),United States,87.0,91.2,90.5,,88.2,免费评估
8,The Australian National University,Australia,89.0,90.6,69.7,,87.4,免费评估
9,The University of Tokyo,Japan,98.5,90.8,,,87.1,免费评估
10,The University of Hong Kong,Hong Kong,87.6,82.2,76.0,,85.4,免费评估
11,University of Chicago,United States,89.2,69.0,85.6,,84.8,免费评估
12,National University of Singapore (NUS),Singapore,88.3,86.4,55.9,,84.7,免费评估
13,Columbia University,United States,88.4,72.4,82.3,,84.6,免费评估
14,"University of California, Los Angeles (UCLA)",United States,86.5,84.5,68.2,,84.3,免费评估
15,Seoul National University,South Korea,84.1,86.9,68.6,,83.1,免费评估
16,Johns Hopkins University,United States,92.6,55.0,71.4,,83.0,免费评估
16,The University of Melbourne,Australia,84.9,84.2,67.5,,83.0,免费评估
18,University of Toronto,Canada,84.7,78.0,77.3,,82.6,免费评估
19,Peking University,China,83.2,91.1,58.2,,82.3,免费评估
20,Syracuse University,United States,95.2,30.9,94.1,,82.2,免费评估
21,爱丁堡大学The University of Edinburgh,United Kingdom,86.6,63.8,74.7,,80.9,免费评估
22,The University of Sydney,Australia,80.5,89.0,64.7,,80.6,免费评估
23,University of Michigan,United States,84.8,60.3,84.3,,79.9,免费评估
24,New York University (NYU),United States,83.7,73.0,66.1,,79.8,免费评估
24,约克大学The University of York,United Kingdom,89.1,49.6,75.1,,79.8,免费评估
26,Pontificia Universidad Católica de Chile (UC),Chile,83.9,79.8,47.4,,79.4,免费评估
26,布里斯托大学University of Bristol,United Kingdom,87.0,56.0,72.5,,79.4,免费评估
28,Korea University,South Korea,80.8,85.6,56.5,,79.3,免费评估
28,伦敦大学学院University College London,United Kingdom,84.1,68.4,67.1,,79.3,免费评估
30,Yonsei University,South Korea,80.8,83.7,59.0,,79.2,免费评估
31,National Taiwan University (NTU),Taiwan,82.4,77.7,55.4,,78.8,免费评估
32,University of Amsterdam,Netherlands,78.0,77.7,84.1,,78.6,免费评估
32,University of British Columbia,Canada,81.6,67.7,79.1,,78.6,免费评估
34,Freie Universitaet Berlin,Germany,81.6,61.4,87.4,,78.1,免费评估
35,The University of Georgia,United States,82.1,62.4,79.8,,77.9,免费评估
36,Georgetown University,United States,80.6,64.0,83.9,,77.6,免费评估
37,American University,United States,82.8,62.1,70.7,,77.5,免费评估
38,Princeton University,United States,86.8,83.2,,,77.4,免费评估
39,Indiana University Bloomington,United States,79.9,63.8,85.6,,77.3,免费评估
40,The Chinese University of Hong Kong (CUHK),Hong Kong,80.3,66.5,74.9,,77.0,免费评估
40,The University of New South Wales (UNSW Australia),Australia,80.1,78.9,51.5,,77.0,免费评估
42,Universidad Nacional Autónoma de México (UNAM),Mexico,86.7,77.0,,,76.1,免费评估
43,伯明翰大学University of Birmingham,United Kingdom,78.9,65.1,77.6,,76.0,免费评估
44,Cornell University,United States,75.7,76.6,75.3,,75.8,免费评估
45,The University of Auckland,New Zealand,74.4,85.5,61.9,,75.4,免费评估
46,Stockholm University,Sweden,85.7,42.0,69.3,,75.3,免费评估
47,City University of Hong Kong,Hong Kong,77.6,68.9,70.1,,75.1,免费评估
48,Tsinghua University,China,71.9,88.8,69.1,,75.0,免费评估
48,"University of Maryland, College Park",United States,78.0,61.8,80.4,,75.0,免费评估
50,Kyoto University,Japan,83.6,82.0,,,74.9,免费评估
