Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,97.1,100.0,98.5,86.7,96.5,免费评估
2,牛津大学University of Oxford,United Kingdom,97.1,99.7,87.4,86.7,95.4,免费评估
3,杜伦大学Durham University,United Kingdom,100.0,94.8,71.2,72.2,93.8,免费评估
4,剑桥大学University of Cambridge,United Kingdom,95.2,99.3,84.2,81.6,93.2,免费评估
5,Boston College,United States,99.1,67.4,86.4,78.8,92.6,免费评估
6,Yale University,United States,91.6,88.0,77.2,78.8,88.5,免费评估
7,Vrije Universiteit Amsterdam,Netherlands,89.6,87.9,78.0,84.2,87.7,免费评估
8,Duke University,United States,86.7,75.9,99.1,93.1,87.5,免费评估
9,KU Leuven,Belgium,94.2,62.3,74.4,75.6,87.2,免费评估
9,Princeton University,United States,90.4,74.2,89.2,75.6,87.2,免费评估
11,University of Toronto,Canada,86.0,90.9,86.1,86.7,86.6,免费评估
12,University of Chicago,United States,89.3,82.4,81.1,75.6,86.4,免费评估
13,Eberhard Karls Universit?t Tübingen,Germany,93.2,67.0,71.3,63.9,85.5,免费评估
13,Ruprecht-Karls-Universitaet Heidelberg,Germany,92.8,77.4,64.1,63.9,85.5,免费评估
15,"University of California, Berkeley (UCB)",United States,89.3,85.8,70.5,68.3,85.0,免费评估
16,University of Notre Dame,United States,85.0,57.3,96.6,100.0,84.9,免费评估
17,Université catholique de Louvain (UCL),Belgium,89.1,55.3,87.1,78.8,84.5,免费评估
18,圣安德鲁斯大学University of St Andrews,United Kingdom,88.0,70.2,77.8,75.6,84.0,免费评估
19,爱丁堡大学The University of Edinburgh,United Kingdom,86.7,76.9,74.9,63.9,82.3,免费评估
20,Stanford University,United States,83.6,92.2,68.0,63.9,80.9,免费评估
20,"University of California, Los Angeles (UCLA)",United States,83.1,87.3,71.7,68.3,80.9,免费评估
22,伦敦大学亚非学院SOAS University of London,United Kingdom,88.8,58.4,61.7,63.9,80.6,免费评估
23,The Hebrew University of Jerusalem,Israel,86.4,46.3,70.0,75.6,79.7,免费评估
24,埃克塞特大学University of Exeter,United Kingdom,82.3,73.7,76.8,68.3,79.5,免费评估
25,Emory University,United States,87.4,30.8,78.8,72.2,79.4,免费评估
26,Monash University,Australia,81.3,98.2,67.1,58.9,79.3,免费评估
27,Georgetown University,United States,78.4,60.8,87.2,84.2,78.1,免费评估
28,阿伯丁大学University of Aberdeen,United Kingdom,81.2,53.5,81.4,75.6,77.9,免费评估
29,McGill University,Canada,80.9,73.1,73.7,63.9,77.7,免费评估
30,Pontificia Universidad Católica de Chile (UC),Chile,82.8,73.0,58.2,58.9,77.0,免费评估
31,曼彻斯特大学The University of Manchester,United Kingdom,73.8,75.9,93.3,78.8,76.5,免费评估
32,伦敦国王学院King's College London,United Kingdom,77.5,70.5,73.7,75.6,76.2,免费评估
32,Leiden University,Netherlands,76.6,80.0,77.3,68.3,76.2,免费评估
34,兰卡斯特大学Lancaster University,United Kingdom,77.4,76.0,70.1,68.3,75.6,免费评估
35,伯明翰大学University of Birmingham,United Kingdom,73.8,82.3,79.6,72.2,75.1,免费评估
36,Australian Catholic University,Australia,74.4,50.6,93.0,84.2,74.9,免费评估
37,Humboldt-Universit?t zu Berlin,Germany,80.3,78.3,43.9,58.9,74.3,免费评估
38,University of Copenhagen,Denmark,74.8,62.9,85.4,68.3,74.0,免费评估
39,University of Oslo,Norway,77.5,75.7,60.4,58.9,73.8,免费评估
40,Utrecht University,Netherlands,71.8,55.9,97.2,78.8,73.5,免费评估
41,Ludwig-Maximilians-Universit?t München,Germany,78.5,54.6,64.1,63.9,73.2,免费评估
42,University of Michigan,United States,66.8,75.9,98.1,88.9,73.1,免费评估
43,Radboud University,Netherlands,67.8,84.9,85.3,84.2,72.9,免费评估
44,University of Amsterdam,Netherlands,70.8,89.5,74.7,68.3,72.8,免费评估
45,University of Virginia,United States,75.6,49.9,74.4,72.2,72.6,免费评估
46,Columbia University,United States,72.7,71.3,76.8,68.3,72.5,免费评估
46,International Islamic University Malaysia (IIUM),Malaysia,79.1,95.8,29.5,45.5,72.5,免费评估
48,Deakin University,Australia,81.9,64.3,40.3,45.5,72.3,免费评估
49,The University of Sydney,Australia,70.7,84.1,74.7,68.3,72.2,免费评估
50,Northwestern University,United States,70.7,60.8,89.2,75.6,72.1,免费评估
