Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,97.1,100.0,93.3,96.4,96.3,免费评估
2,Monash University,Australia,100.0,88.7,91.7,91.5,94.7,免费评估
3,剑桥大学University of Cambridge,United Kingdom,93.6,95.2,94.8,93.0,93.9,免费评估
4,牛津大学University of Oxford,United Kingdom,92.6,97.3,93.6,93.7,93.6,免费评估
5,"University of California, San Francisco",United States,97.8,58.1,93.9,96.1,92.4,免费评估
6,诺丁汉大学University of Nottingham,United Kingdom,91.0,68.6,100.0,91.5,91.1,免费评估
7,伦敦国王学院King's College London,United Kingdom,88.9,77.2,94.4,94.4,90.5,免费评估
8,伦敦大学学院University College London,United Kingdom,87.8,73.8,93.1,97.9,90.3,免费评估
9,The University of Tokyo,Japan,88.6,87.5,90.2,92.3,89.8,免费评估
10,Karolinska Institutet,Sweden,85.0,81.6,94.5,95.4,89.6,免费评估
11,National University of Singapore (NUS),Singapore,84.9,74.8,96.6,93.7,89.0,免费评估
12,Yale University,United States,85.2,85.6,93.1,91.5,88.8,免费评估
13,"University of California, San Diego (UCSD)",United States,83.7,69.7,95.3,96.7,88.5,免费评估
14,曼彻斯特大学The University of Manchester,United Kingdom,86.5,65.1,94.7,91.5,87.7,免费评估
15,Johns Hopkins University,United States,85.5,62.1,92.6,96.1,87.6,免费评估
16,"University of North Carolina, Chapel Hill",United States,81.5,75.2,93.2,95.7,87.3,免费评估
17,Leiden University,Netherlands,85.8,60.9,94.5,90.4,86.6,免费评估
18,Seoul National University,South Korea,81.2,83.8,90.0,91.9,86.3,免费评估
19,Purdue University,United States,83.5,69.7,95.2,87.5,86.0,免费评估
20,The University of Sydney,Australia,80.1,80.5,91.5,90.4,85.6,免费评估
21,University of Michigan,United States,78.3,67.6,93.9,95.1,85.3,免费评估
21,University of Toronto,Canada,74.7,87.4,91.5,95.4,85.3,免费评估
23,Uppsala University,Sweden,80.7,72.7,93.2,88.4,85.0,免费评估
24,Peking University,China,81.7,77.0,86.9,90.4,84.7,免费评估
25,Kyoto University,Japan,82.2,82.6,89.5,83.4,84.4,免费评估
26,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,80.3,72.8,92.2,86.2,84.0,免费评估
26,帝国理工学院Imperial College London,United Kingdom,74.8,70.8,95.6,92.3,84.0,免费评估
28,University of British Columbia,Canada,78.0,79.4,93.4,85.8,83.9,免费评估
29,KU Leuven,Belgium,78.3,74.2,90.9,89.2,83.8,免费评估
30,University of Copenhagen,Denmark,75.8,63.7,93.3,94.7,83.7,免费评估
31,Ludwig-Maximilians-Universit?t München,Germany,76.6,78.0,90.8,89.2,83.4,免费评估
31,McGill University,Canada,77.4,79.1,91.3,86.7,83.4,免费评估
31,The University of Queensland,Australia,74.0,71.6,93.2,93.4,83.4,免费评估
34,The Chinese University of Hong Kong (CUHK),Hong Kong,76.7,73.7,92.8,86.2,82.8,免费评估
35,Freie Universitaet Berlin,Germany,72.2,86.1,92.6,87.9,82.6,免费评估
36,National Taiwan University (NTU),Taiwan,80.7,65.2,90.7,83.9,82.5,免费评估
37,Columbia University,United States,71.5,82.5,92.4,88.8,82.2,免费评估
37,Utrecht University,Netherlands,71.4,42.3,97.6,100.0,82.2,免费评估
39,University of Geneva,Switzerland,74.8,65.8,93.2,88.8,82.0,免费评估
40,The University of Hong Kong,Hong Kong,78.3,71.7,90.1,83.4,81.9,免费评估
41,Duke University,United States,69.9,81.0,92.8,89.2,81.6,免费评估
42,"University of Illinois, Chicago (UIC)",United States,79.3,58.6,91.1,84.4,81.5,免费评估
42,University of Washington,United States,67.9,70.6,93.9,95.1,81.5,免费评估
44,New York University (NYU),United States,71.7,80.3,93.8,84.8,81.4,免费评估
44,University of Alberta,Canada,70.3,71.9,93.9,90.4,81.4,免费评估
46,University of Milan,Italy,72.5,70.2,91.5,89.6,81.3,免费评估
47,University of Minnesota,United States,73.1,63.3,91.9,90.8,81.2,免费评估
48,Université de Montréal,Canada,74.5,72.5,90.5,85.3,81.0,免费评估
49,The University of Melbourne,Australia,71.1,77.0,90.9,87.5,80.7,免费评估
49,University of Southern California,United States,74.7,66.0,91.9,84.8,80.7,免费评估
