Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,98.8,99.2,94.2,95.9,97.0,免费评估
2,剑桥大学University of Cambridge,United Kingdom,99.6,100.0,91.5,91.3,95.5,免费评估
3,McGill University,Canada,100.0,82.4,88.6,89.4,92.7,免费评估
4,Stanford University,United States,93.3,90.8,91.1,92.5,92.3,免费评估
4,伦敦大学学院University College London,United Kingdom,91.1,82.7,91.9,98.5,92.3,免费评估
6,Columbia University,United States,86.7,72.2,99.4,98.5,91.4,免费评估
7,Johns Hopkins University,United States,89.8,73.9,92.6,99.0,91.2,免费评估
8,University of Toronto,Canada,86.2,91.2,88.9,98.5,90.5,免费评估
9,The University of Tokyo,Japan,89.3,84.2,86.2,88.1,87.7,免费评估
10,The University of Sydney,Australia,86.3,83.9,87.9,90.7,87.6,免费评估
11,The University of Melbourne,Australia,87.9,86.4,85.1,89.4,87.4,免费评估
12,University of Michigan,United States,83.4,74.6,90.2,91.9,86.3,免费评估
13,伦敦国王学院King's College London,United Kingdom,81.8,65.5,96.5,90.7,86.1,免费评估
13,The University of Western Australia,Australia,90.6,77.9,88.4,79.9,86.1,免费评估
15,布里斯托大学University of Bristol,United Kingdom,85.6,77.2,91.3,82.3,85.4,免费评估
16,University of Copenhagen,Denmark,70.7,86.7,91.3,100.0,84.8,免费评估
17,University of Pennsylvania,United States,71.5,82.2,94.0,97.5,84.7,免费评估
18,The Australian National University,Australia,85.9,86.1,89.0,76.4,84.3,免费评估
19,University of British Columbia,Canada,79.9,81.8,87.5,88.8,84.2,免费评估
20,University of Zurich,Switzerland,83.5,51.3,89.2,93.1,84.1,免费评估
21,Duke University,United States,75.4,63.0,95.6,91.9,83.3,免费评估
22,The University of New South Wales (UNSW Australia),Australia,82.0,74.6,86.4,85.3,83.2,免费评估
22,爱丁堡大学The University of Edinburgh,United Kingdom,84.3,70.8,90.4,79.1,83.2,免费评估
24,University of Otago,New Zealand,85.7,79.5,87.4,75.5,83.0,免费评估
25,Peking University,China,85.4,89.0,79.9,78.2,82.6,免费评估
26,Monash University,Australia,79.1,76.9,90.3,82.3,82.5,免费评估
27,曼彻斯特大学The University of Manchester,United Kingdom,82.7,72.2,87.5,80.7,82.4,免费评估
28,"University of California, Davis",United States,72.3,69.1,90.7,93.7,81.9,免费评估
29,Université de Montréal,Canada,73.9,83.1,88.9,86.8,81.8,免费评估
30,Kyoto University,Japan,84.3,74.3,83.8,77.3,81.4,免费评估
31,利兹大学University of Leeds,United Kingdom,71.7,78.4,94.9,83.1,81.0,免费评估
32,University of Barcelona,Spain,82.3,56.0,89.9,79.1,80.8,免费评估
33,Ludwig-Maximilians-Universit?t München,Germany,80.0,57.0,87.9,83.1,80.5,免费评估
34,The University of Auckland,New Zealand,85.2,92.4,78.0,69.3,80.1,免费评估
35,Baylor College of Medicine,United States,76.9,64.5,93.8,77.3,80.0,免费评估
36,McMaster University,Canada,69.1,56.3,95.7,90.1,79.7,免费评估
36,诺丁汉大学University of Nottingham,United Kingdom,67.7,70.7,94.0,88.1,79.7,免费评估
38,Alma Mater Studiorum - University of Bologna,Italy,78.4,68.7,89.2,76.4,79.6,免费评估
39,Pennsylvania State University,United States,75.7,55.9,86.9,87.4,79.4,免费评估
39,University of Lausanne,Switzerland,76.6,52.0,92.0,82.3,79.4,免费评估
39,University of Wisconsin-Madison,United States,69.4,65.4,89.5,90.7,79.4,免费评估
42,Università di Padova,Italy,75.1,56.8,90.6,83.9,79.3,免费评估
43,Laval University,Canada,83.8,67.6,85.9,69.3,79.1,免费评估
43,Washington University in St. Louis,United States,69.5,47.6,93.8,92.5,79.1,免费评估
45,University of Washington,United States,66.1,56.1,94.0,93.7,79.0,免费评估
46,KU Leuven,Belgium,74.4,73.4,86.6,80.7,78.9,免费评估
46,National University of Singapore (NUS),Singapore,84.6,71.4,88.3,63.3,78.9,免费评估
48,The University of Adelaide,Australia,73.5,71.2,87.9,80.7,78.7,免费评估
48,格拉斯哥大学University of Glasgow,United Kingdom,74.4,52.0,93.4,81.5,78.7,免费评估
50,Universidad Nacional Autónoma de México (UNAM),Mexico,78.8,81.4,81.4,74.5,78.6,免费评估
