Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,100.0,94.4,100.0,98.6,免费评估
2,牛津大学University of Oxford,United Kingdom,95.4,97.0,94.2,94.1,94.9,免费评估
3,剑桥大学University of Cambridge,United Kingdom,95.7,97.2,93.5,90.8,94.1,免费评估
4,Stanford University,United States,92.1,93.9,92.8,92.8,92.6,免费评估
5,Johns Hopkins University,United States,91.0,78.8,92.7,99.2,92.3,免费评估
6,Karolinska Institutet,Sweden,99.0,78.2,88.9,90.4,92.2,免费评估
7,"University of California, Los Angeles (UCLA)",United States,88.2,85.8,91.7,92.9,90.0,免费评估
8,Yale University,United States,88.3,88.2,91.0,88.4,89.0,免费评估
9,Massachusetts Institute of Technology (MIT),United States,86.4,96.0,97.5,80.0,88.5,免费评估
10,伦敦大学学院University College London,United Kingdom,84.6,84.8,91.0,93.5,88.4,免费评估
11,帝国理工学院Imperial College London,United Kingdom,86.7,87.0,91.6,85.8,87.7,免费评估
11,"University of California, San Francisco",United States,86.2,57.8,94.7,95.0,87.7,免费评估
11,University of Toronto,Canada,82.8,84.3,89.1,95.6,87.7,免费评估
14,Columbia University,United States,80.5,83.3,93.2,92.6,87.0,免费评估
15,伦敦国王学院King's College London,United Kingdom,86.1,79.3,90.6,86.3,86.6,免费评估
16,University of Pennsylvania,United States,79.1,78.5,92.5,94.5,86.2,免费评估
17,The University of Melbourne,Australia,85.5,88.1,87.2,84.8,86.0,免费评估
18,The University of Sydney,Australia,82.9,85.7,88.3,87.8,85.8,免费评估
19,"University of California, San Diego (UCSD)",United States,80.1,75.7,92.7,90.8,85.5,免费评估
20,Duke University,United States,77.5,75.4,93.7,93.3,85.3,免费评估
21,伦敦卫生与热带医学院London School of Hygiene & Tropical Medicine,United Kingdom,78.9,72.1,95.8,84.8,83.9,免费评估
21,McGill University,Canada,81.5,82.2,88.7,83.8,83.9,免费评估
21,爱丁堡大学The University of Edinburgh,United Kingdom,79.0,76.3,92.8,86.0,83.9,免费评估
24,University of Washington,United States,76.1,69.4,91.5,94.2,83.8,免费评估
25,The University of Tokyo,Japan,87.1,88.5,80.5,77.0,83.1,免费评估
26,University of Chicago,United States,77.4,79.4,91.5,84.8,83.0,免费评估
27,University of Michigan,United States,75.4,72.0,90.2,90.9,82.6,免费评估
28,University of Copenhagen,Denmark,76.8,71.0,88.5,89.1,82.2,免费评估
29,Monash University,Australia,80.5,83.0,85.9,80.6,82.1,免费评估
29,University of British Columbia,Canada,77.5,78.7,88.3,84.5,82.1,免费评估
31,National University of Singapore (NUS),Singapore,85.0,88.5,82.9,73.4,81.9,免费评估
32,Cornell University,United States,74.5,79.0,90.0,85.6,81.6,免费评估
33,New York University (NYU),United States,76.5,72.0,89.7,85.2,81.5,免费评估
34,University of Amsterdam,Netherlands,75.3,65.4,91.5,86.4,81.1,免费评估
34,The University of Hong Kong,Hong Kong,84.4,80.8,83.6,73.3,81.1,免费评估
36,University of Pittsburgh,United States,74.0,63.9,90.2,89.7,81.0,免费评估
37,McMaster University,Canada,73.0,68.2,93.1,85.9,80.8,免费评估
38,Washington University in St. Louis,United States,71.3,58.2,93.7,90.2,80.3,免费评估
39,Erasmus University Rotterdam,Netherlands,73.7,66.6,91.6,84.4,80.1,免费评估
40,格拉斯哥大学University of Glasgow,United Kingdom,75.0,70.5,91.5,79.5,79.8,免费评估
41,曼彻斯特大学The University of Manchester,United Kingdom,75.3,77.7,87.9,79.5,79.7,免费评估
42,Seoul National University,South Korea,78.0,82.3,82.1,78.6,79.6,免费评估
43,Baylor College of Medicine,United States,76.4,52.3,90.7,83.4,79.3,免费评估
44,University of Zurich,Switzerland,71.7,79.5,87.3,82.6,79.1,免费评估
45,Ruprecht-Karls-Universität Heidelberg,Germany,73.5,71.3,87.6,82.3,79.0,免费评估
46,Ludwig-Maximilians-Universität München,Germany,73.6,74.9,86.2,81.7,78.9,免费评估
46,The Chinese University of Hong Kong (CUHK),Hong Kong,80.4,78.9,85.8,69.5,78.9,免费评估
48,Mayo Medical School,United States,86.7,27.7,94.5,70.4,78.7,免费评估
49,Boston University,United States,68.2,70.2,90.2,86.7,78.5,免费评估
50,The University of Queensland,Australia,72.5,79.7,84.5,79.3,77.9,免费评估
