Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,100.0,99.8,95.6,97.0,98.5,免费评估
2,Harvard University,United States,96.7,99.9,98.4,96.0,97.5,免费评估
3,Stanford University,United States,95.6,97.0,96.0,100.0,96.8,免费评估
4,牛津大学University of Oxford,United Kingdom,96.5,98.7,93.5,91.6,95.4,免费评估
5,剑桥大学University of Cambridge,United Kingdom,97.6,100.0,92.6,88.9,95.3,免费评估
6,Princeton University,United States,95.6,89.0,97.2,95.1,94.5,免费评估
7,"University of California, Berkeley (UCB)",United States,96.4,90.9,94.6,93.7,94.4,免费评估
8,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,90.9,81.3,95.9,94.1,90.6,免费评估
9,"University of California, Los Angeles (UCLA)",United States,89.1,85.5,93.5,92.1,89.9,免费评估
10,帝国理工学院Imperial College London,United Kingdom,88.5,90.7,88.4,87.2,88.7,免费评估
11,New York University (NYU),United States,90.8,78.1,94.1,86.0,88.0,免费评估
12,California Institute of Technology (Caltech),United States,89.4,83.9,93.5,82.2,87.7,免费评估
13,National University of Singapore (NUS),Singapore,84.6,88.1,90.5,87.8,87.1,免费评估
14,Columbia University,United States,82.5,89.4,92.9,87.8,87.0,免费评估
15,Yale University,United States,85.3,87.5,92.4,84.1,86.9,免费评估
16,Carnegie Mellon University,United States,85.4,86.6,91.3,84.8,86.7,免费评估
17,The University of Tokyo,Japan,88.6,95.8,80.1,79.4,86.5,免费评估
18,University of Chicago,United States,86.1,83.5,93.0,82.8,86.3,免费评估
19,University of Toronto,Canada,82.5,84.5,92.7,85.4,85.5,免费评估
20,Peking University,China,84.1,90.0,84.6,83.5,85.3,免费评估
21,University of Michigan,United States,83.3,81.8,87.8,90.0,85.2,免费评估
22,The Australian National University,Australia,80.3,88.3,93.7,80.8,84.7,免费评估
23,Georgia Institute of Technology,United States,83.5,78.2,88.9,88.9,84.6,免费评估
24,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,81.7,79.7,92.4,85.4,84.2,免费评估
25,University of Pennsylvania,United States,79.0,85.1,91.7,84.8,83.9,免费评估
26,Tsinghua University,China,80.8,89.3,79.6,88.3,83.8,免费评估
27,University of British Columbia,Canada,79.9,80.2,89.9,88.3,83.6,免费评估
28,The University of Hong Kong,Hong Kong,78.9,93.5,88.5,77.1,83.4,免费评估
29,The Chinese University of Hong Kong (CUHK),Hong Kong,81.4,84.7,91.3,77.1,83.2,免费评估
29,University of Texas at Austin,United States,78.5,72.8,94.5,91.6,83.2,免费评估
31,Ecole Polytechnique,France,85.4,81.6,85.9,77.1,83.1,免费评估
32,Kyoto University,Japan,83.7,84.8,81.2,79.4,82.6,免费评估
33,"Ecole normale supérieure, Paris",France,86.4,69.7,92.1,77.9,82.5,免费评估
33,华威大学The University of Warwick,United Kingdom,85.5,81.9,84.9,74.7,82.5,免费评估
35,"University of California, San Diego (UCSD)",United States,74.9,68.4,100.0,93.7,82.4,免费评估
36,The University of Melbourne,Australia,80.0,93.9,84.9,71.3,82.0,免费评估
37,Cornell University,United States,82.2,78.5,87.3,79.4,81.9,免费评估
38,Lomonosov Moscow State University,Russia,89.5,99.4,61.7,67.5,81.5,免费评估
39,University of Waterloo,Canada,77.5,83.3,84.6,84.1,81.4,免费评估
40,Brown University,United States,82.1,70.8,92.4,78.6,81.2,免费评估
41,The Hong Kong University of Science and Technology,Hong Kong,78.1,87.4,87.8,73.9,81.1,免费评估
42,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,85.8,60.5,91.6,80.1,80.8,免费评估
43,"Nanyang Technological University, Singapore (NTU)",Singapore,75.7,84.8,86.5,79.4,80.4,免费评估
44,The University of New South Wales (UNSW Sydney),Australia,77.9,86.6,82.2,76.3,80.2,免费评估
45,City University of Hong Kong,Hong Kong,75.1,79.9,91.2,78.6,80.0,免费评估
45,The University of Auckland,New Zealand,76.1,83.5,92.3,72.2,80.0,免费评估
45,The University of Sydney,Australia,78.1,89.9,81.7,72.2,80.0,免费评估
48,Technische Universität Berlin (TU Berlin),Germany,82.6,73.3,83.2,77.1,79.8,免费评估
49,University of Wisconsin-Madison,United States,71.7,73.6,94.7,86.6,79.7,免费评估
50,National Taiwan University (NTU),Taiwan,76.1,92.7,80.8,72.2,79.6,免费评估
50,Technical University of Munich,Germany,80.0,79.3,81.6,77.1,79.6,免费评估
50,伦敦大学学院University College London,United Kingdom,71.5,79.4,92.0,83.5,79.6,免费评估
