Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Colorado School of Mines,United States,100.0,81.7,86.1,82.1,91.6,免费评估
2,Curtin University,Australia,60.0,82.7,96.0,100.0,75.9,免费评估
3,McGill University,Canada,65.8,81.0,92.2,86.1,75.8,免费评估
4,Technische Universität Bergakademie Freiberg,Germany,67.0,71.7,88.7,75.5,72.5,免费评估
5,Pennsylvania State University,United States,60.8,67.1,95.2,94.0,72.2,免费评估
6,Queen's University at Kingston,Canada,61.7,81.0,88.6,76.9,71.9,免费评估
7,The University of Western Australia,Australia,52.2,82.2,94.0,99.3,71.5,免费评估
8,Universidad de Chile,Chile,59.9,77.5,90.5,80.3,71.1,免费评估
9,The University of New South Wales (UNSW Sydney),Australia,53.2,86.3,88.8,82.7,69.6,免费评估
10,The University of Queensland,Australia,53.9,86.3,87.2,81.5,69.5,免费评估
11,University of British Columbia,Canada,54.9,76.3,91.1,85.0,69.1,免费评估
12,The University of Arizona,United States,57.1,54.0,97.5,96.4,68.4,免费评估
13,The University of Melbourne,Australia,42.4,89.0,95.5,83.9,65.9,免费评估
14,University of Alberta,Canada,49.8,69.2,89.6,90.5,65.8,免费评估
15,University of Witwatersrand,South Africa,52.2,74.2,87.7,76.2,65.5,免费评估
16,埃克塞特大学University of Exeter,United Kingdom,54.7,67.9,89.3,73.2,65.3,免费评估
16,Saint-Petersburg Mining University,Russia,72.2,100.0,39.3,22.0,65.3,免费评估
16,The University of Adelaide,Australia,47.3,73.4,93.2,86.6,65.3,免费评估
19,China University of Mining and Technology,China,59.1,54.0,80.2,85.5,65.2,免费评估
20,RWTH Aachen University,Germany,51.5,75.5,87.1,73.2,64.9,免费评估
21,Laval University,Canada,52.5,65.3,88.8,76.9,64.2,免费评估
22,Universidad Nacional Autónoma de México (UNAM),Mexico,48.7,72.7,86.2,82.1,64.1,免费评估
23,Kyushu University,Japan,49.3,80.8,80.9,74.0,64.0,免费评估
24,University of Wollongong,Australia,46.5,73.7,90.6,79.6,63.5,免费评估
25,University of Toronto,Canada,39.5,80.2,94.4,89.1,63.3,免费评估
26,University of Utah,United States,61.2,37.5,87.1,77.6,62.8,免费评估
27,Virginia Polytechnic Institute and State University,United States,46.0,57.1,88.9,86.6,60.7,免费评估
28,Universidad de Concepción,Chile,47.0,67.9,79.8,64.0,58.7,免费评估
29,"INDIAN INSTITUTE OF TECHNOLOGY (INDIAN SCHOOL OF MINES), DHANBAD",India,57.5,47.2,75.2,59.5,58.4,免费评估
30,The National University of Science and Technology MISIS,Russia,55.1,98.8,43.8,29.1,58.2,免费评估
30,"The University of Newcastle, Australia (UON)",Australia,38.1,73.7,86.3,76.2,58.2,免费评估
30,Waseda University,Japan,43.6,85.7,71.4,56.9,58.2,免费评估
33,Universidade de São Paulo,Brazil,36.7,73.7,83.9,81.5,57.9,免费评估
34,University of Colorado Boulder,United States,35.6,55.9,94.5,97.9,57.8,免费评估
35,AGH University of Science and Technology,Poland,53.1,52.0,73.9,64.0,57.6,免费评估
36,Istanbul Technical University,Turkey,40.5,66.3,83.4,76.2,57.5,免费评估
37,Ruhr-Universität Bochum,Germany,40.5,59.8,90.2,77.6,57.4,免费评估
37,University of Illinois at Urbana-Champaign,United States,35.7,69.9,88.7,81.5,57.4,免费评估
39,Central South University,China,49.9,51.5,74.6,72.4,57.3,免费评估
40,Indian Institute of Technology Kharagpur (IIT-KGP),India,35.8,76.0,85.5,74.7,57.1,免费评估
40,King Fahd University of Petroleum & Minerals,Saudi Arabia,46.8,83.9,63.1,49.5,57.1,免费评估
42,南安普顿大学University of Southampton,United Kingdom,34.2,68.0,90.9,84.4,57.0,免费评估
43,Nanjing University,China,23.1,79.6,95.6,98.2,56.5,免费评估
43,Universiti Sains Malaysia (USM),Malaysia,43.1,75.5,72.7,59.5,56.5,免费评估
43,Wuhan University,China,34.1,81.2,80.4,74.0,56.5,免费评估
46,University of Science and Technology Beijing,China,49.3,51.9,74.7,68.0,56.4,免费评估
47,Universiti Malaya (UM),Malaysia,41.5,81.7,71.2,56.9,56.3,免费评估
48,Chulalongkorn University,Thailand,48.4,72.6,64.7,51.2,56.1,免费评估
48,National Cheng Kung University (NCKU),Taiwan,34.0,81.2,82.3,69.8,56.1,免费评估
50,The University of Western Ontario,Canada,33.6,69.2,89.3,79.0,55.9,免费评估
