Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,98.0,95.9,98.1,89.1,96.9,免费评估
2,牛津大学University of Oxford,United Kingdom,98.5,98.1,87.1,90.9,96.6,免费评估
3,杜伦大学Durham University,United Kingdom,100.0,94.0,77.2,72.5,94.4,免费评估
4,剑桥大学University of Cambridge,United Kingdom,96.9,97.8,82.7,80.7,94.0,免费评估
5,Vrije Universiteit Amsterdam,Netherlands,95.6,76.3,79.5,83.0,90.8,免费评估
6,Boston College,United States,96.7,52.1,88.0,83.0,90.0,免费评估
7,University of Notre Dame,United States,92.3,56.1,96.5,100.0,89.9,免费评估
8,KU Leuven,Belgium,98.0,58.2,73.4,75.5,89.3,免费评估
8,University of Toronto,Canada,91.2,82.8,86.9,85.2,89.3,免费评估
10,University of Chicago,United States,91.9,78.8,85.2,80.7,88.8,免费评估
11,Yale University,United States,92.6,70.6,79.9,75.5,87.4,免费评估
12,Université catholique de Louvain (UCL),Belgium,92.6,53.8,87.3,80.7,87.0,免费评估
13,Princeton University,United States,89.8,66.5,87.5,75.5,85.8,免费评估
14,Ruprecht-Karls-Universität Heidelberg,Germany,92.4,62.4,73.8,69.1,85.2,免费评估
15,Eberhard Karls Universität Tübingen,Germany,90.0,62.6,71.6,72.5,83.7,免费评估
15,Stanford University,United States,86.3,89.2,71.0,72.5,83.7,免费评估
15,"University of California, Berkeley (UCB)",United States,89.7,75.2,68.7,65.4,83.7,免费评估
18,爱丁堡大学The University of Edinburgh,United Kingdom,87.2,71.4,78.7,72.5,83.3,免费评估
19,伦敦大学亚非学院SOAS University of London,United Kingdom,90.7,62.9,67.7,65.4,83.1,免费评估
20,The Hebrew University of Jerusalem,Israel,89.6,56.7,70.5,72.5,82.7,免费评估
21,Columbia University,United States,84.4,74.4,79.4,78.2,82.3,免费评估
22,McGill University,Canada,86.4,65.7,79.1,72.5,82.2,免费评估
23,伯明翰大学University of Birmingham,United Kingdom,81.4,87.6,84.2,75.5,81.7,免费评估
24,圣安德鲁斯大学University of St Andrews,United Kingdom,83.8,73.8,78.8,75.5,81.5,免费评估
25,伦敦国王学院King's College London,United Kingdom,84.3,69.7,77.1,75.5,81.2,免费评估
26,Georgetown University,United States,80.7,80.6,84.7,80.7,81.1,免费评估
27,Duke University,United States,78.0,63.0,100.0,98.7,80.8,免费评估
28,"University of California, Los Angeles (UCLA)",United States,84.9,74.4,73.3,65.4,80.7,免费评估
29,Aarhus University,Denmark,80.9,66.1,91.0,80.7,80.4,免费评估
30,Emory University,United States,83.7,60.1,79.2,75.5,80.1,免费评估
31,International Islamic University Malaysia (IIUM),Malaysia,84.5,96.1,45.2,50.6,78.3,免费评估
32,Ludwig-Maximilians-Universität München,Germany,85.7,49.7,70.5,61.2,78.1,免费评估
33,Pontificia Universidad Católica de Chile (UC),Chile,84.5,73.3,57.7,56.4,77.9,免费评估
34,兰卡斯特大学Lancaster University,United Kingdom,82.4,65.9,69.6,65.4,77.8,免费评估
34,Monash University,Australia,78.7,100.0,70.2,56.4,77.8,免费评估
34,曼彻斯特大学The University of Manchester,United Kingdom,75.6,73.9,92.1,83.0,77.8,免费评估
37,The University of Sydney,Australia,74.8,98.4,78.8,69.1,77.0,免费评估
38,University of Oslo,Norway,81.1,64.2,65.6,69.1,76.7,免费评估
39,University of British Columbia,Canada,77.9,66.5,85.3,69.1,76.6,免费评估
40,Leiden University,Netherlands,77.0,72.5,79.3,72.5,76.3,免费评估
41,埃克塞特大学University of Exeter,United Kingdom,75.8,74.8,80.3,75.5,76.1,免费评估
42,阿伯丁大学University of Aberdeen,United Kingdom,75.1,59.0,86.6,78.2,75.0,免费评估
43,Humboldt-Universität zu Berlin,Germany,82.1,65.0,53.0,56.4,74.9,免费评估
44,Westfälische Wilhelms-Universität Münster,Germany,83.9,47.0,52.2,61.2,74.8,免费评估
45,Deakin University,Australia,79.7,74.4,57.7,50.6,74.1,免费评估
46,University of Copenhagen,Denmark,73.0,65.7,86.0,75.5,73.8,免费评估
47,The Chinese University of Hong Kong (CUHK),Hong Kong,76.9,85.1,51.3,56.4,73.1,免费评估
48,Radboud University,Netherlands,68.8,75.6,88.3,83.0,72.9,免费评估
48,University of Zurich,Switzerland,77.0,56.5,67.7,65.4,72.9,免费评估
50,Boston University,United States,70.9,61.0,91.7,78.2,72.7,免费评估
