Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,100.0,100.0,80.1,,98.0,免费评估
2,剑桥大学University of Cambridge,United Kingdom,99.2,99.9,79.3,,97.3,免费评估
3,Harvard University,United States,98.2,99.7,82.6,,96.8,免费评估
4,"University of California, Berkeley (UCB)",United States,95.2,87.0,100.0,,94.9,免费评估
5,Yale University,United States,95.2,89.6,83.1,,93.4,免费评估
6,Stanford University,United States,92.9,94.3,92.6,,93.0,免费评估
7,Princeton University,United States,92.1,84.6,90.9,,91.2,免费评估
8,Columbia University,United States,91.0,81.8,86.4,,89.6,免费评估
9,"University of California, Los Angeles (UCLA)",United States,90.3,85.5,85.8,,89.4,免费评估
10,University of Chicago,United States,88.8,81.5,99.9,,89.2,免费评估
11,爱丁堡大学The University of Edinburgh,United Kingdom,89.6,80.6,80.9,,87.8,免费评估
12,University of Toronto,Canada,88.2,82.9,83.6,,87.2,免费评估
13,New York University (NYU),United States,86.7,79.3,90.8,,86.4,免费评估
14,伦敦大学学院University College London,United Kingdom,87.2,83.7,71.1,,85.2,免费评估
15,National University of Singapore (NUS),Singapore,85.5,88.1,77.7,,85.0,免费评估
16,Duke University,United States,84.3,76.1,98.0,,84.9,免费评估
17,Cornell University,United States,85.6,77.4,85.1,,84.7,免费评估
18,The University of Sydney,Australia,83.9,87.9,84.9,,84.4,免费评估
19,The University of Melbourne,Australia,84.8,89.7,73.4,,84.2,免费评估
20,华威大学The University of Warwick,United Kingdom,82.9,82.7,91.9,,83.8,免费评估
21,University of Michigan,United States,81.9,80.4,89.3,,82.5,免费评估
22,The University of Hong Kong,Hong Kong,83.6,85.8,65.1,,82.0,免费评估
23,Massachusetts Institute of Technology (MIT),United States,80.4,94.2,80.5,,81.8,免费评估
23,University of Pennsylvania,United States,81.8,78.4,84.8,,81.8,免费评估
25,伦敦国王学院King's College London,United Kingdom,82.2,78.8,80.0,,81.6,免费评估
26,The Australian National University,Australia,80.9,82.0,81.8,,81.1,免费评估
27,约克大学The University of York,United Kingdom,79.7,70.6,99.0,,80.7,免费评估
28,"Trinity College Dublin, The University of Dublin",Ireland,81.6,78.0,75.6,,80.6,免费评估
29,曼彻斯特大学The University of Manchester,United Kingdom,79.5,82.7,84.6,,80.3,免费评估
29,University of British Columbia,Canada,81.1,80.3,73.9,,80.3,免费评估
31,The University of Auckland,New Zealand,79.6,80.0,75.6,,79.2,免费评估
32,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,78.1,69.3,87.7,,78.2,免费评估
33,Brown University,United States,77.4,73.4,85.2,,77.8,免费评估
34,杜伦大学Durham University,United Kingdom,76.0,82.8,83.1,,77.4,免费评估
35,利兹大学University of Leeds,United Kingdom,77.2,74.8,80.9,,77.3,免费评估
36,McGill University,Canada,76.1,78.4,83.8,,77.1,免费评估
37,Peking University,China,77.0,93.0,61.2,,77.0,免费评估
38,University of Amsterdam,Netherlands,76.7,73.6,81.6,,76.9,免费评估
39,The University of New South Wales (UNSW Sydney),Australia,73.4,85.7,94.2,,76.7,免费评估
39,伯明翰大学University of Birmingham,United Kingdom,75.7,77.7,83.7,,76.7,免费评估
39,University of Texas at Austin,United States,77.5,71.2,75.6,,76.7,免费评估
42,格拉斯哥大学University of Glasgow,United Kingdom,77.8,63.5,77.3,,76.3,免费评估
43,布里斯托大学University of Bristol,United Kingdom,74.5,79.5,85.1,,76.1,免费评估
44,The University of Tokyo,Japan,81.0,91.6,20.0,,76.0,免费评估
45,诺丁汉大学University of Nottingham,United Kingdom,75.2,73.0,84.4,,75.9,免费评估
45,University of Virginia,United States,74.6,65.9,96.0,,75.9,免费评估
47,Freie Universitaet Berlin,Germany,75.6,74.4,73.5,,75.3,免费评估
48,Monash University,Australia,74.4,84.6,72.5,,75.2,免费评估
49,Johns Hopkins University,United States,74.3,64.7,90.8,,75.0,免费评估
50,Humboldt-Universität zu Berlin,Germany,76.4,72.2,62.5,,74.6,免费评估
50,University of Wisconsin-Madison,United States,74.1,71.0,82.4,,74.6,免费评估
