Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,100.0,97.1,94.4,98.6,98.0,免费评估
2,"University of California, Berkeley (UCB)",United States,96.8,99.7,96.8,89.8,96.0,免费评估
3,Harvard University,United States,97.8,95.3,88.1,100.0,95.8,免费评估
3,剑桥大学University of Cambridge,United Kingdom,98.6,93.2,90.3,98.2,95.8,免费评估
5,Stanford University,United States,94.5,99.9,95.1,94.2,95.6,免费评估
6,牛津大学University of Oxford,United Kingdom,97.0,91.7,87.8,96.6,94.0,免费评估
7,National University of Singapore (NUS),Singapore,91.1,97.0,94.2,92.5,93.2,免费评估
8,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,93.1,91.1,87.8,91.8,91.4,免费评估
9,"Nanyang Technological University, Singapore (NTU)",Singapore,86.7,100.0,100.0,81.1,90.9,免费评估
10,Northwestern University,United States,92.4,100.0,92.5,71.3,89.7,免费评估
11,California Institute of Technology (Caltech),United States,93.3,92.6,80.1,86.2,89.1,免费评估
11,帝国理工学院Imperial College London,United Kingdom,89.2,90.0,86.2,91.0,89.1,免费评估
11,The University of Tokyo,Japan,91.6,86.1,86.6,89.7,89.1,免费评估
11,"University of California, Los Angeles (UCLA)",United States,87.3,97.6,85.8,87.4,89.1,免费评估
15,EPFL - Ecole Polytechnique Federale de Lausanne,Switzerland,86.9,95.8,87.4,86.8,88.8,免费评估
16,Kyoto University,Japan,86.0,86.6,88.3,91.2,87.6,免费评估
17,University of Toronto,Canada,86.9,91.6,86.4,85.9,87.5,免费评估
18,Peking University,China,85.1,91.5,95.7,79.8,87.4,免费评估
18,Tsinghua University,China,83.6,89.3,94.5,86.0,87.4,免费评估
20,Seoul National University,South Korea,83.1,89.2,86.4,83.5,85.1,免费评估
21,Yale University,United States,79.8,94.6,79.7,88.3,84.4,免费评估
22,The Hong Kong University of Science and Technology,Hong Kong,81.1,96.8,85.2,77.4,84.3,免费评估
23,KAIST - Korea Advanced Institute of Science & Technology,South Korea,80.7,93.2,85.6,80.6,84.2,免费评估
23,University of Texas at Austin,United States,78.6,97.6,93.3,73.0,84.2,免费评估
25,Princeton University,United States,79.4,95.9,81.1,84.1,84.0,免费评估
26,Georgia Institute of Technology,United States,79.7,94.4,87.2,75.9,83.4,免费评估
27,Technical University of Munich,Germany,86.8,86.0,77.7,78.6,83.2,免费评估
28,Fudan University,China,76.2,92.5,93.8,73.6,82.5,免费评估
29,Tokyo Institute of Technology,Japan,85.9,78.9,75.2,86.0,82.4,免费评估
30,伦敦大学学院University College London,United Kingdom,79.7,86.6,80.6,84.1,82.1,免费评估
30,University of Michigan,United States,76.1,91.1,87.2,79.8,82.1,免费评估
32,曼彻斯特大学The University of Manchester,United Kingdom,79.3,88.9,82.9,79.5,82.0,免费评估
33,Osaka University,Japan,76.8,84.6,84.0,86.2,81.7,免费评估
34,The University of Hong Kong,Hong Kong,81.8,90.1,74.1,80.2,81.6,免费评估
35,Monash University,Australia,80.7,88.6,80.1,74.7,81.0,免费评估
35,Zhejiang University,China,73.8,88.6,95.4,73.6,81.0,免费评估
37,The University of Melbourne,Australia,79.6,86.5,73.8,85.1,80.9,免费评估
38,McGill University,Canada,77.9,87.2,70.8,90.3,80.8,免费评估
39,Ludwig-Maximilians-Universität München,Germany,81.3,90.1,78.2,72.5,80.7,免费评估
40,University of Chicago,United States,77.6,93.6,76.6,76.9,80.5,免费评估
41,University of British Columbia,Canada,80.1,86.8,75.8,79.1,80.4,免费评估
41,University of Illinois at Urbana-Champaign,United States,78.4,94.0,86.6,64.5,80.4,免费评估
41,University of Science and Technology of China,China,72.1,91.9,96.8,68.9,80.4,免费评估
44,Columbia University,United States,76.4,93.9,78.2,75.8,80.1,免费评估
44,RWTH Aachen University,Germany,75.3,89.4,83.5,77.1,80.1,免费评估
44,"University of North Carolina, Chapel Hill",United States,77.2,96.6,82.4,67.2,80.1,免费评估
44,University of Wisconsin-Madison,United States,75.5,92.3,84.8,72.4,80.1,免费评估
48,National Taiwan University (NTU),Taiwan,75.7,86.6,79.9,80.9,79.8,免费评估
49,Delft University of Technology,Netherlands,75.6,89.4,75.0,82.1,79.5,免费评估
49,"University of California, San Diego (UCSD)",United States,78.5,91.7,80.8,68.0,79.5,免费评估
49,University of Pennsylvania,United States,76.2,91.8,77.7,75.6,79.5,免费评估
