Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,University of Pittsburgh,United States,100.0,93.1,88.8,56.6,96.0,免费评估
2,Rutgers University–New Brunswick,United States,96.9,96.6,94.4,70.5,95.3,免费评估
3,New York University (NYU),United States,96.8,92.1,94.4,77.4,95.1,免费评估
4,牛津大学University of Oxford,United Kingdom,90.0,90.3,100.0,96.9,91.4,免费评估
5,The Australian National University,Australia,88.5,94.5,93.3,98.0,90.1,免费评估
6,Harvard University,United States,87.5,95.7,93.3,100.0,89.5,免费评估
7,剑桥大学University of Cambridge,United Kingdom,88.4,83.7,86.3,95.9,88.1,免费评估
8,圣安德鲁斯大学University of St Andrews,United Kingdom,88.0,89.5,90.0,69.1,87.4,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,86.8,91.8,85.0,82.8,86.9,免费评估
10,伦敦国王学院King's College London,United Kingdom,87.2,86.1,82.2,87.6,86.6,免费评估
11,Princeton University,United States,85.4,93.9,87.6,84.8,86.4,免费评估
12,Humboldt-Universität zu Berlin,Germany,89.4,82.7,75.8,60.5,85.9,免费评估
13,"University of California, Berkeley (UCB)",United States,84.2,90.2,90.0,87.5,85.5,免费评估
13,University of Toronto,Canada,85.5,88.0,86.3,78.0,85.5,免费评估
15,Ludwig-Maximilians-Universität München,Germany,87.7,82.9,79.2,61.4,85.1,免费评估
16,Stanford University,United States,83.0,87.8,90.0,92.9,84.7,免费评估
17,University of Notre Dame,United States,86.4,82.2,77.5,71.3,84.3,免费评估
18,Yale University,United States,81.6,90.9,83.7,91.7,83.2,免费评估
19,爱丁堡大学The University of Edinburgh,United Kingdom,77.7,91.1,91.2,81.1,80.6,免费评估
20,伦敦大学学院University College London,United Kingdom,77.4,86.7,85.0,85.9,79.5,免费评估
21,Columbia University,United States,79.4,81.3,74.0,84.2,79.3,免费评估
21,University of Helsinki,Finland,79.3,84.1,82.2,63.6,79.3,免费评估
23,University of Chicago,United States,79.1,80.9,74.0,86.3,79.1,免费评估
24,Université PSL,France,78.0,85.4,85.0,69.4,79.0,免费评估
25,The University of Sydney,Australia,75.8,86.3,83.7,84.8,78.1,免费评估
25,University of Oslo,Norway,77.8,88.8,82.2,53.5,78.1,免费评估
27,University of Copenhagen,Denmark,75.6,88.2,85.0,73.1,77.7,免费评估
28,The Chinese University of Hong Kong (CUHK),Hong Kong,82.3,66.3,54.2,77.3,77.6,免费评估
28,Universität Frankfurt am Main,Germany,79.2,81.8,70.0,59.8,77.6,免费评估
30,Monash University,Australia,73.2,87.0,77.5,88.7,75.8,免费评估
31,KU Leuven,Belgium,75.5,74.9,75.8,72.0,75.3,免费评估
32,Renmin (People's) University of China,China,83.1,55.4,37.0,72.7,75.2,免费评估
33,University of Michigan,United States,70.4,94.4,85.0,76.0,74.5,免费评估
34,Macquarie University,Australia,71.4,89.4,82.2,65.0,74.0,免费评估
35,University of Geneva,Switzerland,73.6,83.3,72.0,58.2,73.6,免费评估
36,The University of Tokyo,Japan,77.0,69.7,46.7,80.0,73.4,免费评估
36,"University of North Carolina, Chapel Hill",United States,69.4,95.8,87.6,59.8,73.4,免费评估
38,布里斯托大学University of Bristol,United Kingdom,70.2,89.9,79.2,71.0,73.1,免费评估
39,University of Amsterdam,Netherlands,69.9,86.1,86.3,62.3,72.8,免费评估
40,华威大学The University of Warwick,United Kingdom,68.0,91.0,85.0,80.3,72.6,免费评估
41,The University of Auckland,New Zealand,69.9,81.6,75.8,86.3,72.5,免费评估
42,City University of New York,United States,69.4,83.8,86.3,61.0,72.1,免费评估
43,Sorbonne University,France,73.7,70.6,57.4,72.9,71.7,免费评估
44,Central European University,Hungary,73.0,75.5,60.3,58.0,71.2,免费评估
44,Seoul National University,South Korea,73.6,64.4,54.2,83.2,71.2,免费评估
46,Massachusetts Institute of Technology (MIT),United States,64.3,95.8,87.6,91.5,71.1,免费评估
47,Université Paris 1 Panthéon-Sorbonne,France,72.7,65.2,57.4,84.3,71.0,免费评估
48,The University of Western Ontario,Canada,68.9,86.0,67.8,69.9,70.6,免费评估
49,Universitat de Barcelona,Spain,69.7,75.2,74.0,64.1,70.4,免费评估
50,杜伦大学Durham University,United Kingdom,66.3,87.6,80.7,74.9,70.3,免费评估
50,Peking University,China,74.7,51.7,46.7,88.4,70.3,免费评估
