Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Karolinska Institutet,Sweden,100.0,93.9,82.0,88.8,91.7,免费评估
2,"Academic Centre for Dentistry Amsterdam (ACTA), Amsterdam the Netherlands",Netherlands,82.7,96.8,95.6,84.3,91.0,免费评估
2,伦敦国王学院King's College London,United Kingdom,86.8,93.9,94.7,83.6,91.0,免费评估
4,The University of Hong Kong,Hong Kong,78.8,97.6,96.0,84.3,90.2,免费评估
5,University of Michigan,United States,85.1,91.3,100.0,66.7,89.6,免费评估
6,University of Gothenburg,Sweden,77.2,96.4,98.1,56.2,87.1,免费评估
7,Harvard University,United States,71.6,88.6,96.0,100.0,86.9,免费评估
8,University of Zurich,Switzerland,70.3,99.6,98.5,61.1,86.6,免费评估
9,University of Bern,Switzerland,66.2,97.5,99.2,66.5,85.5,免费评估
10,Tokyo Medical and Dental University (TMDU),Japan,97.8,82.9,84.5,56.6,85.2,免费评估
10,University of Washington,United States,69.8,95.3,97.2,65.1,85.2,免费评估
12,伦敦大学学院University College London,United Kingdom,66.5,92.6,95.6,86.7,85.1,免费评估
13,伯明翰大学University of Birmingham,United Kingdom,64.0,97.4,91.0,91.9,84.9,免费评估
14,"University of California, San Francisco",United States,81.1,88.3,85.1,82.2,84.6,免费评估
14,"University of North Carolina, Chapel Hill",United States,76.8,92.8,91.4,62.9,84.6,免费评估
16,New York University (NYU),United States,71.5,91.9,91.4,74.3,83.9,免费评估
17,KU Leuven,Belgium,66.7,97.1,91.9,64.5,83.2,免费评估
18,曼彻斯特大学The University of Manchester,United Kingdom,72.8,88.0,86.8,85.1,82.8,免费评估
18,University of Pennsylvania,United States,65.0,93.3,91.9,77.2,82.8,免费评估
20,University of British Columbia,Canada,61.7,94.8,92.4,77.9,82.5,免费评估
20,Universidade de São Paulo,Brazil,64.6,85.0,100.0,76.5,82.5,免费评估
22,University of Copenhagen,Denmark,57.5,99.1,94.2,70.4,82.3,免费评估
23,Peking University,China,67.5,90.3,87.3,86.3,82.2,免费评估
24,Complutense University of Madrid,Spain,60.8,97.6,91.9,65.1,81.6,免费评估
25,Malmo University,Sweden,68.5,93.6,91.9,47.2,80.9,免费评估
26,"University of California, Los Angeles (UCLA)",United States,69.2,88.5,85.1,78.3,80.7,免费评估
27,Aarhus University,Denmark,68.6,92.4,85.1,63.6,80.2,免费评估
28,Wuhan University,China,62.5,94.6,87.9,65.3,80.0,免费评估
29,Seoul National University,South Korea,63.2,88.1,88.9,75.7,79.6,免费评估
30,The University of Melbourne,Australia,61.1,89.9,82.6,86.6,78.7,免费评估
31,The University of Adelaide,Australia,59.0,92.3,83.3,82.2,78.6,免费评估
32,Columbia University,United States,60.8,87.3,86.8,76.0,78.1,免费评估
32,University of Minnesota,United States,55.3,95.1,88.9,63.0,78.1,免费评估
34,Universidade Estadual de Campinas (Unicamp),Brazil,60.3,86.2,92.9,60.9,77.9,免费评估
34,University of Otago,New Zealand,63.9,90.6,80.7,73.4,77.9,免费评估
36,University of Southern California,United States,61.0,89.8,87.9,62.3,77.8,免费评估
37,University of Toronto,Canada,55.4,90.3,85.6,81.1,77.5,免费评估
38,纽卡斯尔大学Newcastle University,United Kingdom,53.2,90.9,86.8,77.3,77.0,免费评估
38,University of Geneva,Switzerland,64.0,90.3,84.5,53.3,77.0,免费评估
40,University at Buffalo SUNY,United States,52.2,100.0,86.8,47.7,76.5,免费评估
41,Ludwig-Maximilians-Universität München,Germany,56.3,93.8,86.8,52.7,76.3,免费评估
42,UNESP,Brazil,58.2,84.5,92.4,53.8,75.9,免费评估
42,University of Helsinki,Finland,64.0,88.0,81.4,58.8,75.9,免费评估
44,National and Kapodistrian University of Athens,Greece,58.2,86.9,84.5,68.4,75.7,免费评估
44,Radboud University,Netherlands,55.8,94.6,85.1,50.1,75.7,免费评估
44,Alma Mater Studiorum - University of Bologna,Italy,54.0,90.1,83.3,74.4,75.7,免费评估
47,Boston University,United States,65.8,84.3,78.7,67.8,75.4,免费评估
48,Osaka University,Japan,68.7,84.2,73.4,73.1,75.2,免费评估
48,Yonsei University,South Korea,57.2,87.5,81.4,74.1,75.2,免费评估
50,卡迪夫大学Cardiff University,United Kingdom,53.7,90.0,82.0,71.8,74.9,免费评估
