Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,100.0,96.6,99.7,99.5,99.2,免费评估
2,Harvard University,United States,97.6,96.6,96.3,100.0,97.6,免费评估
3,Stanford University,United States,96.0,97.9,100.0,96.5,97.3,免费评估
4,剑桥大学University of Cambridge,United Kingdom,97.9,92.8,94.0,97.1,95.9,免费评估
5,"University of California, Berkeley (UCB)",United States,96.5,96.7,96.3,92.2,95.6,免费评估
6,牛津大学University of Oxford,United Kingdom,95.8,94.7,94.3,95.4,95.2,免费评估
7,California Institute of Technology (Caltech),United States,95.1,91.8,96.3,91.6,94.0,免费评估
8,Princeton University,United States,93.9,95.0,93.5,88.9,93.0,免费评估
9,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,92.4,92.8,91.2,89.0,91.6,免费评估
10,The University of Tokyo,Japan,93.3,88.1,93.9,87.9,91.3,免费评估
11,帝国理工学院Imperial College London,United Kingdom,90.2,91.1,90.6,89.7,90.4,免费评估
12,EPFL - Ecole Polytechnique Federale de Lausanne,Switzerland,86.8,93.8,89.9,86.7,88.8,免费评估
13,"University of California, Los Angeles (UCLA)",United States,85.8,93.0,89.0,87.9,88.3,免费评估
14,Columbia University,United States,83.6,96.9,91.2,85.6,88.2,免费评估
15,Yale University,United States,81.6,97.3,90.6,87.3,87.7,免费评估
16,Technical University of Munich,Germany,88.2,90.4,82.8,85.8,87.1,免费评估
17,University of Chicago,United States,87.6,96.9,89.6,73.3,87.0,免费评估
18,Tsinghua University,China,85.4,85.9,90.5,87.4,86.9,免费评估
19,Peking University,China,85.6,87.2,87.8,87.0,86.6,免费评估
20,Ludwig-Maximilians-Universität München,Germany,90.7,93.7,86.3,71.3,86.5,免费评估
21,University of Toronto,Canada,83.2,91.9,89.7,83.0,86.2,免费评估
22,Cornell University,United States,84.4,93.4,88.2,80.1,86.1,免费评估
23,University of Illinois at Urbana-Champaign,United States,85.1,92.6,89.7,75.3,85.6,免费评估
24,Kyoto University,Japan,86.4,84.4,86.7,82.6,85.3,免费评估
25,National University of Singapore (NUS),Singapore,84.8,93.4,85.0,77.6,85.1,免费评估
26,Lomonosov Moscow State University,Russia,82.4,76.7,88.5,93.3,84.7,免费评估
27,"University of California, Santa Barbara (UCSB)",United States,86.7,99.5,93.7,54.5,84.2,免费评估
28,"Nanyang Technological University, Singapore (NTU)",Singapore,82.8,91.0,84.3,79.5,84.1,免费评估
28,Ruprecht-Karls-Universität Heidelberg,Germany,83.9,92.4,88.2,72.0,84.1,免费评估
30,"University of Maryland, College Park",United States,78.0,93.6,93.9,74.5,83.6,免费评估
31,"KIT, Karlsruhe Institute of Technology",Germany,80.3,87.9,88.9,80.3,83.5,免费评估
32,Ecole Polytechnique,France,76.9,91.9,84.6,86.3,83.3,免费评估
32,University of Michigan,United States,78.2,90.3,90.9,78.8,83.3,免费评估
34,Sapienza University of Rome,Italy,82.0,86.0,90.6,75.1,83.1,免费评估
34,Seoul National University,South Korea,83.1,87.6,83.7,78.2,83.1,免费评估
36,Tokyo Institute of Technology,Japan,83.2,81.7,81.8,83.4,82.7,免费评估
36,伦敦大学学院University College London,United Kingdom,81.2,87.3,86.4,77.5,82.7,免费评估
38,University of British Columbia,Canada,77.1,90.1,87.6,81.2,82.6,免费评估
39,University of Texas at Austin,United States,76.3,92.8,89.6,77.2,82.4,免费评估
40,McGill University,Canada,77.9,88.7,84.6,82.2,82.3,免费评估
41,Tohoku University,Japan,82.1,82.4,82.9,80.8,82.1,免费评估
42,The Australian National University,Australia,82.9,89.6,80.9,73.5,82.0,免费评估
43,RWTH Aachen University,Germany,75.5,89.2,85.7,83.3,81.8,免费评估
44,曼彻斯特大学The University of Manchester,United Kingdom,77.6,87.8,87.7,77.8,81.7,免费评估
45,Osaka University,Japan,82.8,80.2,83.9,77.5,81.4,免费评估
46,Université PSL,France,82.0,87.4,80.9,74.3,81.3,免费评估
47,Carnegie Mellon University,United States,71.7,92.5,84.0,86.0,81.2,免费评估
47,爱丁堡大学The University of Edinburgh,United Kingdom,75.2,93.5,88.6,73.4,81.2,免费评估
49,Delft University of Technology,Netherlands,80.1,85.3,76.9,82.8,81.0,免费评估
49,Sorbonne University,France,75.8,90.8,88.4,74.0,81.0,免费评估
