Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,95.7,100.0,100.0,99.1,免费评估
2,Massachusetts Institute of Technology (MIT),United States,98.0,100.0,96.7,96.0,97.7,免费评估
3,Stanford University,United States,96.4,92.6,95.4,93.3,94.8,免费评估
4,"University of California, Berkeley (UCB)",United States,94.9,94.8,95.9,86.8,93.5,免费评估
5,University of Chicago,United States,96.2,96.4,94.5,81.9,93.0,免费评估
6,伦敦政治经济学院The London School of Economics and Political Science,United Kingdom,95.6,88.8,91.1,89.9,92.2,免费评估
7,Princeton University,United States,93.6,95.4,90.0,84.4,91.4,免费评估
8,Yale University,United States,92.2,91.8,88.9,88.2,90.7,免费评估
9,牛津大学University of Oxford,United Kingdom,93.6,82.8,84.7,96.0,90.1,免费评估
10,剑桥大学University of Cambridge,United Kingdom,92.8,82.3,81.1,96.3,89.1,免费评估
11,Columbia University,United States,89.0,90.8,91.7,84.5,89.0,免费评估
12,Northwestern University,United States,88.5,93.0,88.9,77.6,87.3,免费评估
13,University of Pennsylvania,United States,87.7,89.7,88.2,82.7,87.2,免费评估
14,"University of California, Los Angeles (UCLA)",United States,86.6,90.7,82.7,85.4,86.4,免费评估
15,New York University (NYU),United States,87.6,89.4,85.2,81.7,86.3,免费评估
16,Bocconi University,Italy,88.7,86.4,80.5,84.4,85.7,免费评估
17,伦敦大学学院University College London,United Kingdom,84.8,86.6,82.7,82.0,84.2,免费评估
18,National University of Singapore (NUS),Singapore,86.8,79.4,75.3,87.2,83.1,免费评估
19,University of Michigan,United States,79.0,89.8,85.2,77.6,82.1,免费评估
20,"University of California, San Diego (UCSD)",United States,80.7,93.8,84.4,68.6,81.6,免费评估
21,University of Toronto,Canada,80.7,84.9,82.7,78.4,81.5,免费评估
22,Duke University,United States,77.8,90.0,86.0,75.6,81.4,免费评估
23,The University of Tokyo,Japan,86.5,75.4,68.6,88.3,81.1,免费评估
24,The University of Melbourne,Australia,83.7,77.3,74.5,85.8,81.0,免费评估
25,The Australian National University,Australia,84.8,77.1,75.7,79.6,80.4,免费评估
26,Cornell University,United States,76.3,85.0,84.9,78.9,80.3,免费评估
26,The Hong Kong University of Science and Technology,Hong Kong,85.9,82.7,69.2,77.7,80.3,免费评估
28,华威大学The University of Warwick,United Kingdom,81.1,81.5,77.3,78.8,80.0,免费评估
29,University of British Columbia,Canada,80.2,84.3,77.7,77.2,79.9,免费评估
30,Peking University,China,82.8,76.5,69.7,86.8,79.7,免费评估
31,The University of New South Wales (UNSW Sydney),Australia,79.6,79.2,76.1,82.8,79.5,免费评估
31,Tsinghua University,China,80.5,79.9,70.8,85.9,79.5,免费评估
33,University of Zurich,Switzerland,77.9,86.6,81.4,73.1,79.4,免费评估
34,Brown University,United States,76.8,92.5,79.1,70.3,79.1,免费评估
35,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,79.2,80.7,74.0,82.1,79.0,免费评估
36,伦敦商学院London Business School,United Kingdom,75.3,84.6,74.0,81.8,78.2,免费评估
37,Stockholm School of Economics,Sweden,83.8,84.0,73.1,65.8,78.1,免费评估
37,The University of Sydney,Australia,76.4,78.7,75.3,83.5,78.1,免费评估
39,The Chinese University of Hong Kong (CUHK),Hong Kong,82.3,81.4,68.6,75.2,78.0,免费评估
40,University of Minnesota,United States,84.0,83.5,78.8,58.4,77.7,免费评估
41,Boston University,United States,73.7,88.1,79.5,72.3,77.5,免费评估
41,Tilburg University,Netherlands,80.4,85.5,81.1,60.1,77.5,免费评估
43,The University of Hong Kong,Hong Kong,78.8,79.2,69.2,80.3,77.3,免费评估
44,Universität Mannheim,Germany,80.6,83.6,71.7,69.6,77.2,免费评估
45,Monash University,Australia,78.0,76.5,71.3,81.4,77.0,免费评估
46,Seoul National University,South Korea,81.9,77.0,62.3,81.1,76.8,免费评估
47,"Nanyang Technological University, Singapore (NTU)",Singapore,78.2,79.0,63.7,83.2,76.5,免费评估
48,California Institute of Technology (Caltech),United States,77.0,80.6,71.3,76.2,76.4,免费评估
49,University of Wisconsin-Madison,United States,74.9,85.9,79.8,66.0,76.3,免费评估
50,Universidad Carlos III de Madrid (UC3M),Spain,80.3,81.1,69.2,69.9,76.2,免费评估
