Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,The Juilliard School,United States,94.3,,,100.0,95.4,免费评估
1,University of Music and Performing Arts Vienna,Austria,100.0,,,76.8,95.4,免费评估
3,皇家音乐学院Royal College of Music,United Kingdom,95.6,,,92.7,95.0,免费评估
4,皇家音乐学院Royal College of Music,United Kingdom,88.5,,,92.7,89.3,免费评估
5,Curtis Institute of Music,United States,93.3,,,65.5,87.7,免费评估
6,New York University (NYU),United States,84.4,,,93.1,86.1,免费评估
7,市政厅音乐及戏剧学院Guildhall School of Music and Drama,United Kingdom,88.8,,,65.5,84.1,免费评估
8,Harvard University,United States,80.4,,,98.1,83.9,免费评估
9,Northwestern University,United States,85.1,,,76.1,83.3,免费评估
9,牛津大学University of Oxford,United Kingdom,79.9,,,96.9,83.3,免费评估
11,剑桥大学University of Cambridge,United Kingdom,79.4,,,97.9,83.1,免费评估
12,"Sibelius Academy, University of the Arts Helsinki (Uniarts Helsinki)",Finland,93.8,,,39.9,83.0,免费评估
13,Hong Kong Academy of Performing Arts,Hong Kong,86.8,,,65.2,82.5,免费评估
14,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),France,92.9,,,40.2,82.4,免费评估
15,The University of Melbourne,Australia,77.6,,,97.3,81.5,免费评估
16,Monash University,Australia,76.8,,,97.5,80.9,免费评估
17,伦敦大学皇家霍洛威学院Royal Holloway University of London,United Kingdom,87.4,,,53.6,80.6,免费评估
17,Yale University,United States,78.9,,,87.6,80.6,免费评估
19,Royal Conservatoire of Scotland (Formerly Royal Scottish Academy of Music and Drama),United Kingdom,83.7,,,67.2,80.4,免费评估
19,Stanford University,United States,78.1,,,89.7,80.4,免费评估
21,"University of California, Berkeley (UCB)",United States,78.2,,,88.4,80.2,免费评估
22,Indiana University Bloomington,United States,79.7,,,81.7,80.1,免费评估
23,"University of California, Los Angeles (UCLA)",United States,77.6,,,86.1,79.3,免费评估
24,Central School of Speech & Drama,United Kingdom,87.5,,,40.1,78.0,免费评估
25,Columbia University,United States,76.1,,,82.2,77.3,免费评估
25,哈德斯菲尔德大学University of Huddersfield,United Kingdom,73.2,,,93.8,77.3,免费评估
27,University of Chicago,United States,73.1,,,91.7,76.8,免费评估
28,The University of Sydney,Australia,71.0,,,98.4,76.5,免费评估
28,University of Rochester,United States,76.3,,,77.4,76.5,免费评估
30,Massachusetts Institute of Technology (MIT),United States,72.2,,,91.2,76.0,免费评估
31,National University of Singapore (NUS),Singapore,72.6,,,85.4,75.2,免费评估
32,University Mozarteum Salzburg,Austria,83.0,,,40.5,74.5,免费评估
33,Norwegian Academy of Music,Norway,83.0,,,39.9,74.4,免费评估
34,McGill University,Canada,75.4,,,69.9,74.3,免费评估
35,"The Central Academy of Drama, China",China,79.1,,,54.8,74.2,免费评估
36,Hochschule für Musik und Theater Hamburg,Germany,82.6,,,39.9,74.1,免费评估
37,Korea National University of Arts,South Korea,71.0,,,86.1,74.0,免费评估
38,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,76.7,,,61.6,73.7,免费评估
39,伦敦国王学院King's College London,United Kingdom,69.6,,,87.7,73.2,免费评估
40,Seoul National University,South Korea,71.6,,,78.5,73.0,免费评估
41,Princeton University,United States,75.4,,,63.1,72.9,免费评估
42,The University of Tokyo,Japan,72.0,,,75.9,72.8,免费评估
42,"Trinity College Dublin, The University of Dublin",Ireland,72.8,,,72.9,72.8,免费评估
44,格拉斯哥大学University of Glasgow,United Kingdom,71.8,,,76.1,72.7,免费评估
45,The Australian National University,Australia,67.1,,,94.1,72.5,免费评估
45,University of Michigan,United States,72.1,,,74.3,72.5,免费评估
47,Hochschule für Musik Hanns Eisler Berlin,Germany,80.1,,,39.9,72.1,免费评估
47,华威大学The University of Warwick,United Kingdom,70.8,,,77.1,72.1,免费评估
47,University of Toronto,Canada,72.6,,,69.9,72.1,免费评估
50,伦敦大学金史密斯学院Goldsmiths University of London,United Kingdom,71.6,,,73.5,72.0,免费评估
50,Griffith University,Australia,71.1,,,75.6,72.0,免费评估
50,The University of Hong Kong,Hong Kong,68.0,,,88.1,72.0,免费评估
