Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,91.1,94.8,97.0,98.1,94.6,免费评估
2,Stanford University,United States,88.9,100.0,100.0,95.5,94.2,免费评估
3,Carnegie Mellon University,United States,100.0,95.8,96.7,81.9,93.4,免费评估
4,"University of California, Berkeley (UCB)",United States,86.7,98.6,96.4,89.3,90.7,免费评估
5,剑桥大学University of Cambridge,United Kingdom,85.1,91.2,87.5,97.4,90.1,免费评估
6,牛津大学University of Oxford,United Kingdom,83.2,92.8,87.1,96.2,89.1,免费评估
7,Harvard University,United States,80.2,92.7,86.3,100.0,88.9,免费评估
8,EPFL - Ecole Polytechnique Federale de Lausanne,Switzerland,87.2,91.2,89.7,88.4,88.5,免费评估
9,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,83.7,95.2,94.5,87.7,88.2,免费评估
10,National University of Singapore (NUS),Singapore,78.9,90.3,90.2,91.9,86.2,免费评估
11,University of Toronto,Canada,83.2,97.2,90.2,82.5,86.1,免费评估
12,"Nanyang Technological University, Singapore (NTU)",Singapore,75.9,90.4,92.8,89.4,84.7,免费评估
13,Princeton University,United States,76.0,99.5,92.8,84.6,84.6,免费评估
13,"University of California, Los Angeles (UCLA)",United States,77.7,92.8,89.0,87.4,84.6,免费评估
15,帝国理工学院Imperial College London,United Kingdom,79.5,88.5,87.5,87.7,84.5,免费评估
15,Tsinghua University,China,77.3,85.7,94.6,88.6,84.5,免费评估
17,University of Washington,United States,84.1,97.1,92.2,71.6,83.5,免费评估
18,Columbia University,United States,75.6,93.7,87.5,83.6,82.5,免费评估
18,Peking University,China,75.3,85.7,88.6,87.6,82.5,免费评估
20,New York University (NYU),United States,76.9,98.5,89.2,77.6,82.2,免费评估
21,爱丁堡大学The University of Edinburgh,United Kingdom,83.2,89.5,83.5,76.3,82.1,免费评估
22,University of Waterloo,Canada,78.6,91.4,90.2,77.8,82.0,免费评估
23,伦敦大学学院University College London,United Kingdom,77.9,90.9,89.0,78.8,81.8,免费评估
24,Georgia Institute of Technology,United States,76.9,91.0,94.2,77.2,81.7,免费评估
25,Cornell University,United States,74.6,95.5,90.2,79.5,81.5,免费评估
26,The Hong Kong University of Science and Technology,Hong Kong,73.6,93.4,87.7,82.2,81.3,免费评估
26,The University of Tokyo,Japan,78.4,77.1,80.0,87.8,81.3,免费评估
28,University of British Columbia,Canada,73.9,93.2,90.7,79.5,81.0,免费评估
29,California Institute of Technology (Caltech),United States,79.3,87.9,80.3,79.8,80.9,免费评估
29,University of Texas at Austin,United States,72.5,98.1,95.1,76.3,80.9,免费评估
31,University of Illinois at Urbana-Champaign,United States,75.8,94.2,93.9,72.9,80.4,免费评估
32,The University of Melbourne,Australia,71.7,89.8,84.0,84.9,80.2,免费评估
33,The University of Hong Kong,Hong Kong,71.6,89.3,84.9,84.0,80.0,免费评估
34,Technical University of Munich,Germany,77.6,84.3,86.9,76.7,79.7,免费评估
34,University of Pennsylvania,United States,71.0,92.3,85.1,82.2,79.7,免费评估
36,The Chinese University of Hong Kong (CUHK),Hong Kong,72.7,93.5,88.1,77.7,79.6,免费评估
37,Politecnico di Milano,Italy,67.4,82.1,83.7,90.3,78.9,免费评估
38,KAIST - Korea Advanced Institute of Science & Technology,South Korea,74.4,84.7,84.9,77.9,78.6,免费评估
38,Shanghai Jiao Tong University,China,70.1,83.5,87.1,83.3,78.6,免费评估
40,The Australian National University,Australia,70.7,92.4,83.5,77.9,78.0,免费评估
41,KTH Royal Institute of Technology,Sweden,74.3,88.3,85.1,73.6,77.8,免费评估
42,The University of Sydney,Australia,68.8,85.8,81.6,82.7,77.4,免费评估
43,Université PSL,France,66.5,87.1,78.9,85.7,77.2,免费评估
44,University of Southern California,United States,69.4,92.9,91.4,72.3,77.1,免费评估
45,Seoul National University,South Korea,70.5,83.8,80.3,80.7,77.0,免费评估
46,"University of California, San Diego (UCSD)",United States,70.0,95.2,90.4,69.9,76.8,免费评估
46,Yale University,United States,69.6,86.5,74.8,82.6,76.8,免费评估
48,Lomonosov Moscow State University,Russia,71.6,72.2,64.4,91.7,76.6,免费评估
49,National Taiwan University (NTU),Taiwan,68.3,81.1,79.2,83.7,76.5,免费评估
50,University of Michigan,United States,64.5,92.0,90.4,77.4,76.4,免费评估
