Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,University of Amsterdam,Netherlands,77.1,96.5,97.3,100.0,96.5,免费评估
2,University of Southern California,United States,76.5,89.5,96.0,96.3,92.9,免费评估
3,The London School of Economics and Political Science (LSE),United Kingdom,95.1,90.1,98.4,90.7,92.6,免费评估
4,Stanford University,United States,98.7,86.1,94.7,91.5,91.8,免费评估
5,University of Texas at Austin,United States,79.0,100.0,97.1,88.5,91.6,免费评估
6,University of Pennsylvania,United States,86.4,93.0,92.8,86.3,89.0,免费评估
7,伦敦大学金史密斯学院Goldsmiths University of London,United Kingdom,60.5,85.4,93.9,94.0,88.9,免费评估
7,"Nanyang Technological University, Singapore (NTU)",Singapore,89.7,85.4,92.5,88.6,88.9,免费评估
9,"University of California, Berkeley (UCB)",United States,92.5,79.6,89.8,88.9,87.6,免费评估
10,New York University (NYU),United States,87.6,87.5,92.4,85.0,87.2,免费评估
11,University of Wisconsin-Madison,United States,69.3,92.4,94.4,84.9,86.7,免费评估
12,National University of Singapore (NUS),Singapore,94.5,80.5,89.7,85.5,86.2,免费评估
13,"University of California, Los Angeles (UCLA)",United States,92.1,83.1,87.4,85.5,86.1,免费评估
14,Columbia University,United States,90.2,80.5,85.7,87.4,86.0,免费评估
15,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,80.8,86.8,94.5,82.7,85.7,免费评估
16,Michigan State University,United States,72.1,90.1,93.9,82.9,85.5,免费评估
17,Queensland University of Technology (QUT),Australia,73.8,87.5,97.9,81.1,85.0,免费评估
18,University of Zurich,Switzerland,74.5,86.8,96.9,80.6,84.5,免费评估
19,Northwestern University,United States,78.2,90.7,94.7,77.9,83.9,免费评估
19,University of Michigan-Ann Arbor,United States,81.1,89.5,91.1,79.4,83.9,免费评估
21,The University of Sydney,Australia,88.9,90.1,90.0,76.9,83.4,免费评估
22,"University of California, Santa Barbara (UCSB)",United States,62.3,88.2,95.3,79.7,82.8,免费评估
23,卡迪夫大学Cardiff University,United Kingdom,67.8,86.1,93.8,79.4,82.5,免费评估
24,Massachusetts Institute of Technology (MIT),United States,100.0,75.5,90.5,78.2,82.3,免费评估
25,伦敦国王学院King's College London,United Kingdom,81.6,85.4,90.3,77.1,81.9,免费评估
25,Ludwig-Maximilians-Universität München,Germany,76.1,84.6,93.0,77.6,81.9,免费评估
25,The University of Hong Kong,Hong Kong SAR,86.7,70.6,87.2,83.4,81.9,免费评估
28,利兹大学University of Leeds,United Kingdom,78.7,81.4,87.9,79.9,81.7,免费评估
29,The Ohio State University,United States,73.1,91.3,94.2,74.3,81.6,免费评估
30,University of Vienna,Austria,69.9,88.8,93.7,76.1,81.5,免费评估
31,威斯敏斯特大学University of Westminster,United Kingdom,63.8,80.5,88.6,80.7,80.6,免费评估
32,Yale University,United States,95.6,77.6,87.8,75.7,80.5,免费评估
33,University of Illinois at Urbana-Champaign,United States,67.2,83.9,91.1,77.4,80.4,免费评估
34,Cornell University,United States,81.5,85.4,93.7,72.6,80.3,免费评估
35,Pennsylvania State University,United States,77.5,90.1,92.3,71.9,80.2,免费评估
36,Aarhus University,Denmark,69.2,80.5,90.5,77.7,80.0,免费评估
37,The University of Melbourne,Australia,91.2,78.6,83.8,76.0,79.6,免费评估
38,City University of Hong Kong,Hong Kong SAR,75.6,77.6,91.4,76.0,79.4,免费评估
39,"University of North Carolina, Chapel Hill",United States,70.9,87.5,94.3,71.7,79.3,免费评估
40,University of Copenhagen,Denmark,72.4,85.4,90.5,73.5,79.2,免费评估
40,莱斯特大学University of Leicester,United Kingdom,63.4,81.4,95.0,75.1,79.2,免费评估
42,McGill University,Canada,86.6,81.4,88.9,72.8,79.1,免费评估
43,Seoul National University,South Korea,85.8,74.4,86.3,76.6,79.0,免费评估
44,RMIT University,Australia,80.8,79.6,89.2,74.0,78.8,免费评估
45,"University of Missouri, Columbia",United States,60.3,87.5,97.5,71.3,78.7,免费评估
46,Freie Universitaet Berlin,Germany,71.3,67.7,79.3,84.2,78.6,免费评估
47,The University of New South Wales (UNSW Sydney),Australia,88.8,86.8,91.1,68.0,78.5,免费评估
48,University of Washington,United States,69.3,93.0,97.0,66.7,78.3,免费评估
49,University of Oslo,Norway,60.8,84.6,93.5,72.0,77.7,免费评估
50,University of Helsinki,Finland,65.2,85.4,90.0,71.9,77.6,免费评估
