Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,拉夫堡大学Loughborough University,United Kingdom,94.7,83.8,95.7,100.0,96.4,免费评估
2,University of British Columbia,Canada,89.9,94.5,95.7,90.8,92.0,免费评估
3,The University of Queensland,Australia,87.9,100.0,98.1,89.0,91.9,免费评估
4,The University of Sydney,Australia,94.1,98.7,97.5,85.5,90.1,免费评估
5,University of Toronto,Canada,80.8,96.9,94.4,88.2,89.7,免费评估
6,伯明翰大学University of Birmingham,United Kingdom,87.2,86.8,92.8,86.5,87.6,免费评估
7,University of Alberta,Canada,80.2,94.5,98.4,83.5,87.1,免费评估
7,University of Copenhagen,Denmark,70.2,87.4,95.9,87.6,87.1,免费评估
9,Deakin University,Australia,98.7,85.1,97.9,81.0,85.9,免费评估
10,埃克塞特大学University of Exeter,United Kingdom,83.8,79.5,95.7,84.3,85.2,免费评估
11,巴斯大学University of Bath,United Kingdom,100.0,74.3,92.7,83.2,85.0,免费评估
12,University of Michigan-Ann Arbor,United States,70.2,88.5,94.3,83.5,84.5,免费评估
13,University of Otago,New Zealand,74.6,87.4,90.9,83.7,84.4,免费评估
14,Pennsylvania State University,United States,79.6,70.0,88.5,87.3,84.1,免费评估
15,University of Florida,United States,79.1,87.9,94.0,81.4,84.0,免费评估
16,利物浦约翰摩尔斯大学Liverpool John Moores University,United Kingdom,72.7,77.9,92.0,84.7,83.6,免费评估
17,The Ohio State University,United States,64.5,95.7,97.9,79.4,83.1,免费评估
18,KU Leuven,Belgium,64.1,87.9,94.8,80.9,82.4,免费评估
19,University of Calgary,Canada,80.6,85.1,96.0,78.4,82.3,免费评估
20,The University of Western Australia,Australia,69.9,82.5,94.2,81.2,82.2,免费评估
21,The University of Hong Kong,Hong Kong SAR,89.3,75.3,91.1,80.2,82.0,免费评估
22,Seoul National University,South Korea,86.1,68.8,87.0,83.2,81.9,免费评估
22,Vrije Universiteit Amsterdam,Netherlands,53.2,85.7,94.3,82.6,81.9,免费评估
24,McMaster University,Canada,50.8,93.7,96.7,79.7,81.5,免费评估
25,曼彻斯特大学The University of Manchester,United Kingdom,84.9,77.9,95.9,77.2,80.9,免费评估
26,伦敦大学学院University College London,United Kingdom,75.9,77.9,94.2,79.0,80.8,免费评估
27,Massachusetts Institute of Technology (MIT),United States,96.3,53.8,79.7,84.9,80.6,免费评估
28,McGill University,Canada,75.4,81.0,91.5,78.5,80.5,免费评估
29,The University of Auckland,New Zealand,80.6,67.6,90.1,81.0,80.3,免费评估
29,爱丁堡大学The University of Edinburgh,United Kingdom,82.4,77.1,95.2,77.1,80.3,免费评估
31,Kyoto University,Japan,81.9,77.1,86.5,78.9,80.1,免费评估
32,University College Dublin,Ireland,85.4,85.1,94.6,73.5,79.6,免费评估
32,Western University,Canada,66.0,89.0,94.2,75.9,79.6,免费评估
34,National Taiwan University (NTU),Taiwan,75.7,79.5,90.3,77.4,79.5,免费评估
35,Auckland University of Technology (AUT),New Zealand,70.7,85.7,95.2,75.4,79.4,免费评估
35,"Nanyang Technological University, Singapore (NTU)",Singapore,97.9,70.0,88.2,76.5,79.4,免费评估
37,University of Technology Sydney,Australia,94.3,80.3,97.6,71.9,79.3,免费评估
38,La Trobe University,Australia,86.2,96.5,99.1,68.3,78.9,免费评估
38,"University of North Carolina, Chapel Hill",United States,68.3,87.9,95.6,74.3,78.9,免费评估
40,University of Illinois at Urbana-Champaign,United States,51.7,75.3,91.9,80.8,78.7,免费评估
40,Waseda University,Japan,84.3,67.6,81.9,79.8,78.7,免费评估
42,National University of Singapore (NUS),Singapore,95.5,58.1,77.3,81.3,78.6,免费评估
42,Universidade de São Paulo,Brazil,81.0,87.9,85.9,74.0,78.6,免费评估
44,Boston University,United States,83.9,89.5,97.5,69.8,78.3,免费评估
45,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,81.3,71.2,86.9,76.9,78.0,免费评估
46,Ghent University,Belgium,70.4,92.8,97.1,70.7,77.9,免费评估
46,University of Massachusetts Amherst,United States,82.7,70.0,93.8,75.1,77.9,免费评估
48,Griffith University,Australia,53.0,87.4,93.2,75.3,77.6,免费评估
48,University of Groningen,Netherlands,72.7,89.0,94.8,71.3,77.6,免费评估
50,University of Jyväskylä,Finland,60.0,76.2,90.6,77.2,77.3,免费评估
