Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,98.8,88.0,92.7,100.0,96.7,免费评估
2,Delft University of Technology,Netherlands,95.3,94.6,86.0,99.6,95.5,免费评估
3,剑桥大学University of Cambridge,United Kingdom,98.8,84.8,91.0,94.6,93.9,免费评估
4,"University of California, Berkeley (UCB)",United States,88.6,89.2,92.6,99.0,93.5,免费评估
5,帝国理工学院Imperial College London,United Kingdom,91.5,92.0,93.0,95.5,93.4,免费评估
6,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,93.3,92.0,91.1,94.5,93.3,免费评估
7,Politecnico di Milano,Italy,99.1,95.6,89.1,88.4,92.8,免费评估
8,EPFL,Switzerland,91.9,95.1,94.0,90.3,92.1,免费评估
9,National University of Singapore (NUS),Singapore,90.4,94.6,96.2,90.7,92.0,免费评估
10,Tsinghua University,China (Mainland),87.0,99.2,92.5,90.7,91.1,免费评估
11,The University of New South Wales (UNSW Sydney),Australia,100.0,89.8,87.0,85.4,90.7,免费评估
12,"Nanyang Technological University, Singapore (NTU)",Singapore,93.7,93.1,94.9,85.2,90.4,免费评估
13,Stanford University,United States,94.0,72.6,84.9,95.3,89.9,免费评估
14,The University of Sydney,Australia,95.1,83.4,90.9,84.1,88.3,免费评估
15,The University of Melbourne,Australia,96.7,78.9,89.1,82.3,87.1,免费评估
15,牛津大学University of Oxford,United Kingdom,98.0,74.5,82.2,85.4,87.1,免费评估
17,The Hong Kong University of Science and Technology,Hong Kong SAR,85.5,85.5,93.1,85.3,86.6,免费评估
18,Georgia Institute of Technology,United States,79.5,90.4,89.6,89.1,86.5,免费评估
19,The Hong Kong Polytechnic University,Hong Kong SAR,74.0,100.0,94.3,86.3,85.9,免费评估
19,The University of Hong Kong,Hong Kong SAR,85.3,84.8,88.8,85.6,85.9,免费评估
21,Monash University,Australia,95.3,83.4,90.8,75.9,85.1,免费评估
21,The University of Tokyo,Japan,88.3,70.5,74.5,92.2,85.1,免费评估
23,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,82.2,88.0,88.0,83.8,84.6,免费评估
24,University of Illinois at Urbana-Champaign,United States,66.5,89.2,88.0,94.9,84.5,免费评估
25,Politecnico di Torino,Italy,87.8,86.1,88.9,78.9,84.2,免费评估
26,The University of Queensland,Australia,87.3,87.4,94.6,75.5,83.7,免费评估
27,Purdue University,United States,75.9,84.8,85.3,87.2,83.2,免费评估
27,University of Texas at Austin,United States,69.2,79.7,86.8,93.6,83.2,免费评估
29,Shanghai Jiao Tong University,China (Mainland),78.5,95.6,93.3,77.9,83.0,免费评估
30,The University of Western Australia,Australia,85.0,85.5,89.0,78.0,82.9,免费评估
31,Tongji University,China (Mainland),66.4,95.1,78.7,91.6,82.6,免费评估
32,Pontificia Universidad Católica de Chile (UC),Chile,94.1,71.5,77.6,79.3,82.3,免费评估
33,KAIST - Korea Advanced Institute of Science & Technology,South Korea,79.7,82.0,91.9,80.4,82.2,免费评估
33,Kyoto University,Japan,83.0,78.0,75.0,85.8,82.2,免费评估
35,Seoul National University,South Korea,82.1,81.2,84.3,81.7,82.1,免费评估
36,University of British Columbia,Canada,73.0,83.4,89.8,85.3,82.0,免费评估
37,University of Toronto,Canada,74.4,82.0,86.9,85.3,81.8,免费评估
38,Universidad Politécnica de Madrid,Spain,90.8,78.0,80.7,76.5,81.6,免费评估
39,National Technical University of Athens,Greece,78.4,87.4,90.3,78.4,81.5,免费评估
39,The University of Auckland,New Zealand,85.5,80.5,84.6,77.7,81.5,免费评估
41,University of Michigan-Ann Arbor,United States,67.2,85.5,93.2,85.6,81.2,免费评估
42,KTH Royal Institute of Technology,Sweden,72.5,89.2,95.2,79.3,81.1,免费评估
42,曼彻斯特大学The University of Manchester,United Kingdom,81.5,82.0,92.7,76.2,81.1,免费评估
44,Tokyo Institute of Technology (Tokyo Tech),Japan,83.9,78.0,75.3,81.7,80.8,免费评估
45,利兹大学University of Leeds,United Kingdom,75.2,86.8,94.5,76.8,80.5,免费评估
46,Universidade de São Paulo,Brazil,90.2,77.2,81.4,73.6,80.3,免费评估
47,Technical University of Munich,Germany,73.8,74.5,81.8,86.2,80.1,免费评估
47,谢菲尔德大学The University of Sheffield,United Kingdom,73.1,86.1,94.1,77.8,80.1,免费评估
47,伦敦大学学院University College London,United Kingdom,77.5,78.0,88.6,79.6,80.1,免费评估
50,National Taiwan University (NTU),Taiwan,71.8,86.1,86.8,80.6,79.7,免费评估
