Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,100.0,97.1,93.5,98.5,97.7,免费评估
2,The London School of Economics and Political Science (LSE),United Kingdom,90.0,86.1,92.3,100.0,95.8,免费评估
3,剑桥大学University of Cambridge,United Kingdom,99.7,83.4,87.8,97.8,94.3,免费评估
4,"University of California, Berkeley (UCB)",United States,88.0,86.1,91.4,96.9,93.6,免费评估
5,"University of California, Los Angeles (UCLA)",United States,87.0,89.1,93.2,91.9,91.2,免费评估
6,The Australian National University,Australia,84.7,85.4,90.5,93.7,91.1,免费评估
7,University of British Columbia,Canada,80.6,87.3,91.8,92.5,90.4,免费评估
8,伦敦大学学院University College London,United Kingdom,86.5,100.0,95.8,87.2,90.3,免费评估
9,National University of Singapore (NUS),Singapore,88.7,79.8,88.7,92.5,89.6,免费评估
10,杜伦大学Durham University,United Kingdom,81.7,88.5,98.8,86.9,88.4,免费评估
11,University of Toronto,Canada,82.0,85.4,87.2,89.1,87.6,免费评估
12,The University of Hong Kong,Hong Kong SAR,85.1,72.9,84.7,91.6,87.1,免费评估
13,The University of Tokyo,Japan,89.1,67.7,80.3,92.4,86.6,免费评估
14,Peking University,China (Mainland),88.6,76.6,84.9,88.7,86.3,免费评估
15,The University of Sydney,Australia,84.9,79.0,88.6,86.9,85.8,免费评估
16,The University of Melbourne,Australia,85.8,82.8,86.9,86.0,85.6,免费评估
17,Humboldt-Universität zu Berlin,Germany,73.7,79.8,93.7,86.0,85.0,免费评估
18,University of Amsterdam,Netherlands,73.8,85.4,89.2,85.4,84.8,免费评估
19,爱丁堡大学The University of Edinburgh,United Kingdom,84.7,78.2,89.2,84.9,84.5,免费评估
19,University of Wisconsin-Madison,United States,67.2,91.3,93.4,83.4,84.5,免费评估
21,埃克塞特大学University of Exeter,United Kingdom,80.3,92.8,100.0,78.8,84.2,免费评估
22,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,80.7,71.0,82.7,88.1,84.0,免费评估
23,曼彻斯特大学The University of Manchester,United Kingdom,82.5,92.8,95.5,79.0,83.9,免费评估
24,Lund University,Sweden,71.3,89.1,93.6,81.7,83.6,免费评估
25,Utrecht University,Netherlands,69.9,89.6,94.6,81.5,83.5,免费评估
26,University of Washington,United States,62.9,87.3,93.6,81.6,82.4,免费评估
27,The Ohio State University,United States,63.3,85.4,93.8,81.3,82.0,免费评估
28,KU Leuven,Belgium,75.3,85.4,92.9,78.8,81.6,免费评估
28,McGill University,Canada,82.3,75.7,85.5,82.0,81.6,免费评估
30,The University of Auckland,New Zealand,82.1,74.8,88.3,81.3,81.5,免费评估
31,伦敦国王学院King's College London,United Kingdom,76.1,73.9,88.0,82.3,81.3,免费评估
32,University of Chicago,United States,80.6,65.3,71.3,87.5,81.1,免费评估
33,Université Paris 1 Panthéon-Sorbonne,France,72.2,64.1,71.6,89.0,81.0,免费评估
34,Seoul National University,South Korea,89.7,56.9,73.6,87.0,80.7,免费评估
35,布里斯托大学University of Bristol,United Kingdom,84.2,78.2,88.3,78.5,80.5,免费评估
35,利兹大学University of Leeds,United Kingdom,81.7,86.7,92.9,75.7,80.5,免费评估
37,Tsinghua University,China (Mainland),88.0,72.0,85.4,80.0,80.4,免费评估
38,Kyoto University,Japan,83.3,55.2,70.7,88.4,80.3,免费评估
39,伦敦大学亚非学院SOAS University of London,United Kingdom,65.5,60.0,78.4,88.2,80.2,免费评估
40,University of Minnesota Twin Cities,United States,60.1,84.8,93.2,79.0,80.1,免费评估
41,Freie Universitaet Berlin,Germany,67.8,58.5,78.5,87.8,80.0,免费评估
42,Universidad Nacional Autónoma de México (UNAM),Mexico,81.9,65.3,74.7,84.2,79.7,免费评估
43,The University of Queensland,Australia,78.5,86.1,89.6,75.7,79.6,免费评估
44,Monash University,Australia,82.3,79.0,90.5,76.1,79.3,免费评估
44,格拉斯哥大学University of Glasgow,United Kingdom,71.4,81.3,94.8,76.3,79.3,免费评估
46,谢菲尔德大学The University of Sheffield,United Kingdom,82.0,82.8,89.4,75.2,79.2,免费评估
47,Universidade de São Paulo,Brazil,80.4,62.8,76.4,83.4,79.0,免费评估
48,Stockholm University,Sweden,52.7,87.9,95.6,76.4,78.6,免费评估
49,Pennsylvania State University,United States,73.8,85.4,89.2,74.5,78.3,免费评估
50,Ruprecht-Karls-Universität Heidelberg,Germany,62.3,72.9,87.4,79.7,78.1,免费评估
