Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,95.9,91.1,96.6,97.0,免费评估
2,INSEAD,France,92.4,82.1,94.3,100.0,95.4,免费评估
3,伦敦商学院London Business School,United Kingdom,90.7,81.5,87.9,98.4,93.4,免费评估
4,Massachusetts Institute of Technology (MIT),United States,94.3,92.8,93.7,92.0,92.9,免费评估
5,Stanford University,United States,93.2,88.7,88.9,92.8,92.1,免费评估
6,University of Pennsylvania,United States,85.0,97.4,92.2,94.5,91.7,免费评估
7,Bocconi University,Italy,87.0,91.6,88.1,93.2,90.7,免费评估
8,剑桥大学University of Cambridge,United Kingdom,95.4,92.0,87.0,88.1,90.6,免费评估
9,HEC Paris School of Management,France,88.5,84.4,93.7,91.5,90.1,免费评估
10,The London School of Economics and Political Science (LSE),United Kingdom,85.8,90.8,87.1,92.3,89.7,免费评估
11,牛津大学University of Oxford,United Kingdom,94.9,86.9,80.4,87.6,89.0,免费评估
12,"University of California, Berkeley (UCB)",United States,85.9,92.4,87.4,86.2,86.9,免费评估
13,National University of Singapore (NUS),Singapore,86.8,92.4,87.5,85.3,86.7,免费评估
14,Northwestern University,United States,79.7,90.4,91.8,87.2,85.7,免费评估
15,Copenhagen Business School,Denmark,64.9,96.5,90.4,93.9,85.1,免费评估
16,The Hong Kong University of Science and Technology,Hong Kong SAR,77.6,87.4,93.9,85.8,84.3,免费评估
17,Erasmus University Rotterdam,Netherlands,71.6,95.6,93.3,86.6,83.7,免费评估
18,Columbia University,United States,83.4,92.4,86.8,81.3,83.6,免费评估
19,Yale University,United States,87.1,82.7,85.3,81.1,83.5,免费评估
20,New York University (NYU),United States,81.3,88.7,87.7,82.6,83.3,免费评估
21,Universitat Ramon Llull,Spain,78.1,91.6,98.9,80.1,82.5,免费评估
22,University of Chicago,United States,82.0,73.5,84.1,84.1,82.4,免费评估
23,华威大学The University of Warwick,United Kingdom,77.9,85.9,85.8,82.5,81.8,免费评估
24,帝国理工学院Imperial College London,United Kingdom,85.2,90.8,97.8,74.6,81.7,免费评估
24,"Nanyang Technological University, Singapore (NTU)",Singapore,83.4,85.4,84.0,79.5,81.7,免费评估
26,The University of Melbourne,Australia,82.1,96.2,87.9,76.8,81.4,免费评估
27,University of Michigan-Ann Arbor,United States,75.5,93.5,89.1,79.9,80.9,免费评估
28,"University of California, Los Angeles (UCLA)",United States,84.8,80.9,86.9,76.6,80.5,免费评估
29,University of Navarra,Spain,79.1,83.3,87.1,79.0,80.3,免费评估
30,曼彻斯特大学The University of Manchester,United Kingdom,79.3,98.9,87.5,74.7,79.8,免费评估
31,ESSEC Business School,France,81.8,82.1,89.2,76.1,79.7,免费评估
31,IE University,Spain,80.0,76.8,90.3,78.0,79.7,免费评估
31,University of St.Gallen (HSG),Switzerland,75.6,94.2,88.3,77.6,79.7,免费评估
34,The University of New South Wales (UNSW Sydney),Australia,78.8,95.6,86.1,74.8,79.2,免费评估
34,Tsinghua University,China (Mainland),81.7,90.4,83.6,74.6,79.2,免费评估
36,Peking University,China (Mainland),81.8,87.8,84.7,74.7,79.1,免费评估
37,WU (Vienna University of Economics and Business),Austria,68.0,92.0,89.7,80.9,79.0,免费评估
38,Seoul National University,South Korea,79.6,85.4,86.0,75.8,78.9,免费评估
39,Singapore Management University,Singapore,71.4,84.4,89.0,80.1,78.8,免费评估
40,University of British Columbia,Canada,80.2,86.4,88.2,73.8,78.4,免费评估
41,The University of Sydney,Australia,78.7,93.5,85.8,73.5,78.3,免费评估
41,The University of Hong Kong,Hong Kong SAR,80.5,86.4,85.6,73.9,78.3,免费评估
43,University of Toronto,Canada,80.7,85.4,80.9,74.7,78.2,免费评估
44,Monash University,Australia,79.0,97.7,87.6,71.8,78.1,免费评估
44,Shanghai Jiao Tong University,China (Mainland),77.8,93.1,87.4,73.5,78.1,免费评估
46,Duke University,United States,74.3,86.4,90.9,74.9,77.5,免费评估
47,Tecnológico de Monterrey,Mexico,79.7,81.5,83.0,72.7,76.7,免费评估
48,City University of Hong Kong,Hong Kong SAR,68.3,98.0,93.0,74.0,76.6,免费评估
49,Korea University,South Korea,77.7,82.7,82.7,73.2,76.5,免费评估
50,Fudan University,China (Mainland),77.2,86.9,86.9,71.7,76.4,免费评估
