Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,99.9,92.6,95.0,100.0,96.9,免费评估
2,Stanford University,United States,95.2,92.0,96.9,95.3,94.9,免费评估
3,"Nanyang Technological University, Singapore (NTU)",Singapore,83.4,100.0,98.2,90.6,94.1,免费评估
4,剑桥大学University of Cambridge,United Kingdom,95.5,86.7,92.9,97.3,93.4,免费评估
5,牛津大学University of Oxford,United Kingdom,94.9,87.5,96.8,93.5,93.0,免费评估
6,"University of California, Berkeley (UCB)",United States,91.4,87.8,94.6,95.1,92.8,免费评估
7,EPFL,Switzerland,89.7,89.0,94.8,93.8,92.4,免费评估
7,Harvard University,United States,100.0,85.0,97.0,92.3,92.4,免费评估
9,Tsinghua University,China (Mainland),85.9,97.3,91.0,90.5,91.9,免费评估
10,Georgia Institute of Technology,United States,86.9,90.6,94.0,91.5,91.4,免费评估
11,帝国理工学院Imperial College London,United Kingdom,90.3,83.8,90.7,96.7,91.3,免费评估
12,Northwestern University,United States,70.8,86.9,95.1,96.1,91.0,免费评估
13,National University of Singapore (NUS),Singapore,87.8,94.6,96.3,86.1,90.9,免费评估
14,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,91.3,83.4,91.5,91.0,89.3,免费评估
15,University of Illinois at Urbana-Champaign,United States,80.6,82.9,91.5,90.8,88.0,免费评估
16,Peking University,China (Mainland),81.9,93.5,94.4,81.9,87.9,免费评估
17,California Institute of Technology (Caltech),United States,93.7,78.5,89.8,90.9,87.8,免费评估
17,Delft University of Technology,Netherlands,84.8,80.4,88.4,92.9,87.8,免费评估
19,KAIST - Korea Advanced Institute of Science & Technology,South Korea,83.9,87.5,92.8,84.7,87.3,免费评估
19,The University of Tokyo,Japan,87.4,83.6,85.8,90.4,87.3,免费评估
21,Seoul National University,South Korea,83.4,88.4,91.7,84.6,87.2,免费评估
22,Shanghai Jiao Tong University,China (Mainland),81.1,90.8,89.7,83.4,86.6,免费评估
23,The Hong Kong University of Science and Technology,Hong Kong SAR,80.5,85.8,96.0,81.0,85.9,免费评估
24,RWTH Aachen University,Germany,89.4,76.0,85.0,90.7,85.5,免费评估
25,"University of California, Los Angeles (UCLA)",United States,86.1,85.8,95.3,78.4,85.2,免费评估
26,Sungkyunkwan University(SKKU),South Korea,77.1,88.7,95.3,78.5,85.1,免费评估
27,KTH Royal Institute of Technology,Sweden,76.7,79.0,87.2,89.4,85.0,免费评估
28,曼彻斯特大学The University of Manchester,United Kingdom,74.5,80.6,90.3,86.7,84.9,免费评估
29,Pennsylvania State University,United States,78.9,87.1,92.0,80.4,84.8,免费评估
30,Fudan University,China (Mainland),77.7,93.5,97.3,72.7,84.6,免费评估
31,Carnegie Mellon University,United States,79.1,77.0,92.5,85.5,84.5,免费评估
31,Technical University of Munich,Germany,84.8,80.8,88.8,84.0,84.5,免费评估
33,Tokyo Institute of Technology (Tokyo Tech),Japan,84.9,76.2,83.0,89.7,84.2,免费评估
34,Kyoto University,Japan,82.3,81.2,86.5,84.6,84.0,免费评估
35,Zhejiang University,China (Mainland),77.4,92.6,90.7,75.8,83.9,免费评估
36,University of Michigan-Ann Arbor,United States,80.2,83.1,89.8,81.4,83.8,免费评估
37,University of Pennsylvania,United States,76.6,79.4,95.0,80.5,83.5,免费评估
38,Cornell University,United States,82.2,80.0,93.1,79.8,83.4,免费评估
39,University of Texas at Austin,United States,76.5,87.4,94.7,75.3,83.3,免费评估
40,"University of California, Santa Barbara (UCSB)",United States,54.6,80.0,94.7,85.1,83.2,免费评估
40,University of Science and Technology of China,China (Mainland),71.9,94.8,95.1,71.4,83.2,免费评估
42,The University of New South Wales (UNSW Sydney),Australia,77.9,81.4,90.5,80.3,82.9,免费评估
43,"KIT, Karlsruhe Institute of Technology",Germany,76.4,81.0,87.4,82.4,82.7,免费评估
43,Pohang University of Science And Technology (POSTECH),South Korea,74.8,84.8,92.9,77.1,82.7,免费评估
45,KU Leuven,Belgium,77.4,78.8,88.3,82.4,82.5,免费评估
46,Monash University,Australia,73.3,86.0,93.6,74.9,82.2,免费评估
46,Tohoku University,Japan,78.9,78.3,83.6,84.7,82.2,免费评估
48,University of Toronto,Canada,77.5,81.4,89.9,78.6,82.0,免费评估
49,McGill University,Canada,77.5,76.2,87.9,82.9,81.9,免费评估
50,Purdue University,United States,89.3,82.0,89.3,74.6,81.6,免费评估
