Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,100.0,96.4,100.0,99.1,免费评估
2,Massachusetts Institute of Technology (MIT),United States,94.7,95.8,100.0,94.7,96.3,免费评估
3,剑桥大学University of Cambridge,United Kingdom,97.2,94.0,92.0,99.1,95.9,免费评估
4,Stanford University,United States,92.8,94.8,94.6,95.2,94.7,免费评估
5,牛津大学University of Oxford,United Kingdom,96.4,92.7,90.3,98.0,94.6,免费评估
6,"University of California, Berkeley (UCB)",United States,87.2,88.6,94.0,93.9,91.9,免费评估
7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,92.6,84.3,88.5,98.4,91.8,免费评估
8,Yale University,United States,88.8,90.7,91.6,88.9,90.0,免费评估
9,California Institute of Technology (Caltech),United States,80.4,82.8,96.4,91.8,89.6,免费评估
10,"University of California, Los Angeles (UCLA)",United States,85.1,90.5,89.7,89.2,89.2,免费评估
11,"University of California, San Diego (UCSD)",United States,74.2,91.3,90.9,90.3,89.1,免费评估
12,Cornell University,United States,85.3,90.6,91.8,84.6,88.0,免费评估
12,帝国理工学院Imperial College London,United Kingdom,85.8,88.2,88.5,88.2,88.0,免费评估
12,伦敦大学学院University College London,United Kingdom,85.1,91.6,89.6,85.5,88.0,免费评估
15,University of Toronto,Canada,91.2,92.2,88.4,83.9,87.8,免费评估
16,The University of Tokyo,Japan,84.2,87.7,84.5,89.2,87.2,免费评估
17,National University of Singapore (NUS),Singapore,84.9,86.3,86.9,88.2,87.1,免费评估
18,"University of California, San Francisco",United States,64.0,93.7,94.4,83.7,86.9,免费评估
19,Princeton University,United States,82.8,81.3,92.9,86.2,86.3,免费评估
20,Columbia University,United States,78.9,90.0,91.6,81.8,86.0,免费评估
21,爱丁堡大学The University of Edinburgh,United Kingdom,79.6,88.8,89.8,83.2,85.9,免费评估
22,Kyoto University,Japan,76.9,83.4,85.2,88.1,85.1,免费评估
23,University of Chicago,United States,74.1,87.9,92.3,81.3,85.0,免费评估
24,University of Copenhagen,Denmark,73.7,91.0,88.1,81.3,84.7,免费评估
25,Ludwig-Maximilians-Universität München,Germany,73.1,87.2,87.8,83.3,84.4,免费评估
26,EPFL,Switzerland,84.5,82.1,91.4,80.7,84.1,免费评估
27,Johns Hopkins University,United States,81.0,91.5,89.2,76.5,83.9,免费评估
27,Tsinghua University,China (Mainland),77.3,81.3,86.1,85.8,83.9,免费评估
27,University of British Columbia,Canada,86.4,84.5,86.1,81.6,83.9,免费评估
30,University of Washington,United States,67.5,90.8,89.7,79.6,83.7,免费评估
31,McGill University,Canada,85.9,86.1,86.8,79.4,83.6,免费评估
31,University of Pennsylvania,United States,76.6,92.2,91.2,75.3,83.6,免费评估
33,Peking University,China (Mainland),79.2,83.7,84.5,83.5,83.4,免费评估
34,Karolinska Institutet,Sweden,79.4,90.2,87.7,77.2,83.3,免费评估
35,University of Michigan-Ann Arbor,United States,76.9,91.4,89.4,75.4,83.1,免费评估
36,The University of Melbourne,Australia,83.0,87.8,87.8,76.9,83.0,免费评估
37,Ruprecht-Karls-Universität Heidelberg,Germany,76.5,84.9,86.9,80.2,82.7,免费评估
38,Seoul National University,South Korea,80.2,83.2,81.5,83.2,82.5,免费评估
39,Sorbonne University,France,80.0,87.1,88.4,76.4,82.4,免费评估
40,"Nanyang Technological University, Singapore (NTU)",Singapore,79.4,81.1,88.6,79.7,82.2,免费评估
41,Uppsala University,Sweden,69.4,85.2,87.3,79.1,81.7,免费评估
42,"University of California, Davis",United States,73.4,84.1,85.4,79.4,81.5,免费评估
43,Washington University in St. Louis,United States,61.4,91.7,92.0,73.1,81.3,免费评估
44,The University of Queensland,Australia,79.0,85.7,86.0,76.0,81.2,免费评估
45,University of Zurich,Switzerland,70.7,86.0,89.7,74.7,80.9,免费评估
46,Wageningen University & Research,Netherlands,80.6,80.1,85.6,78.2,80.8,免费评估
47,The Rockefeller University,United States,28.0,85.9,98.5,79.6,80.7,免费评估
48,New York University (NYU),United States,69.9,86.5,91.6,72.8,80.6,免费评估
48,Technical University of Munich,Germany,70.4,85.5,86.1,76.7,80.6,免费评估
50,The Australian National University,Australia,82.0,73.9,84.1,81.7,80.4,免费评估
50,Duke University,United States,73.0,83.1,87.6,76.1,80.4,免费评估
