Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,皇家艺术学院Royal College of Art,United Kingdom,89.4,,,100.0,98.9,免费评估
2,伦敦艺术大学University of the Arts London,United Kingdom,88.6,,,96.2,95.4,免费评估
3,Parsons School of Design at The New School,United States,84.1,,,93.2,92.3,免费评估
4,Rhode Island School of Design (RISD),United States,79.2,,,92.0,90.7,免费评估
5,Massachusetts Institute of Technology (MIT),United States,98.9,,,87.2,88.4,免费评估
6,Politecnico di Milano,Italy,89.1,,,87.0,87.2,免费评估
7,Aalto University,Finland,60.3,,,89.3,86.4,免费评估
8,The Glasgow School of Art,United Kingdom,71.0,,,85.8,84.3,免费评估
9,School of the Art Institute of Chicago,United States,58.9,,,86.5,83.7,免费评估
10,Pratt Institute,United States,63.9,,,83.9,81.9,免费评估
11,RMIT University,Australia,91.4,,,80.6,81.7,免费评估
12,Art Center College of Design,United States,69.7,,,82.7,81.4,免费评估
13,Tongji University,China (Mainland),64.8,,,82.9,81.1,免费评估
14,伦敦大学金史密斯学院Goldsmiths University of London,United Kingdom,72.5,,,81.7,80.8,免费评估
15,The Hong Kong Polytechnic University,Hong Kong SAR,76.2,,,80.7,80.3,免费评估
16,Stanford University,United States,96.5,,,77.3,79.2,免费评估
17,Carnegie Mellon University,United States,76.6,,,79.4,79.1,免费评估
18,Design Academy Eindhoven,Netherlands,38.0,,,82.8,78.3,免费评估
19,Tsinghua University,China (Mainland),90.9,,,76.8,78.2,免费评估
20,California Institute of the Arts,United States,61.5,,,79.1,77.3,免费评估
21,The Royal Danish Academy of Fine Arts (KADK),Denmark,60.2,,,78.9,77.0,免费评估
22,"École Nationale Supérieure de Création Industrielle, ENSCI Les Ateliers",France,50.8,,,79.6,76.7,免费评估
23,University of Technology Sydney,Australia,86.7,,,73.8,75.1,免费评估
24,拉夫堡大学Loughborough University,United Kingdom,70.4,,,74.4,74.0,免费评估
25,California College of the Arts,United States,58.5,,,75.5,73.8,免费评估
26,Umea University,Sweden,55.2,,,75.4,73.4,免费评估
27,Ecole Nationale Superieure des Arts Decoratifs (ENSAD),France,50.8,,,75.7,73.2,免费评估
28,China Central Academy of Fine Arts,China (Mainland),6.2,,,80.4,73.0,免费评估
28,School of Visual Arts (SVA),United States,72.4,,,73.1,73.0,免费评估
30,National University of Singapore (NUS),Singapore,91.3,,,70.1,72.2,免费评估
30,Universidad de Buenos Aires (UBA),Argentina,91.7,,,70.0,72.2,免费评估
30,牛津大学University of Oxford,United Kingdom,100.0,,,69.1,72.2,免费评估
33,"Konstfack University of Arts , Crafts and Design",Sweden,30.2,,,76.8,72.1,免费评估
34,Columbia University,United States,87.9,,,70.1,71.9,免费评估
34,Yale University,United States,90.6,,,69.8,71.9,免费评估
36,Savannah College of Art and Design,United States,68.3,,,71.9,71.5,免费评估
37,"Nanyang Technological University, Singapore (NTU)",Singapore,87.5,,,69.4,71.2,免费评估
38,Seoul National University,South Korea,84.1,,,69.5,71.0,免费评估
39,"University of California, Los Angeles (UCLA)",United States,88.8,,,68.5,70.5,免费评估
40,Emily Carr University of Art + Design,Canada,38.6,,,73.9,70.4,免费评估
40,Universidad Nacional Autónoma de México (UNAM),Mexico,89.7,,,68.3,70.4,免费评估
40,Universität der Künste Berlin,Germany,60.9,,,71.5,70.4,免费评估
43,Swinburne University of Technology,Australia,72.3,,,70.1,70.3,免费评估
44,New York University (NYU),United States,87.5,,,68.3,70.2,免费评估
45,Zurich University of the Arts,Switzerland,59.2,,,71.2,70.0,免费评估
46,伦敦大学学院University College London,United Kingdom,80.1,,,68.4,69.6,免费评估
46,Universidad de Palermo (UP),Argentina,76.3,,,68.9,69.6,免费评估
48,The University of New South Wales (UNSW Sydney),Australia,86.9,,,67.5,69.4,免费评估
49,The University of Melbourne,Australia,90.0,,,66.7,69.0,免费评估
50,Politecnico di Torino,Italy,75.8,,,68.1,68.9,免费评估
