Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,萨塞克斯大学University of Sussex,United Kingdom,93.6,94.0,100.0,81.3,96.3,免费评估
2,牛津大学University of Oxford,United Kingdom,100.0,91.9,90.1,95.9,92.4,免费评估
3,Harvard University,United States,90.9,94.0,89.8,100.0,91.6,免费评估
3,The London School of Economics and Political Science (LSE),United Kingdom,100.0,94.1,89.2,89.6,91.6,免费评估
5,伦敦大学亚非学院SOAS University of London,United Kingdom,91.6,92.5,93.0,66.0,90.0,免费评估
6,剑桥大学University of Cambridge,United Kingdom,88.6,85.0,88.6,95.3,88.7,免费评估
7,"University of California, Berkeley (UCB)",United States,84.2,87.8,86.3,87.9,86.4,免费评估
8,Stanford University,United States,80.2,86.7,85.0,91.1,85.1,免费评估
9,东英吉利大学University of East Anglia,United Kingdom,90.1,93.0,84.0,62.7,84.1,免费评估
10,University of Cape Town,South Africa,82.3,85.4,86.5,68.9,83.9,免费评估
11,曼彻斯特大学The University of Manchester,United Kingdom,99.5,94.9,80.7,62.4,83.8,免费评估
12,Erasmus University Rotterdam,Netherlands,99.0,93.9,77.0,81.7,83.3,免费评估
13,Wageningen University & Research,Netherlands,93.6,89.5,81.2,63.1,82.5,免费评估
14,"University of California, Los Angeles (UCLA)",United States,76.6,92.5,80.3,85.7,82.1,免费评估
15,The Australian National University,Australia,86.9,84.5,78.7,85.9,81.5,免费评估
16,Columbia University,United States,81.2,84.5,80.2,84.7,81.4,免费评估
17,University of Göttingen,Germany,86.9,89.4,79.1,70.8,81.0,免费评估
17,University of Copenhagen,Denmark,89.4,93.3,77.7,70.1,81.0,免费评估
19,Cornell University,United States,86.9,92.1,77.4,74.6,80.8,免费评估
20,University of Chicago,United States,77.8,84.4,80.0,79.9,80.3,免费评估
21,The University of Melbourne,Australia,80.2,88.1,77.4,85.2,80.2,免费评估
22,Princeton University,United States,76.6,81.8,79.8,82.8,79.9,免费评估
23,The University of Tokyo,Japan,72.4,78.2,79.2,90.8,79.2,免费评估
24,University of Amsterdam,Netherlands,87.8,92.5,75.8,66.1,79.1,免费评估
25,The University of Hong Kong,Hong Kong SAR,72.4,85.2,77.8,87.0,79.0,免费评估
26,爱丁堡大学The University of Edinburgh,United Kingdom,80.2,87.2,78.7,65.7,78.9,免费评估
27,University of Witwatersrand,South Africa,86.1,83.6,77.7,59.8,78.1,免费评估
28,Leiden University,Netherlands,79.0,82.6,74.5,80.1,77.0,免费评估
29,University of British Columbia,Canada,86.1,92.9,70.7,71.5,76.4,免费评估
30,University of Toronto,Canada,86.9,88.1,72.1,65.9,76.1,免费评估
31,伦敦国王学院King's College London,United Kingdom,88.6,90.6,68.9,71.9,75.4,免费评估
32,Lund University,Sweden,77.8,86.6,73.5,64.1,75.2,免费评估
33,McGill University,Canada,79.0,87.0,71.9,64.8,74.5,免费评估
33,Universidad Nacional Autónoma de México (UNAM),Mexico,63.5,72.7,74.6,93.1,74.5,免费评估
33,利兹大学University of Leeds,United Kingdom,85.2,91.2,68.3,70.2,74.5,免费评估
36,Duke University,United States,75.3,85.9,71.8,69.3,74.2,免费评估
37,The University of Sydney,Australia,79.0,85.0,68.7,81.5,74.0,免费评估
37,Université Paris 1 Panthéon-Sorbonne,France,72.4,75.5,71.7,88.1,74.0,免费评估
39,Sciences Po,France,65.6,69.0,74.8,86.0,73.7,免费评估
39,"University of California, Davis",United States,80.2,90.0,72.6,45.8,73.7,免费评估
41,Utrecht University,Netherlands,80.2,87.5,68.7,72.4,73.6,免费评估
42,University of Massachusetts Amherst,United States,73.9,79.3,73.5,64.5,73.5,免费评估
43,Michigan State University,United States,87.8,91.1,67.0,59.9,73.0,免费评估
44,谢菲尔德大学The University of Sheffield,United Kingdom,86.9,91.4,64.6,73.7,72.9,免费评估
45,Makerere University,Uganda,79.0,81.9,70.7,62.5,72.8,免费评估
46,Universidad de los Andes,Colombia,69.2,70.5,72.6,80.4,72.6,免费评估
47,University of Oslo,Norway,81.2,85.2,72.2,42.1,72.5,免费评估
48,Uppsala University,Sweden,77.8,84.0,72.2,47.7,72.4,免费评估
49,Ghent University,Belgium,86.9,92.4,65.9,55.0,71.9,免费评估
50,Arizona State University,United States,81.2,90.6,66.6,58.7,71.6,免费评估
50,University of Delhi,India,56.2,69.1,77.1,65.1,71.6,免费评估
