Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Massachusetts Institute of Technology (MIT),United States,86.3,90.1,98.7,94.1,96.1,免费评估
2,伦敦大学学院University College London,United Kingdom,86.3,87.0,100.0,85.6,95.9,免费评估
3,Delft University of Technology,Netherlands,92.9,85.0,94.4,93.3,93.2,免费评估
4,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,86.3,91.9,95.0,85.4,92.9,免费评估
5,Harvard University,United States,78.9,91.9,88.7,100.0,89.2,免费评估
6,National University of Singapore (NUS),Singapore,88.7,93.2,86.0,90.0,87.4,免费评估
7,"University of California, Berkeley (UCB)",United States,87.7,90.7,86.5,87.1,87.1,免费评估
8,Tsinghua University,China (Mainland),94.9,90.3,83.0,86.5,85.3,免费评估
9,剑桥大学University of Cambridge,United Kingdom,81.9,88.4,83.1,95.6,84.8,免费评估
10,Politecnico di Milano,Italy,84.7,78.5,85.1,85.6,84.5,免费评估
11,曼彻斯特建筑学院Manchester School of Architecture,United Kingdom,77.5,90.4,85.2,77.7,84.2,免费评估
12,EPFL,Switzerland,78.9,89.0,82.4,81.5,82.6,免费评估
13,Tongji University,China (Mainland),87.2,73.8,82.9,71.4,81.3,免费评估
14,Columbia University,United States,75.4,85.1,80.4,80.1,80.3,免费评估
14,The University of Hong Kong,Hong Kong SAR,87.7,86.8,78.6,78.5,80.3,免费评估
16,The University of Tokyo,Japan,72.4,72.4,80.7,88.4,79.8,免费评估
17,"University of California, Los Angeles (UCLA)",United States,72.4,85.1,79.0,86.1,79.7,免费评估
18,The Hong Kong Polytechnic University,Hong Kong SAR,100.0,93.1,74.5,71.8,78.6,免费评估
19,KTH Royal Institute of Technology,Sweden,83.6,89.6,79.7,53.1,78.4,免费评估
20,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,77.5,80.4,77.0,81.8,77.9,免费评估
21,The University of Sydney,Australia,85.2,86.2,74.1,83.1,77.3,免费评估
22,Technische Universität Berlin (TU Berlin),Germany,73.9,81.9,76.9,74.5,76.9,免费评估
23,Georgia Institute of Technology,United States,85.2,85.7,76.4,62.1,76.8,免费评估
23,Technical University of Munich,Germany,77.5,81.5,77.1,69.3,76.8,免费评估
23,The University of Melbourne,Australia,74.7,84.4,75.4,81.0,76.8,免费评估
26,Cornell University,United States,65.0,77.3,77.7,80.3,76.7,免费评估
27,谢菲尔德大学The University of Sheffield,United Kingdom,77.5,90.0,75.7,67.5,76.5,免费评估
28,RMIT University,Australia,77.5,81.6,72.9,84.2,75.4,免费评估
28,University of Pennsylvania,United States,68.0,79.6,76.8,69.1,75.4,免费评估
30,University of British Columbia,Canada,77.5,87.2,72.2,79.4,75.0,免费评估
31,Seoul National University,South Korea,73.9,78.9,74.5,74.9,74.9,免费评估
31,University of Michigan-Ann Arbor,United States,82.5,88.4,73.5,63.1,74.9,免费评估
33,The University of New South Wales (UNSW Sydney),Australia,80.1,82.6,71.4,83.8,74.6,免费评估
34,Politecnico di Torino,Italy,78.2,85.7,72.5,72.0,74.3,免费评估
34,Stanford University,United States,69.8,85.4,71.3,89.1,74.3,免费评估
36,KU Leuven,Belgium,80.1,88.8,71.6,70.8,74.1,免费评估
37,卡迪夫大学Cardiff University,United Kingdom,81.3,93.3,69.8,72.1,73.5,免费评估
37,Tokyo Institute of Technology (Tokyo Tech),Japan,70.7,71.5,72.8,82.9,73.5,免费评估
37,Universidad Politécnica de Madrid (UPM),Spain,73.2,75.1,71.6,85.7,73.5,免费评估
40,University of Texas at Austin,United States,80.7,88.7,70.6,67.2,73.1,免费评估
41,Pontificia Universidad Católica de Chile (UC),Chile,68.9,76.1,70.2,92.8,72.9,免费评估
42,Aalto University,Finland,73.9,90.3,71.3,64.7,72.8,免费评估
43,Peking University,China (Mainland),83.6,93.9,66.4,84.2,72.7,免费评估
44,Chalmers University of Technology,Sweden,82.5,90.7,69.8,64.6,72.6,免费评估
45,McGill University,Canada,76.9,88.3,68.8,75.3,72.2,免费评估
46,"Nanyang Technological University, Singapore (NTU)",Singapore,81.3,88.4,66.4,85.0,72.0,免费评估
46,University of Toronto,Canada,78.9,83.1,69.4,72.1,72.0,免费评估
48,Shanghai Jiao Tong University,China (Mainland),80.7,90.4,66.4,81.6,71.8,免费评估
48,Universidade de São Paulo,Brazil,69.8,74.5,69.7,85.5,71.8,免费评估
50,Tianjin University,China (Mainland),86.3,87.3,67.4,67.3,71.3,免费评估
