Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,89.8,88.7,100.0,93.3,免费评估
2,Sciences Po,France,82.0,81.6,100.0,81.3,90.8,免费评估
3,牛津大学University of Oxford,United Kingdom,96.3,81.0,86.8,94.9,89.6,免费评估
4,Princeton University,United States,89.9,100.0,96.2,69.4,87.9,免费评估
5,The London School of Economics and Political Science (LSE),United Kingdom,97.6,85.3,84.4,85.0,86.0,免费评估
6,剑桥大学University of Cambridge,United Kingdom,78.8,74.7,82.6,94.0,84.9,免费评估
7,Stanford University,United States,84.8,87.7,80.9,89.5,84.6,免费评估
8,Yale University,United States,90.7,89.8,80.0,84.7,83.5,免费评估
9,The Australian National University,Australia,81.0,71.4,89.0,70.3,80.8,免费评估
10,National University of Singapore (NUS),Singapore,76.6,78.4,74.3,92.8,80.5,免费评估
10,"University of California, Berkeley (UCB)",United States,84.8,83.8,79.2,80.1,80.5,免费评估
12,Georgetown University,United States,84.8,81.8,83.5,69.0,79.1,免费评估
13,Columbia University,United States,88.3,76.7,77.0,78.8,78.6,免费评估
14,Massachusetts Institute of Technology (MIT),United States,82.0,90.5,61.8,91.0,75.5,免费评估
14,New York University (NYU),United States,84.8,85.1,68.3,81.3,75.5,免费评估
16,"University of California, San Diego (UCSD)",United States,78.8,83.3,82.0,59.1,74.9,免费评估
17,伦敦国王学院King's College London,United Kingdom,86.6,76.1,76.8,66.0,74.5,免费评估
17,"University of California, Los Angeles (UCLA)",United States,70.2,88.2,69.6,79.6,74.5,免费评估
19,University of Chicago,United States,74.2,81.1,75.2,70.7,74.3,免费评估
20,Freie Universitaet Berlin,Germany,77.7,82.3,86.3,48.9,73.8,免费评估
21,伦敦大学亚非学院SOAS University of London,United Kingdom,62.3,71.3,87.5,50.6,72.3,免费评估
22,Leiden University,Netherlands,89.1,78.9,75.7,57.4,71.9,免费评估
23,George Washington University,United States,82.9,81.0,70.7,62.8,70.6,免费评估
24,Cornell University,United States,83.9,84.0,65.2,69.7,70.3,免费评估
25,Central European University,Hungary,70.2,75.8,80.4,51.1,70.1,免费评估
26,University of Amsterdam,Netherlands,95.0,84.6,68.0,59.7,69.9,免费评估
27,University of Toronto,Canada,84.8,78.7,68.6,63.8,69.8,免费评估
28,University of Michigan-Ann Arbor,United States,82.0,83.0,70.0,60.4,69.6,免费评估
29,The University of Tokyo,Japan,46.8,52.1,71.2,80.0,69.5,免费评估
29,The University of Hong Kong,Hong Kong SAR,64.1,68.7,67.5,74.8,69.5,免费评估
31,"Nanyang Technological University, Singapore (NTU)",Singapore,64.1,68.0,62.0,82.8,69.1,免费评估
32,Johns Hopkins University,United States,77.7,76.3,70.9,58.7,68.5,免费评估
33,Tsinghua University,China (Mainland),65.7,69.3,63.8,76.2,68.3,免费评估
33,University of Copenhagen,Denmark,88.3,83.7,70.2,53.2,68.3,免费评估
35,Fudan University,China (Mainland),60.5,56.4,69.6,72.1,68.1,免费评估
36,McGill University,Canada,75.4,74.9,68.4,62.4,68.0,免费评估
37,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,77.7,85.4,61.0,69.3,67.6,免费评估
38,Peking University,China (Mainland),52.0,59.5,66.9,76.4,67.5,免费评估
39,Duke University,United States,82.0,89.2,61.5,64.4,67.2,免费评估
40,European University Institute,Italy,88.3,84.5,83.3,26.0,66.7,免费评估
41,MGIMO University,Russia,46.8,46.7,70.0,73.8,66.5,免费评估
42,伦敦大学学院University College London,United Kingdom,79.9,76.6,65.4,60.2,66.4,免费评估
43,University of British Columbia,Canada,74.2,80.2,59.5,70.2,66.3,免费评估
44,The University of Sydney,Australia,77.7,74.8,60.5,68.9,66.2,免费评估
45,HSE University,Russia,76.6,65.8,60.2,72.5,66.1,免费评估
46,Seoul National University,South Korea,58.6,55.6,67.0,69.3,65.7,免费评估
46,The University of Melbourne,Australia,67.3,74.4,58.1,74.9,65.7,免费评估
48,Luiss University,Italy,65.7,58.5,58.6,78.3,65.2,免费评估
48,埃塞克斯大学University of Essex,United Kingdom,82.9,85.6,79.1,29.3,65.2,免费评估
50,Universidade de São Paulo,Brazil,64.1,58.9,59.3,74.9,64.4,免费评估
