Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,伦敦大学学院University College London,United Kingdom,94.0,91.4,100.0,80.8,95.2,免费评估
2,Harvard University,United States,95.7,93.9,85.7,100.0,90.8,免费评估
3,University of Toronto,Canada,100.0,96.9,86.4,79.3,90.5,免费评估
4,牛津大学University of Oxford,United Kingdom,91.0,100.0,83.9,97.2,89.9,免费评估
5,Stanford University,United States,98.6,96.7,82.7,91.9,89.6,免费评估
6,剑桥大学University of Cambridge,United Kingdom,88.8,92.0,83.8,95.7,87.6,免费评估
7,The University of Hong Kong,Hong Kong SAR,91.9,91.9,82.9,82.3,86.4,免费评估
8,"University of California, Berkeley (UCB)",United States,91.6,92.7,79.7,86.9,85.4,免费评估
9,"Nanyang Technological University, Singapore (NTU)",Singapore,89.1,89.1,80.4,88.1,84.7,免费评估
10,University of British Columbia,Canada,94.0,93.1,78.0,80.3,84.5,免费评估
11,Columbia University,United States,94.3,92.1,77.4,83.0,84.3,免费评估
12,"University of California, Los Angeles (UCLA)",United States,92.1,93.1,75.3,86.8,83.4,免费评估
13,University of Wisconsin-Madison,United States,94.5,94.1,74.9,72.9,82.5,免费评估
14,The University of Melbourne,Australia,86.4,89.7,75.7,90.5,82.1,免费评估
15,Monash University,Australia,93.0,90.6,73.2,86.4,82.0,免费评估
16,The Education University of Hong Kong,Hong Kong SAR,85.3,84.6,84.8,53.9,81.8,免费评估
17,University of Michigan-Ann Arbor,United States,95.5,93.5,72.6,75.9,81.7,免费评估
18,Johns Hopkins University,United States,89.8,90.4,76.2,72.4,81.4,免费评估
19,Michigan State University,United States,94.0,91.1,74.0,71.7,81.2,免费评估
20,University of Pennsylvania,United States,94.5,94.7,71.1,73.7,80.8,免费评估
21,Vanderbilt University,United States,94.3,93.7,75.8,49.7,80.5,免费评估
22,爱丁堡大学The University of Edinburgh,United Kingdom,86.7,89.4,74.4,78.2,80.2,免费评估
