Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,EHL - Ecole hôtelière de Lausanne,Switzerland,,88.9,100.0,100.0,99.4,免费评估
2,University of Nevada - Las Vegas,United States,,77.1,98.4,82.0,89.1,免费评估
3,Glion Institute of Higher Education,Switzerland,,,81.2,94.6,83.8,免费评估
4,SHMS - Swiss Hotel Management School,Switzerland,,,86.6,89.1,83.5,免费评估
4,Les Roches Global Hospitality Education,Switzerland,,,82.3,93.1,83.6,免费评估
5,Hotel School The Hague,Netherlands,,,79.8,86.6,79.2,免费评估
6,Hotel Institute Montreux,Switzerland,,,79.9,85.3,78.6,免费评估
7,César Ritz Colleges Switzerland,Switzerland,,,81.3,81.6,77.4,免费评估
8,Culinary Arts Academy Switzerland,Switzerland,,,73.8,76.9,71.7,免费评估
9,The Hong Kong Polytechnic University,Hong Kong SAR,,80.7,89.2,52.9,70.6,免费评估
10,IHTTI School of Hotel Management,Switzerland,,,72.8,74.8,70.2,免费评估
11,萨里大学University of Surrey,United Kingdom,,84.0,83.9,55.1,69.5,免费评估
12,Cornell University,United States,,78.0,74.9,62.1,68.7,免费评估
13,HTMi Hotel and Tourism Management Institute Switzerland,Switzerland,,,63.6,79.8,68.5,免费评估
14,牛津布鲁克斯大学Oxford Brookes University,United Kingdom,,71.9,70.0,63.5,66.8,免费评估
15,International Management Institute Switzerland,Switzerland,,,61.9,76.9,66.3,免费评估
16,伯恩茅斯大学Bournemouth University,United Kingdom,,89.6,74.6,55.3,65.7,免费评估
17,Taylor's University,Malaysia,,59.8,75.5,54.6,64.3,免费评估
19,"Vatel, Hotel and Tourism Business School",France,,,50.1,79.9,62.5,免费评估
20,Pennsylvania State University,United States,,74.5,78.7,44.4,61.3,免费评估
21,Griffith University,Australia,,73.3,76.4,44.2,60.1,免费评估
22,Virginia Polytechnic Institute and State University,United States,,95.0,76.9,41.3,60.0,免费评估
23,Breda University of Applied Sciences,Netherlands,,72.9,65.9,52.4,59.5,免费评估
24,"University College of Hospitality Management and Culinary Arts of Sant Pol de Mar, Barcelona",Spain,,,62.1,62.9,59.4,免费评估
25,University of Florida,United States,,76.3,65.2,52.3,59.3,免费评估
26,Blue Mountains International Hotel Management School (BMIHMS),Australia,,,55.3,68.4,59.1,免费评估
27,"Nanyang Technological University, Singapore (NTU)",Singapore,,68.1,58.9,57.4,58.6,免费评估
27,University of Central Florida,United States,,75.3,77.3,40.1,58.6,免费评估
29,Michigan State University,United States,,70.1,63.1,52.3,58.1,免费评估
30,Macao Institute for Tourism Studies (IFTM),Macau SAR,,72.3,62.3,52.7,58.0,免费评估
31,The University of Queensland,Australia,,76.5,74.3,40.2,57.4,免费评估
31,University of Houston,United States,,76.5,70.0,44.1,57.4,免费评估
33,Texas A&M University,United States,,64.9,70.8,43.4,56.8,免费评估
34,Florida State University,United States,,78.1,60.5,50.7,56.5,免费评估
35,Florida International University,United States,,55.5,65.5,44.8,54.7,免费评估
35,Purdue University,United States,,80.1,74.5,34.4,54.7,免费评估
37,Universidade de São Paulo,Brazil,,45.3,58.4,52.2,54.6,免费评估
37,University of Massachusetts Amherst,United States,,77.9,67.8,40.4,54.6,免费评估
39,University of South Florida,United States,,100.0,66.6,38.9,54.4,免费评估
40,Ecole Hôtelière de Genève (Geneva Hotel Management School),Switzerland,,,63.9,50.9,54.2,免费评估
40,Sejong University,South Korea,,80.4,60.7,45.7,54.2,免费评估
42,Kyung Hee University,South Korea,,79.0,61.7,44.7,54.1,免费评估
43,SAIT Polytechnic - School of Hospitality and Tourism,Canada,,,54.3,59.1,54.0,免费评估
44,EHL Swiss School of Tourism and Hospitality,Switzerland,,,54.8,58.3,53.8,免费评估
44,University of Calgary,Canada,,75.1,55.6,50.1,53.8,免费评估
46,Washington State University,United States,,88.5,65.3,39.4,53.5,免费评估
47,Zhejiang University,China (Mainland),,73.1,56.2,48.7,53.3,免费评估
48,Sun Yat-sen University,China (Mainland),,80.3,67.9,36.3,52.7,免费评估
49,La Salle Campus Barcelona - Universitat Ramon Llull,Spain,,76.5,56.7,46.3,52.5,免费评估
50,Clemson University,United States,,60.5,64.0,41.0,52.3,免费评估
50,"NKUHT, National Kaohsiung University of Hospitality and Tourism",Taiwan,,62.1,60.1,44.2,52.3,免费评估
