Ranking,University Name,Region,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,Overall score,Free
1,Harvard University,United States,100.0,97.3,100.0,100.0,99.9,免费评估
2,牛津大学University of Oxford,United Kingdom,91.1,92.5,98.9,96.5,96.7,免费评估
3,剑桥大学University of Cambridge,United Kingdom,94.8,94.3,97.1,96.5,96.4,免费评估
4,Yale University,United States,98.4,98.7,95.3,88.9,94.0,免费评估
5,Stanford University,United States,91.5,95.6,92.4,92.4,92.4,免费评估
6,The London School of Economics and Political Science (LSE),United Kingdom,91.1,93.5,90.7,87.2,89.9,免费评估
7,Columbia University,United States,92.8,93.6,90.4,83.5,88.9,免费评估
8,New York University (NYU),United States,95.2,94.7,90.1,81.9,88.6,免费评估
9,"University of California, Berkeley (UCB)",United States,87.6,91.2,90.1,84.6,88.1,免费评估
10,National University of Singapore (NUS),Singapore,74.6,83.2,87.5,90.7,86.3,免费评估
11,The University of Melbourne,Australia,76.3,86.3,89.3,86.1,86.2,免费评估
11,University of Chicago,United States,84.9,95.4,88.5,81.4,86.2,免费评估
13,The University of New South Wales (UNSW Sydney),Australia,81.7,85.7,84.5,83.7,83.9,免费评估
14,The University of Sydney,Australia,72.6,80.6,86.2,83.9,83.2,免费评估
15,伦敦大学学院University College London,United Kingdom,86.0,90.5,85.2,76.9,83.1,免费评估
16,伦敦国王学院King's College London,United Kingdom,80.3,83.6,88.8,74.0,82.8,免费评估
17,The Australian National University,Australia,84.3,89.1,81.6,81.1,82.2,免费评估
17,University of Toronto,Canada,83.0,85.6,84.2,77.9,82.2,免费评估
19,Georgetown University,United States,90.1,92.9,83.3,74.4,82.1,免费评估
20,Université Paris 1 Panthéon-Sorbonne,France,61.1,72.7,90.0,80.8,82.0,免费评估
21,The University of Tokyo,Japan,57.6,70.1,86.5,86.4,81.3,免费评估
21,The University of Hong Kong,Hong Kong SAR,70.5,79.0,85.9,79.5,81.3,免费评估
23,爱丁堡大学The University of Edinburgh,United Kingdom,83.0,88.8,83.6,74.4,81.0,免费评估
24,Leiden University,Netherlands,78.0,87.0,88.9,67.9,80.9,免费评估
25,McGill University,Canada,75.5,82.6,83.6,75.8,80.0,免费评估
26,"University of California, Los Angeles (UCLA)",United States,86.6,93.9,73.0,85.5,79.8,免费评估
27,Tsinghua University,China (Mainland),65.6,87.1,80.7,83.4,79.6,免费评估
28,Peking University,China (Mainland),59.4,72.2,83.4,83.9,79.4,免费评估
29,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,73.6,81.6,84.3,72.6,79.1,免费评估
30,University of Michigan-Ann Arbor,United States,88.2,93.5,76.9,75.0,78.9,免费评估
31,University of Pennsylvania,United States,91.1,93.5,71.8,78.8,77.9,免费评估
32,Duke University,United States,89.2,94.3,75.0,73.8,77.7,免费评估
33,Seoul National University,South Korea,57.6,74.4,80.6,81.1,77.0,免费评估
34,Universidad Nacional Autónoma de México (UNAM),Mexico,57.6,68.7,79.0,83.6,76.7,免费评估
35,KU Leuven,Belgium,82.3,87.7,79.3,67.3,76.6,免费评估
35,University of Amsterdam,Netherlands,86.6,91.0,76.4,69.5,76.6,免费评估
37,Pontificia Universidad Católica de Chile (UC),Chile,64.2,75.1,74.7,84.2,76.0,免费评估
38,Cornell University,United States,83.0,90.0,73.0,74.4,75.8,免费评估
39,Humboldt-Universität zu Berlin,Germany,70.5,87.2,82.3,65.5,75.7,免费评估
40,Monash University,Australia,79.5,84.7,70.4,80.9,75.6,免费评估
41,Ludwig-Maximilians-Universität München,Germany,62.7,78.1,84.7,66.0,75.5,免费评估
42,University of British Columbia,Canada,77.2,90.6,71.9,77.4,75.3,免费评估
43,The University of Queensland,Australia,82.3,88.7,70.4,76.5,74.9,免费评估
44,Universidad de Buenos Aires (UBA),Argentina,53.3,65.3,77.4,82.6,74.7,免费评估
45,Universidad de los Andes,Colombia,66.9,78.2,71.7,82.0,74.4,免费评估
46,Universidade de São Paulo,Brazil,64.2,70.9,73.8,80.7,74.3,免费评估
46,University of Virginia,United States,87.1,91.9,73.3,66.5,74.3,免费评估
48,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,62.7,81.1,77.8,71.6,73.8,免费评估
49,Northwestern University,United States,84.9,94.5,67.3,75.4,73.7,免费评估
50,杜伦大学Durham University,United Kingdom,70.5,86.9,72.4,74.1,73.4,免费评估
51,Renmin (People's) University of China,China (Mainland),64.2,79.0,78.3,68.0,73.1,免费评估
51,Sciences Po,France,69.4,82.7,74.6,70.7,73.1,免费评估
53,Alma Mater Studiorum - University of Bologna,Italy,65.6,74.7,75.0,72.8,72.9,免费评估
54,The University of Auckland,New Zealand,69.4,80.9,72.1,74.3,72.8,免费评估
55,Ruprecht-Karls-Universität Heidelberg,Germany,55.5,66.3,83.6,63.7,72.6,免费评估
56,Kyoto University,Japan,41.5,46.6,79.7,80.3,72.5,免费评估
57,Utrecht University,Netherlands,82.3,88.1,74.1,61.8,72.3,免费评估
58,Korea University,South Korea,68.2,83.1,68.7,78.2,72.2,免费评估
58,Sapienza University of Rome,Italy,64.2,76.0,75.1,70.8,72.2,免费评估
58,Complutense University of Madrid,Spain,61.1,71.8,72.7,76.9,72.2,免费评估
61,University of Technology Sydney,Australia,72.6,84.7,68.8,75.4,72.1,免费评估
62,"Trinity College Dublin, The University of Dublin",Ireland,64.2,84.6,71.4,74.7,72.0,免费评估
62,University Paris 2 Panthéon-Assas,France,45.1,52.0,84.8,67.3,72.0,免费评估
64,Maastricht University,Netherlands,72.6,80.3,75.3,63.8,71.7,免费评估
65,格拉斯哥大学University of Glasgow,United Kingdom,76.3,87.9,71.8,66.2,71.6,免费评估
65,Victoria University of Wellington,New Zealand,72.6,85.4,71.3,69.3,71.6,免费评估
67,Lomonosov Moscow State University,Russia,50.9,60.0,69.6,86.2,71.3,免费评估
67,Zhejiang University,China (Mainland),59.4,75.6,71.4,76.5,71.3,免费评估
69,University of Vienna,Austria,64.2,74.2,76.3,65.8,71.2,免费评估
70,City University of Hong Kong,Hong Kong SAR,66.9,81.9,73.3,67.7,71.1,免费评估
70,Shanghai Jiao Tong University,China (Mainland),66.9,83.0,67.0,78.0,71.1,免费评估
70,Waseda University,Japan,41.5,46.6,76.8,80.4,71.1,免费评估
73,University of Copenhagen,Denmark,81.7,88.7,70.4,63.6,71.0,免费评估
74,National Taiwan University (NTU),Taiwan,50.9,57.4,76.4,74.1,70.9,免费评估
75,George Washington University,United States,83.6,88.6,68.0,65.6,70.7,免费评估
76,O.P. Jindal Global University,India,45.1,57.6,73.5,80.3,70.5,免费评估
76,布里斯托大学University of Bristol,United Kingdom,72.6,82.3,67.9,71.8,70.5,免费评估
76,University of Geneva,Switzerland,62.7,75.6,76.8,63.1,70.5,免费评估
79,曼彻斯特大学The University of Manchester,United Kingdom,81.7,90.2,62.9,74.0,70.4,免费评估
80,Universidad Carlos III de Madrid (UC3M),Spain,68.2,73.9,67.1,76.1,70.3,免费评估
81,University College Dublin,Ireland,70.5,88.5,68.2,70.3,70.2,免费评估
82,Tilburg University,Netherlands,81.7,87.7,68.1,64.7,70.1,免费评估
83,University of Oslo,Norway,79.5,87.3,74.5,54.4,69.9,免费评估
84,Universidad de Chile,Chile,59.4,72.3,67.3,78.5,69.7,免费评估
