Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,84.9,87.3,100.0,99.0,99.5,94.6,免费评估
2,哈佛大学Harvard University,United States,85.6,79.5,96.0,98.1,39.8,91.3,免费评估
3,剑桥大学University of Cambridge,United Kingdom,78.5,85.8,99.8,98.2,41.3,91.0,免费评估
4,帝国理工学院Imperial College London,United Kingdom,83.8,93.6,89.8,97.3,53.3,90.2,免费评估
5,"加州大学伯克利分校University of California,Berkeley",United States,79.9,66.5,94.5,98.9,52.9,89.0,免费评估
6,伦敦大学学院University College London,United Kingdom,80.8,91.6,96.9,90.2,49.3,88.6,免费评估
7,斯坦福大学Stanford University,United States,86.7,55.4,91.1,97.0,51.8,88.4,免费评估
8,约翰霍普金斯大学Johns Hopkins University,United States,84.3,67.9,88.6,95.8,74.6,88.1,免费评估
9,哥伦比亚大学Columbia University,United States,85.3,70.9,84.7,95.8,44.8,86.8,免费评估
10,Karolinska Institute,Sweden,81.6,79.8,95.0,86.4,58.5,86.3,免费评估
11,杜克大学Duke University,United States,82.0,44.8,85.3,97.3,96.7,86.0,免费评估
12,"加州大学洛杉矶分校University of California,Los Angeles",United States,88.0,48.2,87.6,93.6,45.8,85.9,免费评估
13,墨尔本大学The University of Melbourne,Australia,80.7,84.0,90.9,85.0,90.3,85.5,免费评估
14,多伦多大学University of Toronto,Canada,85.5,68.0,95.7,81.5,64.6,85.1,免费评估
15,宾夕法尼亚大学University of Pennsylvania,United States,85.7,33.3,86.4,96.3,52.2,85.0,免费评估
16,伦敦大学国王学院King's College London,United Kingdom,77.3,91.6,88.4,88.9,43.6,84.7,免费评估
17,康奈尔大学Cornell University,United States,82.1,51.9,87.2,93.8,42.3,84.4,免费评估
17,耶鲁大学Yale University,United States,84.3,61.8,85.3,91.1,44.4,84.4,免费评估
19,"西雅图华盛顿大学University of Washington,Seattle Campus",United States,79.9,42.1,86.3,96.5,51.1,84.0,免费评估
20,爱丁堡大学The University of Edinburgh,United Kingdom,74.2,80.9,79.6,97.5,39.4,83.5,免费评估
21,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,83.8,44.4,81.6,90.0,41.8,81.5,免费评估
22,圣路易斯华盛顿大学Washington University in St Louis,United States,76.1,30.0,80.0,97.9,38.4,80.5,免费评估
23,麦吉尔大学McGill University,Canada,81.5,72.4,85.4,78.9,42.7,80.1,免费评估
24,芝加哥大学The University of Chicago,United States,74.0,40.6,77.4,94.9,43.4,79.1,免费评估
25,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,United States,79.7,40.4,74.4,91.7,42.7,78.7,免费评估
26,波士顿大学Boston University,United States,75.6,55.2,70.6,94.4,38.8,78.5,免费评估
27,麦克马斯特大学McMaster University,Canada,74.1,70.8,72.5,86.7,73.8,77.9,免费评估
28,Heidelberg University,Germany,75.8,63.5,74.3,85.1,63.0,77.5,免费评估
29,"加利福尼亚大学圣地亚哥分校University of California,San Diego",United States,64.4,35.5,73.2,97.2,60.7,76.1,免费评估
29,西北大学Northwestern University,United States,71.4,40.8,70.1,90.2,99.8,76.1,免费评估
31,National University of Singapore,Singapore,72.4,94.5,84.0,69.9,43.7,75.7,免费评估
32,英属哥伦比亚大学University of British Columbia,Canada,59.9,79.1,73.0,89.4,46.1,75.0,免费评估
32,LMU Munich,Germany,67.9,72.0,78.9,76.3,100.0,75.0,免费评估
34,University of Tokyo,Japan,83.7,27.1,90.5,67.1,35.7,74.4,免费评估
35,悉尼大学The University of Sydney,Australia,61.7,80.5,72.2,84.9,66.1,74.3,免费评估
36,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States,66.1,33.3,71.4,91.1,40.8,73.3,免费评估
37,KU Leuven,Belgium,47.3,71.6,74.3,90.8,99.9,73.1,免费评估
38,纽约大学New York University,United States,71.8,47.9,65.9,86.8,36.6,72.9,免费评估
39,University of Hong Kong,Hong Kong,68.1,98.1,80.4,65.9,53.7,72.7,免费评估
40,埃默里大学Emory University,United States,62.1,44.3,62.6,95.3,43.8,72.2,免费评估
41,蒙纳什大学Monash University,Australia,59.8,72.5,72.5,80.0,91.8,72.1,免费评估
42,Erasmus University Rotterdam,Netherlands,52.1,58.9,72.9,90.3,56.6,71.9,免费评估
43,昆士兰大学The University of Queensland,Australia,53.8,84.4,64.5,82.0,66.9,69.2,免费评估
44,范德堡大学Vanderbilt University,United States,60.8,24.6,55.6,95.9,51.4,68.8,免费评估
45,凯斯西储大学Case Western Reserve University,United States,63.6,32.8,70.0,80.9,39.1,68.6,免费评估
46,曼彻斯特大学The University of Manchester,United Kingdom,50.4,72.4,64.4,84.0,53.5,67.8,免费评估
47,格拉斯哥大学University of Glasgow,United Kingdom,44.8,83.6,51.3,95.8,50.8,67.5,免费评估
48,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,60.8,28.8,69.8,76.7,100.0,67.4,免费评估
49,Uppsala University,Sweden,47.2,65.2,67.1,84.4,44.8,67.0,免费评估
50,南加州大学University of Southern California,United States,54.5,54.0,62.0,83.6,46.3,66.6,免费评估
51,蒙特利尔大学University of Montreal,Canada,53.8,75.1,59.3,78.3,86.9,66.3,免费评估
52,Seoul National University,"Korea, Republic of",75.3,21.7,85.0,51.2,92.4,66.0,免费评估
52,Utrecht University,Netherlands,49.3,56.1,67.9,79.1,74.8,66.0,免费评估
54,Leiden University,Netherlands,52.2,61.0,64.1,79.3,62.3,65.9,免费评估
55,University of Amsterdam,Netherlands,52.1,59.0,59.9,82.2,67.2,65.7,免费评估
56,Technical University of Munich,Germany,53.5,60.6,58.4,79.1,100.0,65.5,免费评估
57,塔夫茨大学Tufts University,United States,53.4,59.3,48.7,88.4,72.2,65.3,免费评估
