Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,麻省理工学院Massachusetts Institute of Technology,United States,89.3,67.7,91.8,99.7,98.9,91.4,免费评估
2,斯坦福大学Stanford University,United States,91.7,68.1,91.3,92.2,69.6,89.4,免费评估
3,牛津大学University of Oxford,United Kingdom,89.0,88.8,96.9,77.6,92.0,88.9,免费评估
4,芝加哥大学The University of Chicago,United States,89.3,60.1,87.5,98.2,32.6,87.4,免费评估
5,哈佛大学Harvard University,United States,87.2,52.4,89.1,97.5,32.6,86.5,免费评估
6,西北大学Northwestern University,United States,88.0,52.4,88.5,90.5,35.5,84.9,免费评估
7,剑桥大学University of Cambridge,United Kingdom,90.8,92.2,91.7,70.1,35.5,84.7,免费评估
8,"加州大学伯克利分校University of California,Berkeley",United States,79.3,47.6,91.6,94.9,40.1,84.0,免费评估
9,宾夕法尼亚大学University of Pennsylvania,United States,84.6,47.3,87.6,90.4,33.7,83.0,免费评估
10,哥伦比亚大学Columbia University,United States,85.4,62.6,81.8,89.6,44.7,82.6,免费评估
11,Tilburg University,Netherlands,74.3,74.1,89.3,70.1,99.9,78.8,免费评估
12,康奈尔大学Cornell University,United States,79.6,36.8,86.3,84.5,32.5,78.7,免费评估
13,National University of Singapore,Singapore,80.5,77.0,88.6,65.2,35.6,78.0,免费评估
14,Hong Kong University of Science and Technology,Hong Kong,63.9,88.4,89.0,80.0,54.8,77.7,免费评估
15,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,76.5,33.6,89.5,77.6,62.7,77.5,免费评估
16,卡内基梅隆大学Carnegie Mellon University,United States,70.9,41.4,84.0,91.8,32.6,77.3,免费评估
17,Erasmus University Rotterdam,Netherlands,70.1,73.6,90.3,71.3,44.9,76.7,免费评估
18,Peking University,China,83.8,56.9,80.9,64.4,100.0,76.4,免费评估
19,英属哥伦比亚大学University of British Columbia,Canada,68.2,84.4,79.5,83.1,33.6,76.0,免费评估
20,华威大学The University of Warwick,United Kingdom,76.0,90.8,75.6,75.6,35.5,75.9,免费评估
21,多伦多大学University of Toronto,Canada,70.7,84.7,79.4,77.8,32.5,75.5,免费评估
22,曼彻斯特大学The University of Manchester,United Kingdom,76.4,82.2,79.8,67.2,33.0,74.6,免费评估
23,"加利福尼亚大学圣地亚哥分校University of California,San Diego",United States,69.8,32.8,70.7,92.9,66.1,73.1,免费评估
23,University of Mannheim,Germany,67.7,47.1,83.8,70.7,100.0,73.1,免费评估
25,Bocconi University,Italy,74.1,49.5,69.9,84.0,59.2,73.0,免费评估
26,宾州州立大学Pennsylvania State University,United States,70.7,40.5,84.5,68.4,67.1,72.3,免费评估
