Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,哈佛大学Harvard University,United States,93.5,82.2,100.0,99.3,100.0,96.7,免费评估
2,剑桥大学University of Cambridge,United Kingdom,92.9,90.4,98.6,96.6,36.5,94.2,免费评估
3,牛津大学University of Oxford,United Kingdom,91.6,88.8,99.4,95.4,52.8,94.0,免费评估
4,斯坦福大学Stanford University,United States,91.8,63.7,93.7,99.8,77.7,92.7,免费评估
5,麻省理工学院Massachusetts Institute of Technology,United States,87.3,73.6,89.5,100.0,66.3,90.9,免费评估
6,加利福尼亚理工学院California Institute of Technology,United States,91.2,49.4,90.9,99.9,77.0,90.8,免费评估
7,耶鲁大学Yale University,United States,88.7,70.6,93.0,94.8,79.5,90.5,免费评估
8,普林斯顿大学Princeton University,United States,86.4,63.8,89.0,99.7,68.7,89.7,免费评估
9,帝国理工学院Imperial College London,United Kingdom,81.4,97.4,94.0,90.1,39.9,88.1,免费评估
10,"加州大学伯克利分校University of California,Berkeley",United States,84.4,48.7,90.1,99.2,36.0,87.3,免费评估
11,约翰霍普金斯大学Johns Hopkins University,United States,83.9,76.0,86.9,91.7,62.0,86.4,免费评估
12,伦敦大学学院University College London,United Kingdom,81.1,94.2,93.8,86.6,32.9,86.3,免费评估
13,芝加哥大学The University of Chicago,United States,79.8,69.0,86.4,98.0,29.1,86.0,免费评估
14,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,81.0,97.9,86.6,88.1,47.4,85.5,免费评估
15,哥伦比亚大学Columbia University,United States,80.5,74.9,78.7,98.3,42.9,85.0,免费评估
16,Wageningen University & Research,Netherlands,80.0,76.7,85.8,86.5,100.0,84.2,免费评估
17,康奈尔大学Cornell University,United States,80.0,51.0,92.7,90.3,35.2,83.9,免费评估
18,"加州大学洛杉矶分校University of California,Los Angeles",United States,73.1,48.8,86.7,96.6,60.8,83.0,免费评估
18,杜克大学Duke University,United States,75.5,56.6,84.1,92.5,97.4,83.0,免费评估
20,宾夕法尼亚大学University of Pennsylvania,United States,80.7,41.8,85.2,93.8,40.9,82.7,免费评估
21,爱丁堡大学The University of Edinburgh,United Kingdom,73.7,88.6,83.9,90.6,32.7,82.6,免费评估
22,多伦多大学University of Toronto,Canada,73.4,74.9,87.9,83.6,72.0,81.1,免费评估
23,Karolinska Institute,Sweden,69.0,75.9,92.0,83.5,71.4,81.0,免费评估
24,"加利福尼亚大学圣地亚哥分校University of California,San Diego",United States,67.7,38.6,85.1,96.3,67.7,80.4,免费评估
25,英属哥伦比亚大学University of British Columbia,Canada,72.5,91.1,83.9,83.2,31.3,79.8,免费评估
26,Peking University,China,81.2,43.9,86.2,78.8,100.0,79.5,免费评估
27,"加州大学戴维斯分校University of California,Davis",United States,78.8,61.4,89.1,75.3,58.6,78.6,免费评估
28,"密歇根大学安娜堡分校University of Michigan,Ann Arbor",United States,64.3,59.0,79.0,93.3,50.0,77.8,免费评估
29,National University of Singapore,Singapore,75.8,95.6,80.8,71.6,42.7,76.4,免费评估
30,Heidelberg University,Germany,71.8,66.7,79.7,79.7,32.5,75.4,免费评估
31,伦敦大学国王学院King's College London,United Kingdom,58.3,89.6,68.3,92.1,47.5,75.0,免费评估
32,昆士兰大学The University of Queensland,Australia,55.8,86.4,74.8,84.9,71.6,73.9,免费评估
33,麦吉尔大学McGill University,Canada,68.5,84.8,71.9,78.0,39.8,73.3,免费评估
33,威斯康星大学-麦迪逊分校University of Wisconsin-Madison,United States,66.4,37.9,76.5,84.1,65.7,73.3,免费评估
35,École Polytechnique Fédérale de Lausanne,Switzerland,51.5,97.8,54.4,97.2,72.7,72.4,免费评估
36,LMU Munich,Germany,64.8,64.6,61.7,87.1,61.2,71.7,免费评估
37,墨尔本大学The University of Melbourne,Australia,61.8,81.4,63.5,83.7,51.7,71.2,免费评估
38,University of Tokyo,Japan,87.1,32.0,82.6,59.4,43.3,71.0,免费评估
39,澳大利亚国立大学The Australian National University,Australia,48.9,89.7,60.4,90.6,92.4,70.8,免费评估
40,Uppsala University,Sweden,57.6,61.6,65.9,82.5,31.2,68.3,免费评估
41,Utrecht University,Netherlands,51.7,52.9,60.8,89.2,64.5,67.8,免费评估
42,Lund University,Sweden,51.4,89.8,62.9,80.1,55.8,67.7,免费评估
43,Kyoto University,Japan,80.6,27.4,80.4,54.5,76.5,67.4,免费评估
44,Technical University of Munich,Germany,54.5,58.2,63.3,79.0,97.5,66.9,免费评估
45,波士顿大学Boston University,United States,49.9,51.7,50.1,97.7,29.1,66.3,免费评估
45,Ghent University,Belgium,54.2,69.3,57.2,79.9,97.9,66.3,免费评估
47,KU Leuven,Belgium,54.9,69.7,55.6,79.5,100.0,66.0,免费评估
47,密歇根州立大学Michigan State University,United States,58.6,55.8,66.1,76.0,36.0,66.0,免费评估
49,Stockholm University,Sweden,43.6,89.3,45.5,96.4,34.0,65.8,免费评估
50,西北大学Northwestern University,United States,48.4,54.2,57.8,89.4,44.2,65.7,免费评估
51,University of Göttingen,Germany,61.6,62.6,58.2,76.1,32.6,65.1,免费评估
52,Humboldt University of Berlin,Germany,59.2,64.5,49.0,83.9,39.5,65.0,免费评估
53,曼彻斯特大学The University of Manchester,United Kingdom,50.1,82.5,56.0,80.3,40.3,64.5,免费评估
53,宾州州立大学Pennsylvania State University,United States,51.0,45.4,56.6,86.5,47.1,64.5,免费评估
55,University of Geneva,Switzerland,36.6,98.4,43.7,92.5,97.4,64.3,免费评估
56,"加利福尼亚大学圣塔芭芭拉分校University of California, Santa Barbara",United States,35.9,45.7,51.0,98.2,100.0,64.2,免费评估
56,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,48.1,31.4,66.9,79.1,99.6,64.2,免费评估
58,赫尔大学University of Hull,Finland,56.2,55.2,61.3,76.6,31.7,64.1,免费评估
59,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,United States,39.2,44.4,55.9,95.4,37.4,63.8,免费评估
60,悉尼大学The University of Sydney,Australia,52.4,75.4,61.9,69.5,89.5,63.7,免费评估
61,University of Hong Kong,Hong Kong,55.6,98.6,60.0,66.5,40.6,63.5,免费评估
62,邓迪大学University of Dundee,United Kingdom,32.7,86.5,44.0,95.5,79.3,63.0,免费评估
62,格拉斯哥大学University of Glasgow,United Kingdom,43.6,85.6,50.7,85.1,32.3,63.0,免费评估
62,University of Lausanne,Switzerland,34.9,97.1,45.3,89.2,98.4,63.0,免费评估
65,University of Zurich,Switzerland,47.2,98.0,44.9,83.5,35.8,62.9,免费评估
66,布里斯托大学University of Bristol,United Kingdom,47.7,66.3,48.5,86.1,31.9,62.4,免费评估
67,西澳大学The University of Western Australia,Australia,40.3,94.3,44.1,87.3,53.4,62.2,免费评估
68,University of Amsterdam,Netherlands,43.3,59.6,53.8,85.1,43.9,62.1,免费评估
69,埃默里大学Emory University,United States,47.9,52.3,51.9,83.6,47.9,61.9,免费评估
69,Pierre and Marie Curie University,France,56.7,69.9,38.6,84.5,33.0,61.9,免费评估
71,University of Bonn,Germany,46.1,64.1,43.6,88.7,34.6,61.4,免费评估
72,科罗拉多大学波尔得分校University of Colorado Boulder,United States,37.8,29.4,47.5,98.3,32.3,60.9,免费评估
73,University of Groningen,Netherlands,41.5,67.1,54.4,78.8,74.0,60.8,免费评估
74,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,47.9,39.6,65.7,71.5,54.4,60.6,免费评估
75,Osaka University,Japan,59.0,27.1,66.2,62.6,80.6,60.5,免费评估
76,德克萨斯大学奥斯汀分校The University of Texas at Austin,United States,41.8,33.7,49.0,90.3,50.0,60.4,免费评估
77,University of Tübingen,Germany,42.5,58.2,61.6,75.0,38.2,60.2,免费评估
78,圣安德鲁斯大学University of St Andrews,United Kingdom,40.3,91.1,46.4,79.9,33.5,59.5,免费评估
79,马里兰大学University of Maryland-College Park,United States,38.3,32.3,44.3,94.9,33.6,59.2,免费评估
79,Trinity College Dublin,Ireland,40.5,89.8,29.1,93.0,29.1,59.2,免费评估
79,约克大学University of York,United Kingdom,35.7,85.2,37.7,90.2,40.9,59.2,免费评估
82,阿伯丁大学University of Aberdeen,United Kingdom,45.1,91.3,31.4,85.1,50.3,59.0,免费评估
82,普渡大学Purdue University,United States,47.8,66.6,58.6,66.1,62.4,59.0,免费评估
84,University of Freiburg,Germany,43.9,66.0,43.3,77.6,100.0,58.6,免费评估
