Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,82.9,88.5,98.7,92.7,93.0,91.4,免费评估
2,Harvard University,United States,89.5,76.5,98.7,87.4,47.1,89.3,免费评估
3,剑桥大学University of Cambridge,United Kingdom,78.3,86.6,99.1,88.5,46.5,87.4,免费评估
4,帝国理工学院Imperial College London,United Kingdom,81.6,92.8,90.5,87.8,52.3,86.3,免费评估
5,Stanford University,United States,86.0,58.4,89.3,92.1,49.8,86.1,免费评估
6,Johns Hopkins University,United States,84.8,67.5,89.8,85.2,63.9,84.5,免费评估
7,"University of California, Berkeley",United States,80.2,58.0,90.5,89.2,56.1,83.9,免费评估
8,伦敦大学学院University College London,United Kingdom,80.7,93.3,89.5,80.9,47.9,83.3,免费评估
9,Columbia University,United States,84.3,65.4,84.4,85.6,43.5,82.4,免费评估
9,University of Melbourne,Australia,82.0,91.3,88.1,76.7,77.3,82.4,免费评估
11,Yale University,United States,85.7,57.0,88.4,81.6,49.1,81.9,免费评估
12,"University of California, Los Angeles",United States,88.8,52.0,84.4,83.0,48.5,81.8,免费评估
13,University of Toronto,Canada,85.2,68.7,94.1,73.2,57.4,81.5,免费评估
14,Karolinska Institute,Sweden,79.0,82.4,93.4,75.6,51.7,81.4,免费评估
15,University of Pennsylvania,United States,83.7,46.6,85.1,85.5,58.3,81.3,免费评估
16,Duke University,United States,82.9,42.8,84.5,84.9,76.8,80.9,免费评估
17,伦敦国王学院King's College London,United Kingdom,76.4,91.2,85.2,79.7,47.1,80.4,免费评估
18,University of Washington,United States,79.8,45.2,84.4,86.4,47.7,80.0,免费评估
19,爱丁堡大学The University of Edinburgh,United Kingdom,70.4,85.3,77.2,89.8,43.7,79.5,免费评估
20,"University of California, San Diego",United States,74.8,41.6,84.1,85.7,78.3,78.8,免费评估
20,Washington University in St Louis,United States,76.7,43.3,80.5,89.1,44.0,78.8,免费评估
22,University of Chicago,United States,81.6,45.8,79.7,84.5,46.6,78.5,免费评估
23,McMaster University,Canada,70.1,71.6,72.6,86.9,97.2,77.4,免费评估
24,University of Michigan-Ann Arbor,United States,82.3,44.4,82.2,78.9,44.9,77.3,免费评估
25,McGill University,Canada,75.8,74.1,82.1,71.3,41.5,75.0,免费评估
26,National University of Singapore,Singapore,81.7,90.6,84.9,59.4,47.3,74.6,免费评估
27,University of North Carolina at Chapel Hill,United States,76.2,38.0,76.5,81.0,44.8,74.3,免费评估
28,Heidelberg University,Germany,73.6,64.1,68.8,81.5,52.4,73.8,免费评估
29,University of Hong Kong,Hong Kong,77.3,98.7,79.0,62.8,51.1,73.6,免费评估
30,University of British Columbia,Canada,67.9,79.6,75.6,76.0,47.3,73.2,免费评估
30,ETH Zurich,Switzerland,67.0,94.6,77.9,71.2,53.6,73.2,免费评估
32,Emory University,United States,70.5,46.7,66.8,86.4,44.9,72.6,免费评估
33,University of Sydney,Australia,62.9,80.7,74.9,77.1,64.2,72.5,免费评估
34,The University of Tokyo,Japan,83.9,28.4,89.2,60.4,58.5,72.3,免费评估
35,Tsinghua University,China,81.1,51.6,81.1,61.0,82.8,71.9,免费评估
36,Kyoto University,Japan,80.2,25.5,85.9,60.8,97.3,71.3,免费评估
37,Northwestern University,United States,60.6,46.4,70.8,82.5,83.1,70.6,免费评估
38,Erasmus University Rotterdam,Netherlands,59.0,61.3,69.1,82.4,50.1,69.9,免费评估
39,KU Leuven,Belgium,54.8,72.9,66.0,81.3,97.0,69.6,免费评估
40,LMU Munich,Germany,66.5,69.2,68.6,70.2,100.0,69.4,免费评估
41,Sungkyunkwan University (SKKU),South Korea,73.4,22.7,87.1,57.5,97.3,68.4,免费评估
42,New York University,United States,73.1,49.3,59.7,77.1,42.5,68.3,免费评估
43,Boston University,United States,61.2,60.7,57.9,82.8,43.1,67.4,免费评估
44,Brown University,United States,63.7,44.6,64.2,77.7,43.5,66.8,免费评估
45,Monash University,Australia,59.3,72.8,64.9,72.9,63.2,66.7,免费评估
46,Charité - Universitätsmedizin Berlin,Germany,61.7,66.0,62.8,72.8,59.4,66.2,免费评估
47,University of Pittsburgh-Pittsburgh campus,United States,60.3,34.9,60.1,82.3,43.4,65.6,免费评估
48,Technical University of Munich,Germany,52.2,64.0,59.5,78.0,99.6,65.3,免费评估
49,Chinese University of Hong Kong,Hong Kong,55.7,97.7,67.7,64.3,53.7,65.1,免费评估
49,Seoul National University,South Korea,69.9,22.7,78.4,59.3,60.7,64.8,免费评估
51,格拉斯哥大学University of Glasgow,United Kingdom,41.7,84.0,52.0,88.5,48.8,64.2,免费评估
51,Peking University,China,85.5,33.7,84.1,39.8,43.6,64.2,免费评估
53,Vanderbilt University,United States,54.5,32.4,59.2,82.9,46.9,63.9,免费评估
54,曼彻斯特大学The University of Manchester,United Kingdom,46.5,75.6,56.1,78.0,48.4,62.4,免费评估
55,University of Amsterdam,Netherlands,47.2,61.0,60.8,75.3,53.5,62.0,免费评估
55,Sorbonne University,France,64.6,51.0,52.1,71.4,43.7,62.0,免费评估
57,Australian National University,Australia,42.2,89.4,48.6,81.0,64.5,61.7,免费评估
58,University of Montreal,Canada,50.9,73.8,52.3,73.8,74.9,61.6,免费评估
59,National Taiwan University,Taiwan,66.0,28.9,64.6,62.4,50.7,61.2,免费评估
60,Leiden University,Netherlands,49.5,58.1,60.0,69.8,81.6,60.9,免费评估
61,布里斯托大学University of Bristol,United Kingdom,39.6,72.3,42.3,89.7,43.1,60.4,免费评估
62,Fudan University,China,69.1,36.2,74.4,47.8,54.3,60.3,免费评估
62,利物浦大学The University of Liverpool,United Kingdom,44.7,73.5,46.7,81.5,45.0,60.3,免费评估
62,University of Queensland,Australia,41.6,89.7,56.6,71.8,57.1,60.3,免费评估
65,Utrecht University,Netherlands,50.3,59.7,58.6,69.1,52.7,59.9,免费评估
66,University of Wisconsin-Madison,United States,63.7,28.7,55.8,67.4,45.5,59.8,免费评估
67,伦敦大学玛丽女王学院Queen Mary University of London,United Kingdom,32.1,93.5,36.2,93.2,49.1,59.7,免费评估
68,Autonomous University of Barcelona,Spain,46.8,50.0,43.9,83.6,46.3,59.1,免费评估
69,Ohio State University (Main campus),United States,56.2,47.3,47.8,72.9,48.9,58.9,免费评估
70,Dartmouth College,United States,47.4,35.6,41.5,85.5,46.8,58.2,免费评估
71,University of Alberta,Canada,54.8,76.1,48.9,64.4,54.1,58.1,免费评估
72,University of Cape Town,South Africa,37.3,81.3,37.6,82.8,86.0,57.8,免费评估
73,Uppsala University,Sweden,42.3,62.4,44.0,78.8,70.0,57.7,免费评估
73,University of Zurich,Switzerland,48.8,90.7,45.5,67.2,57.1,57.7,免费评估
75,University of Texas at Austin,United States,46.2,45.9,49.4,74.4,64.1,57.3,免费评估
76,University of Copenhagen,Denmark,45.7,82.5,44.1,71.4,46.2,57.0,免费评估
77,University of Southern California,United States,45.2,66.0,48.3,70.6,45.9,56.5,免费评估
78,University of Groningen,Netherlands,38.6,59.9,46.5,75.0,85.3,56.3,免费评估
79,University of Minnesota,United States,57.8,32.2,50.8,63.6,68.1,56.2,免费评估
79,Tufts University,United States,48.3,58.4,37.6,77.4,44.2,56.2,免费评估
81,莱斯特大学University of Leicester,United Kingdom,28.2,75.4,31.3,94.3,44.7,56.1,免费评估
81,Maastricht University,Netherlands,49.9,84.3,47.1,61.8,57.3,56.1,免费评估
83,University of the Witwatersrand,South Africa,28.6,81.9,35.8,84.5,100.0,55.9,免费评估
84,University of Tübingen,Germany,45.5,65.5,49.1,66.6,62.9,55.8,免费评估
85,University of Alabama at Birmingham,United States,39.4,38.0,40.6,82.6,60.5,55.3,免费评估
