Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
1,牛津大学University of Oxford,United Kingdom,93.9,95.2,91.0,99.0,46.8,92.2,免费评估
2,ETH Zurich,Switzerland,86.8,94.7,93.1,98.8,49.2,90.7,免费评估
3,Stanford University,United States,87.4,69.2,94.9,100.0,61.6,90.5,免费评估
4,剑桥大学University of Cambridge,United Kingdom,89.4,88.8,93.1,92.6,49.9,89.4,免费评估
5,Massachusetts Institute of Technology,United States,85.2,73.8,92.3,99.6,56.5,89.0,免费评估
6,Carnegie Mellon University,United States,86.5,73.7,91.9,99.6,49.9,88.9,免费评估
7,Georgia Institute of Technology,United States,83.9,63.0,98.6,91.8,49.8,87.2,免费评估
8,Princeton University,United States,86.0,63.7,88.6,100.0,46.5,87.0,免费评估
9,Harvard University,United States,82.8,70.1,92.2,95.8,47.5,86.5,免费评估
10,California Institute of Technology,United States,82.1,53.3,94.6,95.7,61.4,86.4,免费评估
11,帝国理工学院Imperial College London,United Kingdom,86.5,95.4,83.6,93.1,48.6,86.2,免费评估
12,"University of California, Los Angeles",United States,79.4,75.1,90.2,98.0,47.3,85.9,免费评估
13,École Polytechnique Fédérale de Lausanne,Switzerland,84.9,97.3,88.1,87.3,46.6,85.5,免费评估
14,Cornell University,United States,82.9,61.5,87.1,99.7,46.6,85.3,免费评估
15,National University of Singapore,Singapore,82.9,96.1,88.1,86.1,51.7,84.7,免费评估
16,Yale University,United States,84.5,60.5,83.8,93.5,46.6,83.1,免费评估
17,爱丁堡大学The University of Edinburgh,United Kingdom,78.7,95.1,76.9,94.2,46.3,82.0,免费评估
18,University of Texas at Austin,United States,73.8,35.3,90.1,99.5,54.5,81.9,免费评估
18,University of Toronto,Canada,74.8,76.0,81.4,98.3,45.9,81.9,免费评估
20,Tsinghua University,China,90.5,31.1,89.4,81.0,61.7,81.7,免费评估
20,Columbia University,United States,80.4,72.6,75.4,97.8,48.1,81.5,免费评估
22,University of Washington,United States,76.8,55.7,81.2,98.7,47.5,81.1,免费评估
23,伦敦大学学院University College London,United Kingdom,76.3,95.5,76.7,92.2,47.3,80.8,免费评估
24,New York University,United States,65.3,83.5,82.5,100.0,51.2,80.7,免费评估
25,University of Illinois at Urbana-Champaign,United States,79.9,50.6,81.8,94.3,46.6,80.5,免费评估
26,Technical University of Munich,Germany,76.2,57.3,82.8,89.3,59.1,79.5,免费评估
27,University of Michigan-Ann Arbor,United States,63.5,47.9,90.0,97.2,51.6,78.9,免费评估
28,The Hong Kong University of Science and Technology,Hong Kong,59.2,94.8,79.3,98.8,54.9,78.6,免费评估
29,"Nanyang Technological University, Singapore",Singapore,63.4,93.0,82.1,87.2,56.6,77.4,免费评估
30,"University of California, San Diego",United States,60.0,59.9,78.4,98.9,60.3,76.2,免费评估
31,Johns Hopkins University,United States,69.2,65.7,70.7,97.6,46.9,76.1,免费评估
32,Peking University,China,83.1,30.5,79.6,79.5,48.9,75.4,免费评估
33,University of Pennsylvania,United States,61.9,69.5,76.7,91.6,49.8,74.4,免费评估
34,University of Montreal,Canada,52.7,85.9,75.9,96.7,49.2,74.1,免费评估
35,University of British Columbia,Canada,60.1,88.3,66.2,95.2,46.0,73.0,免费评估
36,University of Southern California,United States,58.5,66.0,70.8,96.8,47.0,72.7,免费评估
37,Chinese University of Hong Kong,Hong Kong,58.5,97.0,59.8,98.9,50.4,72.5,免费评估
38,Paris Sciences et Lettres – PSL Research University Paris,France,67.8,81.6,64.3,83.9,46.3,71.1,免费评估
39,University of Wisconsin-Madison,United States,54.6,60.5,67.7,99.8,47.3,71.0,免费评估
40,The University of Tokyo,Japan,86.8,23.4,87.0,44.4,56.5,68.9,免费评估
41,University of Waterloo,Canada,52.7,78.4,71.1,83.9,46.9,68.4,免费评估
42,Karlsruhe Institute of Technology,Germany,63.4,43.0,64.1,87.5,48.5,68.0,免费评估
43,University of Chicago,United States,49.7,68.8,63.1,96.3,45.9,67.8,免费评估
44,"University of Maryland, College Park",United States,55.8,34.0,66.9,94.0,47.1,67.6,免费评估
45,Zhejiang University,China,62.9,58.5,74.9,60.5,100.0,67.3,免费评估
46,University of Hong Kong,Hong Kong,57.4,99.5,66.6,72.2,46.1,66.8,免费评估
47,RWTH Aachen University,Germany,62.9,44.0,66.4,76.5,54.6,65.9,免费评估
48,LMU Munich,Germany,56.1,48.8,65.9,80.5,54.0,65.1,免费评估
49,Shanghai Jiao Tong University,China,65.4,42.9,71.1,65.4,57.2,65.0,免费评估
50,Seoul National University,South Korea,66.1,30.5,68.7,67.4,59.9,64.3,免费评估
51,"University of California, Santa Barbara",United States,37.9,72.2,63.7,93.5,51.6,64.2,免费评估
52,University of Melbourne,Australia,59.8,91.1,44.8,82.7,48.5,63.4,免费评估
53,Korea Advanced Institute of Science and Technology (KAIST),South Korea,64.1,29.7,75.7,59.2,56.6,63.2,免费评估
54,KTH Royal Institute of Technology,Sweden,49.8,73.3,51.6,90.3,46.4,63.0,免费评估
55,"University of California, Irvine",United States,51.8,67.1,48.5,91.1,48.0,62.6,免费评估
56,Delft University of Technology,Netherlands,50.9,76.7,58.7,75.5,57.0,62.3,免费评估
57,University of Science and Technology of China,China,60.4,32.5,57.6,79.5,48.9,62.2,免费评估
57,Rice University,United States,44.0,66.1,49.0,97.7,46.6,62.1,免费评估
59,Brown University,United States,52.5,52.1,44.8,95.5,45.9,61.7,免费评估
60,National Taiwan University,Taiwan,74.3,26.4,72.1,40.7,55.7,59.9,免费评估
61,École Polytechnique,France,70.0,75.0,38.8,68.9,49.0,59.6,免费评估
62,Kyoto University,Japan,74.2,27.8,71.3,39.8,51.0,59.2,免费评估
63,曼彻斯特大学The University of Manchester,United Kingdom,56.8,84.8,51.8,64.9,46.7,59.1,免费评估
64,Technion Israel Institute of Technology,Israel,43.4,51.4,59.3,79.6,46.9,58.9,免费评估
65,University of Massachusetts,United States,37.5,57.5,47.5,96.3,49.2,58.8,免费评估
66,KU Leuven,Belgium,43.6,60.8,48.3,85.6,56.7,58.5,免费评估
67,Technical University of Darmstadt,Germany,43.0,61.8,50.0,84.6,49.9,58.3,免费评估
68,Nanjing University,China,57.5,54.1,55.7,63.4,53.0,58.1,免费评估
69,University of Freiburg,Germany,32.2,55.8,40.9,98.8,90.9,57.8,免费评估
70,Technical University of Berlin,Germany,43.0,60.2,56.2,72.2,71.1,57.7,免费评估
71,ITMO University,Russian Federation,57.8,42.5,40.9,78.8,51.5,57.1,免费评估
72,Duke University,United States,39.5,70.2,45.6,86.1,48.2,56.9,免费评估
73,University of Amsterdam,Netherlands,37.7,70.4,40.1,93.0,46.9,56.5,免费评估
74,Hong Kong Polytechnic University,Hong Kong,33.5,88.4,44.7,86.4,46.7,56.2,免费评估
74,Eindhoven University of Technology,Netherlands,40.4,77.3,45.7,78.2,57.9,56.0,免费评估
74,University of Technology Sydney,Australia,27.9,97.3,42.2,91.4,51.7,56.0,免费评估
76,伦敦国王学院King's College London,United Kingdom,36.0,95.4,36.8,89.3,46.0,55.8,免费评估
76,Vienna University of Technology,Austria,44.9,65.5,48.6,74.3,48.1,55.8,免费评估
78,Lomonosov Moscow State University,Russian Federation,76.6,29.2,51.3,44.4,58.0,55.7,免费评估
79,McGill University,Canada,40.7,79.8,50.6,69.7,45.8,54.9,免费评估
81,Sorbonne University,France,51.6,65.0,52.0,57.7,46.9,54.2,免费评估
81,Tel Aviv University,Israel,35.5,41.8,48.5,85.6,47.1,54.2,免费评估
83,Michigan State University,United States,27.1,71.3,43.3,91.6,47.7,54.0,免费评估
84,Australian National University,Australia,19.0,94.4,45.0,92.1,46.4,53.9,免费评估
85,University of Twente,Netherlands,35.9,73.6,42.2,80.8,49.8,53.7,免费评估
86,University of Bologna,Italy,43.3,43.0,37.1,86.8,47.1,53.6,免费评估
87,Sungkyunkwan University (SKKU),South Korea,54.5,48.4,52.1,52.2,65.1,53.2,免费评估
88,Aalto University,Finland,32.6,73.4,35.4,90.1,47.5,53.1,免费评估
88,University of Zurich,Switzerland,36.0,84.5,27.9,92.0,46.4,53.1,免费评估
90,University of Luxembourg,Luxembourg,35.3,99.3,20.5,94.6,48.9,52.7,免费评估
91,Boston University,United States,34.8,60.0,34.8,90.4,45.8,52.5,免费评估
91,University of Trento,Italy,31.7,66.5,33.7,93.1,46.5,52.5,免费评估
93,City University of Hong Kong,Hong Kong,30.5,91.8,37.2,82.7,48.3,52.4,免费评估
