Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,巴斯大学University of Bath,3.6,452,0.81,,免费评估
2,埃克塞特大学University of Exeter,2.5,389,0.95,0.77,免费评估
3,思克莱德大学University of Strathclyde,3.3,444,0.83,0.83,免费评估
4,拉夫堡大学Loughborough University,2.8,406,0.87,0.84,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,3.6,485,0.74,0.91,免费评估
6,华威大学The University of Warwick,3.5,457,0.76,0.89,免费评估
7,格拉斯哥大学University of Glasgow,2.1,460,0.84,0.9,免费评估
8,伦敦城市大学City University London,2.6,395,0.85,0.79,免费评估
9,诺丁汉大学University of Nottingham,3.2,399,0.79,0.84,免费评估
10,曼彻斯特大学The University of Manchester,3.3,408,0.8,0.77,免费评估
11,英国女王大学Queen's University Belfast,2.7,392,0.82,0.83,免费评估
12,兰卡斯特大学Lancaster University,3.5,389,0.78,0.76,免费评估
13,卡迪夫大学Cardiff University,3.8,376,0.79,0.68,免费评估
14,爱丁堡大学The University of Edinburgh,2.3,449,0.78,0.84,免费评估
15,雷丁大学University of Reading,2.3,385,0.8,0.88,免费评估
16,伯明翰大学University of Birmingham,2.8,392,0.8,0.76,免费评估
17,南安普顿大学University of Southampton,2.6,406,0.76,0.86,免费评估
18,肯特大学University of Kent,2.5,316,0.82,0.82,免费评估
18,纽卡斯尔大学Newcastle University,2.3,412,0.77,0.84,免费评估
20,利兹大学University of Leeds,3.2,412,0.72,0.76,免费评估
20,东英吉利大学University of East Anglia,2.2,351,0.82,0.77,免费评估
22,罗伯特高登大学The Robert Gordon University,1.3,342,,0.97,免费评估
23,班戈大学Bangor University,2.9,259,0.84,0.71,免费评估
23,布里斯托大学University of Bristol,2.4,430,0.68,0.95,免费评估
25,伦敦大学玛丽女王学院Queen Mary University of London,2.6,332,0.76,0.81,免费评估
26,杜伦大学Durham University,2.7,351,0.75,0.8,免费评估
27,谢菲尔德大学The University of Sheffield,2.8,348,0.75,0.76,免费评估
28,阿伯丁大学University of Aberdeen,2.0,346,0.8,0.73,免费评估
29,赫瑞瓦特大学Heriot Watt University,2.2,354,0.75,0.75,免费评估
30,诺桑比亚大学Northumbria University,1.1,315,0.84,0.73,免费评估
31,西英格兰大学University of the West of England,2.0,270,0.81,0.71,免费评估
32,赫尔大学The University of Hull,2.0,265,0.77,0.83,免费评估
33,诺丁汉特伦特大学Nottingham Trent University,1.6,268,0.79,0.83,免费评估
34,阿尔斯特大学University of Ulster,1.8,286,0.81,0.68,免费评估
35,德蒙福特大学De Montfort University,1.9,248,0.83,0.65,免费评估
36,林肯大学University of Lincoln,,267,0.92,0.69,免费评估
37,萨里大学University of Surrey,2.3,358,0.72,,免费评估
38,朴茨茅斯大学University of Portsmouth,1.6,253,0.86,0.57,免费评估
39,邓迪大学University of Dundee,1.8,337,0.74,0.71,免费评估
39,布莱顿大学University of Brighton,2.4,244,0.8,0.6,免费评估
39,伯恩茅斯大学Bournemouth University,1.5,279,0.82,0.65,免费评估
39,中央兰开夏大学University of Central Lancashire,1.5,266,0.84,0.63,免费评估
43,利物浦大学The University of Liverpool,2.3,347,0.75,0.59,免费评估
44,斯特林大学University of Stirling,1.8,284,0.78,0.66,免费评估
45,基尔大学Keele University,2.1,267,0.73,0.73,免费评估
46,埃塞克斯大学University of Essex,2.5,291,0.71,0.69,免费评估
46,布拉德福德大学University of Bradford,2.4,238,0.79,0.57,免费评估
48,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,1.0,327,0.78,0.64,免费评估
49,曼彻斯特城市大学Manchester Metropolitan University,1.7,260,0.76,0.63,免费评估
50,谢菲尔德哈莱姆大学Sheffield Hallam University,1.4,256,0.79,0.6,免费评估
51,索尔福德大学University of Salford,1.5,293,0.78,0.55,免费评估
52,格拉摩根大学University of Glamorgan,1.2,289,0.76,0.66,免费评估
53,龙比亚大学Napier University,0.9,269,,0.74,免费评估
54,牛津布鲁克斯大学Oxford Brookes University,,302,0.77,0.74,免费评估
55,格林威治大学The University of Greenwich,1.2,194,0.84,0.48,免费评估
56,亚伯大学Aberystwyth University,1.5,276,0.79,0.41,免费评估
57,伯明翰城市大学Birmingham City University,1.2,227,0.77,0.62,免费评估
58,格罗斯特大学University of Gloucestershire,,250,0.76,0.76,免费评估
59,泰晤士河谷大学Thames Valley University,,152,0.91,0.52,免费评估
60,利物浦约翰摩尔斯大学Liverpool John Moores University,0.6,244,0.78,0.59,免费评估
61,赫特福德大学University of Hertfordshire,1.7,235,0.74,0.52,免费评估
62,金斯顿大学Kingston University,,231,0.81,0.61,免费评估
63,考文垂大学Coventry University,,274,0.72,0.73,免费评估
64,北安普顿大学The University of Northampton,,221,0.82,0.53,免费评估
65,普利茅斯大学University of Plymouth,1.6,254,0.72,0.45,免费评估
66,哈德斯菲尔德大学University of Huddersfield,1.4,244,0.75,0.34,免费评估
67,东伦敦大学University of East London,,156,0.84,0.46,免费评估
68,利兹都会大学Leeds Metropolitan University,,269,0.75,0.5,免费评估
69,贝德福德大学University of Bedfordshire,,228,0.82,0.37,免费评估
70,斯塔福德郡大学Staffordshire University,,233,0.72,0.63,免费评估
71,米德塞斯大学Middlesex University,,162,0.76,0.6,免费评估
72,德比大学University of Derby,,191,0.75,0.57,免费评估
73,伦敦南岸大学London South Bank University,1.1,165,0.72,0.43,免费评估
74,威尔士大学卡迪夫学院UWIC,,248,0.76,0.4,免费评估
75,伍尔弗汉普顿大学University of Wolverhampton,,181,0.7,0.55,免费评估
76,南安普顿索伦特大学Southampton Solent University,,148,0.67,0.65,免费评估
