Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,3.1,534.0,0.88,0.81,免费评估
2,牛津大学University of Oxford,3.7,497.0,0.84,0.81,免费评估
3,巴斯大学University of Bath,2.2,,0.85,0.67,免费评估
4,埃克塞特大学University of Exeter,2.4,430.0,0.82,,免费评估
5,中央兰开夏大学University of Central Lancashire,2.2,471.0,0.75,0.79,免费评估
6,谢菲尔德大学The University of Sheffield,3.3,384.0,0.82,0.67,免费评估
7,布里斯托大学University of Bristol,2.7,427.0,0.74,0.79,免费评估
8,伯明翰大学University of Birmingham,2.5,,0.83,0.62,免费评估
9,曼彻斯特大学The University of Manchester,3.8,355.0,0.78,,免费评估
10,诺丁汉大学University of Nottingham,2.9,346.0,0.74,0.63,免费评估
11,爱丁堡大学The University of Edinburgh,1.7,441.0,0.71,,免费评估
12,利兹大学University of Leeds,1.1,367.0,0.78,0.56,免费评估
13,格拉斯哥大学University of Glasgow,0.4,,0.79,0.57,免费评估
