Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.2,559,0.86,0.85,免费评估
2,牛津大学University of Oxford,3.7,544,0.85,0.88,免费评估
3,圣安德鲁斯大学University of St Andrews,3.6,444,0.85,0.89,免费评估
4,杜伦大学Durham University,3.1,508,0.87,0.83,免费评估
5,约克大学The University of York,3.1,413,0.89,0.82,免费评估
6,谢菲尔德大学The University of Sheffield,3.0,406,0.86,0.87,免费评估
7,布里斯托大学University of Bristol,3.5,436,0.83,0.83,免费评估
8,南安普顿大学University of Southampton,2.6,402,0.89,0.85,免费评估
9,帝国理工学院Imperial College London,3.3,465,0.77,0.88,免费评估
10,格拉斯哥大学University of Glasgow,2.8,393,0.82,0.89,免费评估
11,华威大学The University of Warwick,3.1,426,0.81,0.82,免费评估
12,思克莱德大学University of Strathclyde,2.8,397,0.84,0.82,免费评估
13,诺丁汉大学University of Nottingham,3.9,370,0.79,0.78,免费评估
14,利物浦大学The University of Liverpool,3.2,358,0.8,0.88,免费评估
15,萨塞克斯大学University of Sussex,2.4,411,0.81,0.87,免费评估
16,阿伯丁大学University of Aberdeen,2.0,348,0.83,0.92,免费评估
17,利兹大学University of Leeds,3.2,390,0.77,0.84,免费评估
17,巴斯大学University of Bath,2.4,403,0.81,0.85,免费评估
19,拉夫堡大学Loughborough University,1.5,315,0.9,0.87,免费评估
19,伦敦大学学院University College London,2.9,425,0.8,0.78,免费评估
21,萨里大学University of Surrey,3.0,301,0.77,0.94,免费评估
22,莱斯特大学University of Leicester,2.0,343,0.85,0.83,免费评估
23,诺丁汉特伦特大学Nottingham Trent University,2.7,218,0.83,0.91,免费评估
24,卡迪夫大学Cardiff University,2.6,363,0.79,0.84,免费评估
25,爱丁堡大学The University of Edinburgh,3.6,448,0.75,0.7,免费评估
25,赫尔大学The University of Hull,2.2,238,0.87,0.85,免费评估
27,曼彻斯特大学The University of Manchester,3.1,412,0.76,0.76,免费评估
28,赫瑞瓦特大学Heriot Watt University,2.4,339,0.8,0.83,免费评估
29,东英吉利大学University of East Anglia,2.3,357,0.83,0.68,免费评估
30,英国女王大学Queen's University Belfast,2.1,339,0.81,0.77,免费评估
31,伯明翰大学University of Birmingham,2.6,365,0.75,0.8,免费评估
32,布拉德福德大学University of Bradford,2.6,245,0.74,0.87,免费评估
33,纽卡斯尔大学Newcastle University,2.1,324,0.77,0.75,免费评估
34,普利茅斯大学University of Plymouth,1.7,235,0.77,0.88,免费评估
35,伦敦大学玛丽女王学院Queen Mary University of London,2.1,284,0.8,0.72,免费评估
36,班戈大学Bangor University,2.2,258,0.79,0.7,免费评估
37,基尔大学Keele University,,284,0.8,0.94,免费评估
38,雷丁大学University of Reading,1.4,307,0.77,0.79,免费评估
39,诺桑比亚大学Northumbria University,1.5,279,0.78,0.73,免费评估
40,谢菲尔德哈莱姆大学Sheffield Hallam University,1.2,194,0.76,0.8,免费评估
41,哈德斯菲尔德大学University of Huddersfield,1.3,209,0.78,0.65,免费评估
42,阿斯顿大学Aston University,2.0,283,,0.54,免费评估
43,布莱顿大学University of Brighton,1.9,213,0.71,0.61,免费评估
44,曼彻斯特城市大学Manchester Metropolitan University,1.3,203,0.76,0.58,免费评估
45,利物浦约翰摩尔斯大学Liverpool John Moores University,,221,0.73,0.74,免费评估
46,阿伯丁大学University of Aberdeen,,254,,0.6,免费评估
