Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,3.9,541,0.85,0.97,免费评估
2,帝国理工学院Imperial College London,3.9,482,0.82,0.87,免费评估
3,曼彻斯特大学The University of Manchester,3.7,460,0.75,0.87,免费评估
4,萨里大学University of Surrey,3.1,316,0.8,1.0,免费评估
5,利兹大学University of Leeds,3.4,358,0.8,0.88,免费评估
6,纽卡斯尔大学Newcastle University,2.6,400,0.78,0.97,免费评估
7,拉夫堡大学Loughborough University,3.2,393,0.85,0.79,免费评估
8,谢菲尔德大学The University of Sheffield,2.7,400,0.79,0.94,免费评估
9,诺丁汉大学University of Nottingham,3.5,363,0.72,0.86,免费评估
10,伯明翰大学University of Birmingham,3.1,410,0.73,0.83,免费评估
11,爱丁堡大学The University of Edinburgh,2.7,421,0.75,0.84,免费评估
12,赫瑞瓦特大学Heriot Watt University,2.8,380,0.77,0.83,免费评估
13,思克莱德大学University of Strathclyde,1.8,392,0.78,0.89,免费评估
13,英国女王大学Queen's University Belfast,2.1,356,0.76,0.91,免费评估
15,伦敦大学学院University College London,3.1,376,0.74,0.77,免费评估
16,巴斯大学University of Bath,2.5,430,0.75,0.77,免费评估
17,阿斯顿大学Aston University,2.0,294,0.87,0.8,免费评估
18,阿伯丁大学University of Aberdeen,2.8,397,0.7,,免费评估
19,斯旺西大学Swansea University,3.2,272,0.74,0.75,免费评估
20,伦敦南岸大学London South Bank University,2.4,163,0.64,0.69,免费评估
