Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.2,518.0,0.87,0.84,免费评估
2,牛津大学University of Oxford,4.0,521.0,0.89,0.79,免费评估
3,圣安德鲁斯大学University of St Andrews,2.8,479.0,0.85,0.82,免费评估
4,伦敦国王学院King's College London,3.4,413.0,0.86,0.7,免费评估
5,伦敦大学学院University College London,3.5,459.0,0.77,0.77,免费评估
6,杜伦大学Durham University,3.3,461.0,0.78,0.77,免费评估
7,埃克塞特大学University of Exeter,3.3,395.0,0.9,0.61,免费评估
8,布里斯托大学University of Bristol,2.9,439.0,0.7,0.81,免费评估
9,华威大学The University of Warwick,3.3,430.0,0.77,0.57,免费评估
10,格拉斯哥大学University of Glasgow,1.7,422.0,0.85,0.54,免费评估
11,伯明翰大学University of Birmingham,2.7,359.0,0.83,0.48,免费评估
12,爱丁堡大学The University of Edinburgh,2.2,441.0,0.71,0.65,免费评估
13,伦敦大学皇家霍洛威学院Royal Holloway University of London,1.9,351.0,0.82,0.59,免费评估
14,诺丁汉大学University of Nottingham,2.4,387.0,0.78,0.53,免费评估
15,利兹大学University of Leeds,1.6,354.0,0.8,0.64,免费评估
16,曼彻斯特大学The University of Manchester,3.0,399.0,0.72,0.49,免费评估
17,雷丁大学University of Reading,2.3,320.0,0.82,0.5,免费评估
18,纽卡斯尔大学Newcastle University,2.2,398.0,0.71,0.57,免费评估
19,利物浦大学The University of Liverpool,2.3,348.0,0.83,0.36,免费评估
20,斯旺西大学Swansea University,1.5,311.0,0.81,0.47,免费评估
20,兰彼得大学University of Wales Lampeter,1.2,,0.74,0.59,免费评估
22,肯特大学University of Kent,1.2,305.0,0.79,0.49,免费评估
