Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,拉夫堡大学Loughborough University,3.5,348,0.85,0.98,免费评估
2,雷丁大学University of Reading,3.4,331,0.77,0.99,免费评估
3,伦敦大学学院University College London,3.9,375,0.76,0.73,免费评估
4,诺丁汉大学University of Nottingham,2.1,376,,,免费评估
5,索尔福德大学University of Salford,3.2,262,0.74,0.93,免费评估
6,阿斯顿大学Aston University,2.0,305,,1.0,免费评估
7,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,2.7,333,0.71,0.88,免费评估
8,阿尔斯特大学University of Ulster,2.9,283,0.67,0.96,免费评估
9,诺桑比亚大学Northumbria University,2.1,284,0.77,0.9,免费评估
10,赫瑞瓦特大学Heriot Watt University,2.5,326,0.68,0.89,免费评估
11,西英格兰大学University of the West of England,2.0,282,0.77,0.91,免费评估
12,龙比亚大学Napier University,1.7,283,,0.95,免费评估
13,普利茅斯大学University of Plymouth,2.3,259,0.71,0.88,免费评估
14,罗伯特高登大学The Robert Gordon University,1.7,309,,0.88,免费评估
15,格拉摩根大学University of Glamorgan,2.3,222,,0.93,免费评估
16,布莱顿大学University of Brighton,1.7,278,0.68,0.92,免费评估
17,利物浦约翰摩尔斯大学Liverpool John Moores University,2.8,243,0.66,0.84,免费评估
18,谢菲尔德哈莱姆大学Sheffield Hallam University,1.9,266,0.65,0.92,免费评估
19,诺丁汉特伦特大学Nottingham Trent University,1.3,257,0.69,0.96,免费评估
20,威斯敏斯特大学University of Westminster,2.9,256,0.61,0.84,免费评估
21,波尔顿大学University of Bolton,1.9,198,0.81,0.81,免费评估
22,格林威治大学The University of Greenwich,2.0,204,0.67,0.87,免费评估
23,中央兰开夏大学University of Central Lancashire,1.8,220,0.66,0.86,免费评估
24,伯明翰城市大学Birmingham City University,,229,0.77,0.94,免费评估
25,剑桥安鲁大学Anglia Ruskin University,,334,0.59,0.94,免费评估
26,考文垂大学Coventry University,,285,,0.88,免费评估
27,伍尔弗汉普顿大学University of Wolverhampton,2.3,165,0.84,0.61,免费评估
28,金斯顿大学Kingston University,,275,0.67,0.91,免费评估
29,牛津布鲁克斯大学Oxford Brookes University,,246,0.76,0.84,免费评估
30,利兹都会大学Leeds Metropolitan University,,266,0.6,0.92,免费评估
31,伦敦南岸大学London South Bank University,,187,0.61,0.88,免费评估
32,南安普顿索伦特大学Southampton Solent University,,134,0.6,0.73,免费评估
