Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.4,534.0,0.88,0.81,免费评估
2,牛津大学University of Oxford,3.2,494.0,0.86,0.65,免费评估
3,利兹大学University of Leeds,3.5,425.0,0.85,0.59,免费评估
4,巴斯大学University of Bath,2.2,429.0,0.84,0.73,免费评估
5,杜伦大学Durham University,1.6,497.0,0.8,0.74,免费评估
6,斯旺西大学Swansea University,1.6,,0.81,0.78,免费评估
7,布里斯托大学University of Bristol,2.9,432.0,0.79,0.7,免费评估
8,伯明翰大学University of Birmingham,2.5,,0.83,0.63,免费评估
9,华威大学The University of Warwick,3.4,430.0,0.82,0.55,免费评估
10,埃克塞特大学University of Exeter,1.9,430.0,0.79,0.73,免费评估
11,莱斯特大学University of Leicester,1.6,,0.89,0.54,免费评估
12,曼彻斯特城市大学Manchester Metropolitan University,2.9,401.0,0.81,0.54,免费评估
13,雷丁大学University of Reading,3.2,305.0,0.8,0.57,免费评估
14,卡迪夫大学Cardiff University,2.3,355.0,0.81,0.57,免费评估
15,中央兰开夏大学University of Central Lancashire,2.6,417.0,0.71,0.65,免费评估
16,爱丁堡大学The University of Edinburgh,1.1,457.0,0.7,0.79,免费评估
17,伦敦大学皇家霍洛威学院Royal Holloway University of London,1.7,324.0,0.8,0.61,免费评估
18,格拉斯哥大学University of Glasgow,1.5,401.0,0.79,0.52,免费评估
19,兰卡斯特大学Lancaster University,1.8,,0.8,0.5,免费评估
20,思克莱德大学University of Strathclyde,1.2,,0.81,0.5,免费评估
21,诺丁汉特伦特大学Nottingham Trent University,,260.0,0.79,0.69,免费评估
22,曼彻斯特城市大学Manchester Metropolitan University,1.1,266.0,0.75,0.57,免费评估
