Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,牛津大学University of Oxford,3.4,516.0,0.86,0.79,免费评估
2,剑桥大学University of Cambridge,2.8,534.0,0.88,0.81,免费评估
3,圣安德鲁斯大学University of St Andrews,2.6,483.0,0.83,0.79,免费评估
4,杜伦大学Durham University,2.5,497.0,0.86,0.74,免费评估
5,华威大学The University of Warwick,3.1,466.0,0.83,0.71,免费评估
6,南安普顿大学University of Southampton,3.2,433.0,0.88,0.66,免费评估
7,朴茨茅斯大学University of Portsmouth,2.3,,0.88,0.74,免费评估
8,伦敦国王学院King's College London,3.2,419.0,0.75,0.74,免费评估
9,埃克塞特大学University of Exeter,2.5,415.0,0.82,0.74,免费评估
9,谢菲尔德大学The University of Sheffield,2.9,404.0,0.81,0.71,免费评估
11,巴斯大学University of Bath,2.2,418.0,0.84,0.75,免费评估
12,阿伯丁大学University of Aberdeen,2.8,373.0,0.84,0.68,免费评估
13,利兹大学University of Leeds,2.6,404.0,0.84,0.66,免费评估
14,伦敦大学学院University College London,2.4,433.0,0.76,0.75,免费评估
15,伯明翰大学University of Birmingham,2.1,416.0,0.85,0.69,免费评估
16,诺丁汉大学University of Nottingham,2.8,409.0,0.75,0.72,免费评估
16,兰卡斯特大学Lancaster University,1.8,358.0,0.83,0.81,免费评估
18,伦敦大学皇家霍洛威学院Royal Holloway University of London,2.3,361.0,0.82,0.72,免费评估
18,赫瑞瓦特大学Heriot Watt University,1.7,391.0,0.88,0.69,免费评估
20,纽卡斯尔大学Newcastle University,2.5,433.0,0.72,0.75,免费评估
20,爱丁堡大学The University of Edinburgh,2.4,468.0,0.68,0.78,免费评估
22,肯特大学University of Kent,2.6,297.0,0.87,0.66,免费评估
23,英国女王大学Queen's University Belfast,2.0,366.0,0.8,0.74,免费评估
24,伦敦大学玛丽女王学院Queen Mary University of London,2.4,326.0,0.8,0.72,免费评估
25,莱斯特大学University of Leicester,1.4,358.0,0.93,0.61,免费评估
26,格拉斯哥大学University of Glasgow,2.4,425.0,0.82,0.56,免费评估
27,布里斯托大学University of Bristol,1.7,438.0,0.73,0.74,免费评估
28,阿斯顿大学Aston University,1.3,364.0,0.85,0.71,免费评估
29,曼彻斯特大学The University of Manchester,2.5,419.0,0.74,0.63,免费评估
30,斯旺西大学Swansea University,1.8,314.0,0.81,0.74,免费评估
31,卡迪夫大学Cardiff University,2.3,405.0,0.79,0.58,免费评估
31,斯特林大学University of Stirling,1.6,311.0,,0.79,免费评估
33,赫尔大学The University of Hull,2.4,314.0,0.87,0.55,免费评估
34,利物浦大学The University of Liverpool,2.3,356.0,0.78,0.62,免费评估
35,思克莱德大学University of Strathclyde,,387.0,0.81,0.8,免费评估
36,雷丁大学University of Reading,2.6,303.0,0.8,0.56,免费评估
37,牛津布鲁克斯大学Oxford Brookes University,1.7,321.0,0.75,0.66,免费评估
38,东英吉利大学University of East Anglia,,338.0,0.8,0.78,免费评估
39,诺丁汉特伦特大学Nottingham Trent University,1.4,260.0,0.79,0.69,免费评估
40,萨塞克斯大学University of Sussex,,401.0,0.76,0.71,免费评估
41,索尔福德大学University of Salford,1.5,334.0,0.74,0.57,免费评估
42,约克大学The University of York,,450.0,0.77,0.59,免费评估
43,班戈大学Bangor University,,374.0,0.85,0.57,免费评估
44,亚伯大学Aberystwyth University,,306.0,0.84,0.64,免费评估
45,诺桑比亚大学Northumbria University,,288.0,0.77,0.72,免费评估
46,阿尔斯特大学University of Ulster,1.3,298.0,0.72,0.55,免费评估
47,曼彻斯特城市大学Manchester Metropolitan University,1.1,266.0,0.75,0.57,免费评估
48,利物浦约翰摩尔斯大学Liverpool John Moores University,,292.0,0.68,0.69,免费评估
