Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,4.6,564.0,0.85,0.94,免费评估
2,南安普顿大学University of Southampton,3.3,468.0,0.81,0.92,免费评估
3,帝国理工学院Imperial College London,3.3,475.0,0.82,0.84,免费评估
4,萨里大学University of Surrey,3.6,374.0,0.85,0.85,免费评估
5,拉夫堡大学Loughborough University,2.8,334.0,0.85,0.95,免费评估
6,爱丁堡大学The University of Edinburgh,2.7,425.0,0.77,0.92,免费评估
7,谢菲尔德大学The University of Sheffield,2.9,346.0,0.82,0.85,免费评估
8,布里斯托大学University of Bristol,2.7,413.0,0.77,0.94,免费评估
9,约克大学The University of York,2.4,398.0,0.85,0.78,免费评估
10,埃塞克斯大学University of Essex,2.9,,0.8,0.84,免费评估
11,巴斯大学University of Bath,3.1,375.0,0.78,0.84,免费评估
12,格拉斯哥大学University of Glasgow,3.1,403.0,0.79,0.75,免费评估
13,英国女王大学Queen's University Belfast,2.9,344.0,0.8,0.84,免费评估
14,利兹大学University of Leeds,3.8,373.0,0.75,0.76,免费评估
15,伦敦大学学院University College London,3.2,427.0,0.72,0.84,免费评估
15,思克莱德大学University of Strathclyde,2.5,420.0,0.78,0.82,免费评估
17,曼彻斯特大学The University of Manchester,3.4,384.0,0.72,0.78,免费评估
17,赫瑞瓦特大学Heriot Watt University,3.1,336.0,0.77,0.82,免费评估
19,纽卡斯尔大学Newcastle University,2.7,348.0,0.75,0.89,免费评估
20,诺丁汉大学University of Nottingham,2.7,363.0,0.75,0.86,免费评估
21,卡迪夫大学Cardiff University,2.4,343.0,0.78,0.84,免费评估
22,阿伯丁大学University of Aberdeen,2.8,,,0.75,免费评估
23,肯特大学University of Kent,2.3,282.0,0.78,0.86,免费评估
24,伦敦国王学院King's College London,1.8,339.0,0.78,0.85,免费评估
25,伯明翰大学University of Birmingham,2.5,300.0,0.77,0.8,免费评估
26,伦敦大学玛丽女王学院Queen Mary University of London,2.5,263.0,0.8,0.76,免费评估
27,利物浦大学The University of Liverpool,2.6,382.0,0.73,0.7,免费评估
28,兰卡斯特大学Lancaster University,2.4,278.0,0.7,0.92,免费评估
29,雷丁大学University of Reading,1.8,365.0,0.74,0.79,免费评估
30,西英格兰大学University of the West of England,2.4,256.0,0.75,0.83,免费评估
31,布鲁内尔大学Brunel University,2.2,303.0,0.77,0.69,免费评估
32,萨塞克斯大学University of Sussex,2.6,,0.7,0.72,免费评估
33,阿斯顿大学Aston University,2.0,290.0,0.73,0.73,免费评估
34,诺桑比亚大学Northumbria University,2.1,236.0,0.75,0.72,免费评估
35,朴茨茅斯大学University of Portsmouth,1.4,206.0,0.81,0.75,免费评估
36,斯旺西大学Swansea University,1.7,255.0,0.73,0.79,免费评估
37,赫尔大学The University of Hull,1.8,235.0,0.75,0.75,免费评估
38,罗伯特高登大学The Robert Gordon University,,336.0,,0.84,免费评估
39,考文垂大学Coventry University,2.0,248.0,0.75,,免费评估
40,利物浦约翰摩尔斯大学Liverpool John Moores University,2.9,222.0,0.71,0.61,免费评估
41,班戈大学Bangor University,3.6,200.0,,0.48,免费评估
42,普利茅斯大学University of Plymouth,1.3,221.0,0.83,0.6,免费评估
42,中央兰开夏大学University of Central Lancashire,1.4,,0.78,0.63,免费评估
44,布拉德福德大学University of Bradford,0.8,276.0,0.75,0.76,免费评估
45,索尔福德大学University of Salford,2.7,230.0,0.71,0.57,免费评估
46,赫特福德大学University of Hertfordshire,2.4,178.0,0.75,0.57,免费评估
47,亚伯大学Aberystwyth University,,259.0,,0.79,免费评估
48,哈德斯菲尔德大学University of Huddersfield,1.8,265.0,0.72,0.5,免费评估
49,曼彻斯特城市大学Manchester Metropolitan University,1.5,202.0,0.72,0.61,免费评估
50,谢菲尔德哈莱姆大学Sheffield Hallam University,1.7,200.0,0.68,0.65,免费评估
51,伦敦城市大学City University London,2.2,202.0,0.63,0.64,免费评估
52,威斯敏斯特大学University of Westminster,0.9,178.0,0.78,0.53,免费评估
53,蒂赛德大学Teesside University,,257.0,0.78,0.54,免费评估
53,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,302.0,0.68,0.72,免费评估
55,阿尔斯特大学University of Ulster,,210.0,0.73,0.74,免费评估
56,德蒙福特大学De Montfort University,1.7,201.0,0.73,0.42,免费评估
57,斯塔福德郡大学Staffordshire University,2.1,147.0,0.68,,免费评估
58,波尔顿大学University of Bolton,,212.0,0.76,0.62,免费评估
59,牛津布鲁克斯大学Oxford Brookes University,,249.0,0.7,0.66,免费评估
60,格林威治大学The University of Greenwich,,238.0,0.71,0.63,免费评估
61,格拉摩根大学University of Glamorgan,2.0,266.0,0.62,0.32,免费评估
61,德比大学University of Derby,,241.0,0.68,0.6,免费评估
63,伯明翰城市大学Birmingham City University,,244.0,0.65,0.62,免费评估
64,伦敦南岸大学London South Bank University,2.4,,0.63,0.33,免费评估
