Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,萨里大学University of Surrey,2.3,336.0,0.8,0.67,免费评估
2,斯特林大学University of Stirling,2.1,271.0,0.75,0.65,免费评估
3,中央兰开夏大学University of Central Lancashire,2.0,203.0,0.81,0.72,免费评估
4,南安普顿大学University of Southampton,1.9,,0.75,0.66,免费评估
5,伯恩茅斯大学Bournemouth University,1.5,256.0,0.75,0.78,免费评估
6,谢菲尔德哈莱姆大学Sheffield Hallam University,1.9,238.0,0.79,0.57,免费评估
7,普利茅斯大学University of Plymouth,1.6,222.0,0.85,0.47,免费评估
8,赫特福德大学University of Hertfordshire,1.7,227.0,0.72,0.66,免费评估
9,布莱顿大学University of Brighton,1.8,231.0,0.73,0.53,免费评估
10,西英格兰大学University of the West of England,1.1,265.0,0.74,0.65,免费评估
11,曼彻斯特城市大学Manchester Metropolitan University,1.7,249.0,0.72,0.51,免费评估
12,罗伯特高登大学The Robert Gordon University,,285.0,,0.79,免费评估
13,威尔士大学卡迪夫学院UWIC,1.4,241.0,0.79,0.39,免费评估
14,巴斯斯巴大学Bath Spa University,,228.0,0.85,0.8,免费评估
15,玛格丽特女王大学Queen Margaret University,,307.0,,0.62,免费评估
16,龙比亚大学Napier University,,271.0,,0.7,免费评估
17,切斯特大学University of Chester,1.4,227.0,0.68,0.54,免费评估
18,桑德兰大学University of Sunderland,1.5,166.0,0.76,,免费评估
19,牛津布鲁克斯大学Oxford Brookes University,,270.0,0.79,0.67,免费评估
19,思克莱德大学University of Strathclyde,,322.0,0.81,0.5,免费评估
21,威斯敏斯特大学University of Westminster,,224.0,0.77,0.75,免费评估
22,曼彻斯特大学The University of Manchester,,300.0,0.74,0.5,免费评估
22,朴茨茅斯大学University of Portsmouth,,242.0,0.8,0.52,免费评估
24,赫尔大学The University of Hull,,221.0,0.82,0.53,免费评估
25,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,299.0,0.73,0.5,免费评估
26,温切斯特大学University of Winchester,,222.0,0.78,0.57,免费评估
27,格罗斯特大学University of Gloucestershire,,226.0,0.75,0.6,免费评估
28,林肯大学University of Lincoln,,228.0,0.8,0.49,免费评估
29,索尔福德大学University of Salford,,205.0,0.8,0.52,免费评估
30,格拉摩根大学University of Glamorgan,,247.0,0.79,0.44,免费评估
31,利兹都会大学Leeds Metropolitan University,,245.0,0.7,0.59,免费评估
32,德比大学University of Derby,,241.0,0.71,0.53,免费评估
33,伦敦艺术大学University of the Arts London,,371.0,0.55,0.52,免费评估
34,考文垂大学Coventry University,,236.0,0.74,0.48,免费评估
35,阿尔斯特大学University of Ulster,,237.0,0.77,0.41,免费评估
36,伯明翰城市大学Birmingham City University,,220.0,0.77,0.44,免费评估
37,哈德斯菲尔德大学University of Huddersfield,,231.0,0.76,0.4,免费评估
38,利物浦约翰摩尔斯大学Liverpool John Moores University,,158.0,0.72,0.65,免费评估
39,白金汉大学The University of Buckingham,,246.0,0.65,0.53,免费评估
40,伦敦南岸大学London South Bank University,,157.0,0.76,0.5,免费评估
41,哥比亚大学University of Cumbria,,221.0,0.72,0.42,免费评估
42,坎特伯雷大学Canterbury Christ Church University,,196.0,0.77,0.37,免费评估
43,南安普顿索伦特大学Southampton Solent University,,165.0,0.68,0.6,免费评估
44,格林威治大学The University of Greenwich,,208.0,0.59,0.55,免费评估
45,泰晤士河谷大学Thames Valley University,,125.0,0.69,0.56,免费评估
46,米德塞斯大学Middlesex University,,151.0,0.71,0.44,免费评估
47,伍尔弗汉普顿大学University of Wolverhampton,,164.0,0.67,0.46,免费评估
48,贝德福德大学University of Bedfordshire,1.2,,0.61,0.2,免费评估
