Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,2.8,501.0,0.8,0.8,免费评估
2,萨里大学University of Surrey,3.2,326.0,0.83,0.69,免费评估
3,华威大学The University of Warwick,3.2,411.0,0.79,0.62,免费评估
4,拉夫堡大学Loughborough University,2.7,359.0,0.83,0.6,免费评估
5,利兹大学University of Leeds,3.7,354.0,0.79,0.58,免费评估
6,杜伦大学Durham University,2.7,411.0,0.77,0.63,免费评估
7,巴斯大学University of Bath,3.9,346.0,0.69,0.73,免费评估
8,阿伯丁大学University of Aberdeen,2.6,335.0,0.87,0.51,免费评估
9,埃塞克斯大学University of Essex,3.5,300.0,0.8,0.57,免费评估
10,埃克塞特大学University of Exeter,2.9,357.0,0.79,0.56,免费评估
11,爱丁堡大学The University of Edinburgh,3.2,435.0,0.73,0.5,免费评估
12,兰卡斯特大学Lancaster University,3.5,356.0,0.76,0.52,免费评估
13,南安普顿大学University of Southampton,3.8,345.0,0.77,0.49,免费评估
14,伦敦政治经济学院The London School of Economics and Political Science,2.5,400.0,0.68,0.71,免费评估
15,格拉斯哥大学University of Glasgow,2.0,423.0,0.75,0.58,免费评估
16,谢菲尔德大学The University of Sheffield,3.1,361.0,0.72,0.6,免费评估
16,布里斯托大学University of Bristol,2.2,391.0,0.68,0.74,免费评估
18,斯特林大学University of Stirling,2.5,283.0,0.78,0.63,免费评估
19,肯特大学University of Kent,3.6,280.0,0.77,0.52,免费评估
20,萨塞克斯大学University of Sussex,2.9,373.0,0.7,0.61,免费评估
21,朴茨茅斯大学University of Portsmouth,2.3,283.0,0.83,0.51,免费评估
22,布鲁内尔大学Brunel University,2.3,283.0,0.82,0.54,免费评估
22,莱斯特大学University of Leicester,1.8,,0.77,0.67,免费评估
24,卡迪夫大学Cardiff University,3.0,356.0,0.72,0.55,免费评估
25,曼彻斯特大学The University of Manchester,3.7,372.0,0.71,0.47,免费评估
26,伯明翰大学University of Birmingham,1.5,357.0,0.78,0.59,免费评估
27,约克圣约翰大学York St John University,3.4,335.0,0.74,0.47,免费评估
28,伦敦大学金史密斯学院Goldsmiths University of London,3.5,273.0,0.71,0.61,免费评估
29,诺丁汉大学University of Nottingham,2.3,323.0,0.73,0.6,免费评估
30,贝德福德大学University of Bedfordshire,2.2,219.0,0.8,0.6,免费评估
30,阿斯顿大学Aston University,1.3,330.0,0.79,0.56,免费评估
32,纽卡斯尔大学Newcastle University,2.5,353.0,0.7,0.58,免费评估
33,思克莱德大学University of Strathclyde,1.2,378.0,0.7,0.65,免费评估
34,英国女王大学Queen's University Belfast,2.8,327.0,0.72,0.5,免费评估
35,利物浦大学The University of Liverpool,1.5,337.0,0.77,0.51,免费评估
36,赫尔大学The University of Hull,2.1,244.0,0.81,0.5,免费评估
37,诺桑比亚大学Northumbria University,1.7,264.0,0.77,0.56,免费评估
38,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,0.9,305.0,0.81,0.51,免费评估
39,索尔福德大学University of Salford,2.2,247.0,0.78,0.49,免费评估
40,蒂赛德大学Teesside University,1.4,236.0,0.79,0.55,免费评估
41,罗伯特高登大学The Robert Gordon University,0.7,297.0,,0.62,免费评估
42,伍斯特大学University of Worcester,,267.0,0.8,0.62,免费评估
43,圣玛丽学院St Mary's College,,215.0,0.85,0.56,免费评估
44,伯明翰城市大学Birmingham City University,1.5,251.0,0.8,0.43,免费评估
45,牛津布鲁克斯大学Oxford Brookes University,,309.0,0.8,0.5,免费评估
