Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,谢菲尔德大学The University of Sheffield,3.1,371.0,0.8,1.0,免费评估
2,巴斯大学University of Bath,3.9,,0.79,0.94,免费评估
3,肯特大学University of Kent,3.6,268.0,0.88,0.9,免费评估
4,约克大学The University of York,3.3,365.0,0.76,0.9,免费评估
5,英国女王大学Queen's University Belfast,2.8,369.0,0.77,0.95,免费评估
6,兰卡斯特大学Lancaster University,3.0,,0.79,0.93,免费评估
7,爱丁堡大学The University of Edinburgh,3.4,,0.69,0.96,免费评估
8,利兹大学University of Leeds,3.7,325.0,0.78,0.62,免费评估
9,斯特林大学University of Stirling,2.5,,0.77,0.94,免费评估
9,阿伯泰邓迪大学University of Abertay Dundee,1.8,323.0,0.78,0.95,免费评估
11,东英吉利大学University of East Anglia,2.4,241.0,0.83,,免费评估
12,萨塞克斯大学University of Sussex,2.8,,0.72,0.93,免费评估
13,基尔大学Keele University,2.9,223.0,0.74,0.94,免费评估
14,伯明翰大学University of Birmingham,2.8,324.0,0.66,0.82,免费评估
15,南安普顿大学University of Southampton,1.7,329.0,0.73,0.88,免费评估
16,格拉摩根大学University of Glamorgan,2.1,269.0,0.76,,免费评估
17,雷丁大学University of Reading,2.2,289.0,0.67,0.94,免费评估
18,赫尔大学The University of Hull,2.1,253.0,0.72,0.95,免费评估
19,米德塞斯大学Middlesex University,2.1,,0.73,0.86,免费评估
20,布里斯托大学University of Bristol,2.9,373.0,0.57,0.7,免费评估
21,哈德斯菲尔德大学University of Huddersfield,2.2,247.0,0.76,0.76,免费评估
21,诺桑比亚大学Northumbria University,1.7,248.0,0.7,0.96,免费评估
23,思克莱德大学University of Strathclyde,1.9,334.0,0.67,0.75,免费评估
24,布拉德福德大学University of Bradford,2.4,278.0,0.61,0.9,免费评估
25,阿尔斯特大学University of Ulster,2.6,277.0,0.67,0.74,免费评估
26,剑桥安鲁大学Anglia Ruskin University,1.7,251.0,0.76,0.81,免费评估
27,诺丁汉特伦特大学Nottingham Trent University,2.8,214.0,0.64,0.91,免费评估
28,西英格兰大学University of the West of England,1.3,234.0,0.73,0.97,免费评估
28,牛津布鲁克斯大学Oxford Brookes University,,267.0,0.83,0.94,免费评估
30,罗伯特高登大学The Robert Gordon University,,316.0,,0.89,免费评估
31,伦敦南岸大学London South Bank University,2.8,,0.66,0.78,免费评估
32,考文垂大学Coventry University,1.6,245.0,0.73,0.84,免费评估
33,普利茅斯大学University of Plymouth,2.3,245.0,0.66,0.83,免费评估
34,蒂赛德大学Teesside University,,247.0,0.81,0.95,免费评估
35,德蒙福特大学De Montfort University,1.6,205.0,0.69,0.96,免费评估
36,切斯特大学University of Chester,0.9,,0.78,0.85,免费评估
37,伦敦大学金史密斯学院Goldsmiths University of London,1.9,,0.67,0.85,免费评估
38,南安普顿索伦特大学Southampton Solent University,,261.0,0.8,0.87,免费评估
39,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,,319.0,0.84,0.64,免费评估
40,林肯大学University of Lincoln,1.8,219.0,0.69,0.84,免费评估
41,贝德福德大学University of Bedfordshire,2.2,159.0,0.73,0.81,免费评估
42,索尔福德大学University of Salford,2.1,271.0,0.61,0.75,免费评估
43,中央兰开夏大学University of Central Lancashire,2.0,151.0,0.68,0.93,免费评估
44,威尔士大学卡迪夫学院UWIC,,201.0,0.81,0.92,免费评估
45,谢菲尔德哈莱姆大学Sheffield Hallam University,1.7,226.0,0.64,0.85,免费评估
46,格罗斯特大学University of Gloucestershire,0.7,202.0,0.78,0.85,免费评估
47,伯明翰城市大学Birmingham City University,1.5,237.0,0.59,0.9,免费评估
48,班戈大学Bangor University,1.7,229.0,0.66,,免费评估
48,纽波特大学University of Wales Newport,1.9,188.0,0.78,0.56,免费评估
50,朴茨茅斯大学University of Portsmouth,,244.0,0.72,0.87,免费评估
51,曼彻斯特城市大学Manchester Metropolitan University,1.3,193.0,0.69,0.8,免费评估
52,赫特福德大学University of Hertfordshire,1.0,194.0,0.61,0.94,免费评估
53,格林多大学Glyndwr University,1.0,,0.68,0.78,免费评估
53,斯塔福德郡大学Staffordshire University,,195.0,0.75,0.84,免费评估
55,伯恩茅斯大学Bournemouth University,,247.0,0.64,0.91,免费评估
56,东伦敦大学University of East London,1.5,136.0,0.68,0.82,免费评估
57,伍尔弗汉普顿大学University of Wolverhampton,,243.0,0.71,0.75,免费评估
58,金斯顿大学Kingston University,,200.0,0.7,0.77,免费评估
59,北安普顿大学The University of Northampton,,209.0,0.68,0.78,免费评估
60,奇切斯特大学University of Chichester,,211.0,0.77,0.59,免费评估
61,格林威治大学The University of Greenwich,,234.0,0.63,0.79,免费评估
62,布鲁内尔大学Brunel University,1.7,,0.57,0.66,免费评估
63,哥比亚大学University of Cumbria,,197.0,0.74,0.58,免费评估
64,伍斯特大学University of Worcester,,155.0,0.78,0.6,免费评估
65,伦敦大学皇家霍洛威学院Royal Holloway University of London,2.2,,0.45,0.77,免费评估
66,桑德兰大学University of Sunderland,,176.0,0.74,0.62,免费评估
67,艾芝西尔大学Edge Hill University,0.8,193.0,0.78,0.33,免费评估
67,利兹都会大学Leeds Metropolitan University,,236.0,0.7,0.51,免费评估
69,罗汉普顿大学Roehampton University,,196.0,0.76,0.49,免费评估
70,坎特伯雷大学Canterbury Christ Church University,,207.0,0.64,0.51,免费评估
71,利物浦约翰摩尔斯大学Liverpool John Moores University,,204.0,0.59,0.57,免费评估
72,德比大学University of Derby,,151.0,0.62,0.6,免费评估
