Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,伦敦政治经济学院The London School of Economics and Political Science,4.6,425.0,0.69,0.79,免费评估
2,布里斯托大学University of Bristol,2.9,348.0,0.76,0.76,免费评估
3,拉夫堡大学Loughborough University,2.7,358.0,0.86,0.5,免费评估
4,赫尔大学The University of Hull,2.1,297.0,0.86,0.65,免费评估
5,利兹大学University of Leeds,3.7,283.0,0.76,0.66,免费评估
6,南安普顿大学University of Southampton,3.8,,0.76,0.56,免费评估
6,谢菲尔德大学The University of Sheffield,3.1,338.0,0.77,0.62,免费评估
8,格拉斯哥大学University of Glasgow,2.6,,0.8,0.64,免费评估
9,肯特大学University of Kent,3.6,244.0,0.77,0.65,免费评估
10,爱丁堡大学The University of Edinburgh,3.4,,0.71,0.67,免费评估
11,约克大学The University of York,3.3,318.0,0.75,0.59,免费评估
12,波尔顿大学University of Bolton,1.9,,0.84,0.59,免费评估
13,伯明翰大学University of Birmingham,2.8,286.0,0.79,0.6,免费评估
13,基尔大学Keele University,2.9,311.0,0.74,0.64,免费评估
15,巴斯大学University of Bath,3.9,346.0,0.7,0.51,免费评估
16,朴茨茅斯大学University of Portsmouth,2.3,,0.83,0.5,免费评估
17,诺丁汉大学University of Nottingham,2.3,329.0,0.72,0.67,免费评估
18,卡迪夫大学Cardiff University,3.0,349.0,0.69,0.52,免费评估
19,斯特林大学University of Stirling,2.5,,0.78,0.5,免费评估
20,斯旺西大学Swansea University,2.5,273.0,0.77,0.53,免费评估
21,英国女王大学Queen's University Belfast,2.8,268.0,0.75,0.52,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,2.8,,0.71,0.57,免费评估
23,德蒙福特大学De Montfort University,1.6,,0.75,0.62,免费评估
24,中央兰开夏大学University of Central Lancashire,2.0,208.0,0.79,,免费评估
25,班戈大学Bangor University,1.7,,0.72,0.62,免费评估
26,林肯大学University of Lincoln,1.8,,0.78,0.43,免费评估
26,索尔福德大学University of Salford,2.1,185.0,0.76,0.52,免费评估
28,布莱顿大学University of Brighton,1.6,304.0,0.72,0.48,免费评估
29,曼彻斯特大学The University of Manchester,2.5,357.0,0.62,0.49,免费评估
30,伦敦南岸大学London South Bank University,2.8,,0.72,0.39,免费评估
31,纽卡斯尔大学Newcastle University,,341.0,0.7,0.66,免费评估
32,谢菲尔德哈莱姆大学Sheffield Hallam University,2.7,268.0,0.7,0.36,免费评估
33,阿尔斯特大学University of Ulster,2.6,250.0,0.72,0.35,免费评估
34,剑桥安鲁大学Anglia Ruskin University,1.7,252.0,0.73,0.37,免费评估
35,普利茅斯大学University of Plymouth,2.3,,0.69,0.39,免费评估
36,伍尔弗汉普顿大学University of Wolverhampton,,150.0,0.76,0.66,免费评估
37,北安普顿大学The University of Northampton,,182.0,0.77,0.4,免费评估
38,曼彻斯特城市大学Manchester Metropolitan University,1.3,138.0,0.69,,免费评估
