Ranking,University Name,Research Quality,Entry Standers,Graduate Prospects,Overall Score,Free
1,剑桥大学University of Cambridge,2.7,504.0,0.9,0.86,免费评估
2,牛津大学University of Oxford,2.0,517.0,0.87,0.77,免费评估
3,伦敦大学玛丽女王学院Queen Mary University of London,3.6,326.0,0.85,,免费评估
4,伦敦大学学院University College London,2.7,412.0,0.84,0.71,免费评估
5,卡迪夫大学Cardiff University,3.5,403.0,0.8,0.6,免费评估
6,爱丁堡大学The University of Edinburgh,3.3,437.0,0.82,0.54,免费评估
7,谢菲尔德大学The University of Sheffield,2.9,422.0,0.75,0.64,免费评估
8,约克大学The University of York,3.1,426.0,0.7,0.63,免费评估
9,兰卡斯特大学Lancaster University,2.6,405.0,0.8,0.57,免费评估
10,埃塞克斯大学University of Essex,3.1,354.0,0.75,0.62,免费评估
11,伍尔弗汉普顿大学University of Wolverhampton,2.7,,0.79,0.52,免费评估
12,伦敦大学学院University College London,,403.0,0.75,0.81,免费评估
13,利兹大学University of Leeds,2.0,392.0,0.8,0.54,免费评估
14,纽卡斯尔大学Newcastle University,2.2,424.0,0.72,0.56,免费评估
15,朴茨茅斯大学University of Portsmouth,2.3,282.0,0.81,,免费评估
16,曼彻斯特大学The University of Manchester,2.4,390.0,0.68,0.55,免费评估
17,雷丁大学University of Reading,2.0,,0.78,0.53,免费评估
17,萨塞克斯大学University of Sussex,1.2,391.0,0.69,0.75,免费评估
19,索尔福德大学University of Salford,1.7,300.0,0.82,,免费评估
20,西英格兰大学University of the West of England,2.2,290.0,0.71,0.58,免费评估
21,赫特福德大学University of Hertfordshire,2.2,251.0,0.73,0.55,免费评估
22,约克圣约翰大学York St John University,,304.0,0.86,0.53,免费评估
23,伦敦国王学院King's College London,,374.0,0.72,0.59,免费评估
24,威斯敏斯特大学University of Westminster,0.9,,0.74,0.51,免费评估
25,班戈大学Bangor University,1.7,250.0,0.71,0.44,免费评估
26,阿尔斯特大学University of Ulster,2.2,284.0,0.56,0.37,免费评估
